notebookPath,cellIndex,cellId,cellType,tags,executionCount,outputCount,sourceSha256,lineCount,purpose,imports,functionDefinitions,classDefinitions,functionCalls,fileReads,fileWrites,networkCalls,subprocessCalls,environmentVariables,databaseReads,databaseWrites,gateChecks,exceptionsRaised
DSJA/project_4/crawl/notebooks/00RecoverSourceState.ipynb,0,a1-00-recover-title,markdown,,,0,c8910ef8528752cb084a2f60884f371f946bb8783d6614e378ba040ea453993f,12,00RecoverSourceState,,,,,,,,,,,,,
DSJA/project_4/crawl/notebooks/00RecoverSourceState.ipynb,1,a1-00-recover-parameters,code,parameters,,0,a1305cacbc6c58422e189afc5dc896ccdbaeff12b041b5b4bde50be1fea356e2,13,"RUN_MODE = ""observed-dev""",,,,,,,,,,,,,
DSJA/project_4/crawl/notebooks/00RecoverSourceState.ipynb,2,a1-00-recover-environment-title,markdown,,,0,0bb7c2d4f4d8e03c3f6c1d1ca986de2d065048fddbba135b4d329f1a22ee4605,1,Imports and isolated observed-development environment,,,,,,,,,,,,,
DSJA/project_4/crawl/notebooks/00RecoverSourceState.ipynb,3,a1-00-recover-environment,code,,,0,5ec82c4a1bd529b115a3be70a2ca265be59061188916670af497c6dd53f020bd,47,from pathlib import Path,p4_crawl.config;p4_crawl.observed;pathlib;sys,locate_project_root;quality_row,,Path;Path.cwd;RunConfig;RuntimeError;as_posix;globals;is_dir;locate_project_root;relative_to;require_repository_relative;start.resolve;startswith;str;sys.path.insert,,,,,,,,"CONTRACT_VERSION == ""2.1.2"";CRAWL_RELEASE_ID == ""CRAWL_20260806_03"";EMPIRICAL_ANALYSIS_ALLOWED is False;Path(OUTPUT_ROOT).as_posix().startswith(""crawl/runs/notebooks/observed-dev/"");RUN_MODE == ""observed-dev""",RuntimeError
DSJA/project_4/crawl/notebooks/00RecoverSourceState.ipynb,4,a1-00-recover-audit-title,markdown,,,0,8f0d3361e51034b512bd6c20104b3d2e9945a133e5953ad5acb1127e63911b9f,1,Input and checksum audit,,,,,,,,,,,,,
DSJA/project_4/crawl/notebooks/00RecoverSourceState.ipynb,5,a1-00-recover-audit,code,,,0,26dc64c7c3276dbfeb763183eba01fe8fb4b8d83b18885be94bd4ea7a65bd651,5,from p4_crawl.observed import audit_input_manifest,p4_crawl.observed,,,audit_input_manifest,,,,,,,,"input_audit[""contractVersion""] == CONTRACT_VERSION",
DSJA/project_4/crawl/notebooks/00RecoverSourceState.ipynb,6,a1-00-recover-operation-title,markdown,,,0,036df9977c5c021077b1e6303ed253fa68b2669ceda5db37070f58f21b4b62a2,1,Stage module call,,,,,,,,,,,,,
DSJA/project_4/crawl/notebooks/00RecoverSourceState.ipynb,7,a1-00-recover-operation,code,,,0,fba539944d7ad2cd418cb4030696eaa2f3479120ef837b45c81ad404e40f51b7,11,STAGE_WARNING = 'Observed input is partial and cannot be promoted to empirical analysis.',p4_crawl.observed,,,quality_row;recover_observed_input_state;validate_observed_package,,,,,,,,,
DSJA/project_4/crawl/notebooks/00RecoverSourceState.ipynb,8,a1-00-recover-finalize-title,markdown,,,0,800d9b24a42962e2cb39ddc1f1a06545b56d3e6977616ed5444be546a01abdd7,1,Termination artifacts and gate result,,,,,,,,,,,,,
DSJA/project_4/crawl/notebooks/00RecoverSourceState.ipynb,9,a1-00-recover-finalize,code,,,0,120388430c87ccbf48c5d1615b49aa6ae63351d0a7a59849644a59d05b449f2c,12,from p4_crawl.stage import write_stage_artifacts,p4_crawl.stage,,,RuntimeError;any;write_stage_artifacts,,write_stage_artifacts(),,,,,,,RuntimeError
