notebookPath,stageId,inputPath,inputRole,inputFormat,inputRows,inputColumns,inputBytes,inputSha256,inputGrain,inputPrimaryKey,inputProvenance,outputPath,outputRole,outputFormat,outputRows,outputColumns,outputBytes,outputSha256,outputGrain,outputPrimaryKey,outputProvenance,pathClass,exists
DSJA/project_4/crawl/notebooks/00RecoverSourceState.ipynb,A1-00-RECOVER,crawl/observed_inputs/OBSERVED_INPUT_20260806_01/HANDOFF.json,input,JSON,,20,817,f58810b38bde7c7e1c69bf1f7000b3931cadf9d4d544f64b9c9c0d27a63bce8e,A1-00-RECOVER,,OBSERVED_DEVELOPMENT_ONLY,,,,,,,,,,,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/00RecoverSourceState.ipynb,A1-00-RECOVER,crawl/observed_inputs/OBSERVED_INPUT_20260806_01/posting_manifest.parquet,input,PARQUET,137,12,8510,0515260b0f93f98440e68ed8211551b04ba17975b1654709d76ccbee6acda17b,A1-00-RECOVER,sourcePostingId,OBSERVED_DEVELOPMENT_ONLY,,,,,,,,,,,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/00RecoverSourceState.ipynb,A1-00-RECOVER,crawl/observed_inputs/OBSERVED_INPUT_20260806_01/raw_detail_manifest.jsonl,input,JSONL,29,,11774,f12680f1d598f70df576f0af4743c5e9c49df7caf16eccb1d898bded5eb3dfbe,A1-00-RECOVER,sourcePostingId;rawSha256,OBSERVED_DEVELOPMENT_ONLY,,,,,,,,,,,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/00RecoverSourceState.ipynb,A1-00-RECOVER,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-00-RECOVER/asset_frontier.csv,output,CSV,0,6,74,0a1819c234d28b9b17f15cfcc990df75305f99320959782448486e4fbfa986f0,A1-00-RECOVER,sourcePostingId,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/00RecoverSourceState.ipynb,A1-00-RECOVER,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-00-RECOVER/asset_frontier.parquet,output,PARQUET,0,6,3246,5e9fc736f1cd1eef8a7c433e9cdefa06464d27b9619609fbd4c3f9e7a69c3190,A1-00-RECOVER,sourcePostingId,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/00RecoverSourceState.ipynb,A1-00-RECOVER,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-00-RECOVER/detail_frontier.csv,output,CSV,137,10,13019,b2a601b14f2b3c12427152dadb46ad98f99595b4cc6a449c129aa47e25767299,A1-00-RECOVER,sourcePostingId,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/00RecoverSourceState.ipynb,A1-00-RECOVER,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-00-RECOVER/detail_frontier.parquet,output,PARQUET,137,10,12785,912fff84bbed57dd9f85b57027bbc0839340e7400cb569871326f309168c5a4f,A1-00-RECOVER,sourcePostingId,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/00RecoverSourceState.ipynb,A1-00-RECOVER,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-00-RECOVER/remaining_months.csv,output,CSV,1,3,158,ba5c51d1b96cb7136b4c5d4d8531cd355c0cfcd81b4056c3ff54c8540e6bddf1,A1-00-RECOVER,,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/00RecoverSourceState.ipynb,A1-00-RECOVER,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-00-RECOVER/resume_state.json,output,JSON,,8,283,c9908491b8ae1d11b149f220ad601eb6c66b008d032d82369926e4e760c7181a,A1-00-RECOVER,,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
DSJA/project_4/crawl/notebooks/00RecoverSourceState.ipynb,A1-00-RECOVER,,,,,,,,,,,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-00-RECOVER/stage_manifest.json,output,JSON,,26,4595,c5f2acd4e010d4124f3ec24099bb58eca985f1f29e9d6f8655d6ccc00a8f08ff,A1-00-RECOVER,,OBSERVED_DEVELOPMENT_ONLY,OBSERVED_DEV_ONLY,True
