scope,path,currentSha256,gitBlobSha,inventorySha256,executedSha256,passed,classification,details
notebook,DSJA/project_4/crawl/notebooks/00RecoverSourceState.ipynb,4bf405ece28246d893ea347ee1aeb27a4283f25a98926473c1fdcf6aac37f3c9,e2ac504a343e36a2806b44bf863e56681a4e851c,4bf405ece28246d893ea347ee1aeb27a4283f25a98926473c1fdcf6aac37f3c9,79b735d7ca3fc8177c63671c87fc47e912a46e28b1fedea17dcdd186cef89150,True,EXPECTED_SOURCE_EXECUTED_DIFFERENCE,source SHA matches branch blob content and prior inventory
notebook,DSJA/project_4/crawl/notebooks/01CollectLinkareerIndex.ipynb,01d65fdb65d5610f437d0fbd06f5d692b5122d070fddb6be06ab41cfc1293806,1f2660f46be6d501bd9aadad806e5fe3c1e5e916,01d65fdb65d5610f437d0fbd06f5d692b5122d070fddb6be06ab41cfc1293806,e51a3c599a2e265857ea4282cd745f5d8ac546b236ea2000e2c7ee54c8f758a0,True,EXPECTED_SOURCE_EXECUTED_DIFFERENCE,source SHA matches branch blob content and prior inventory
notebook,DSJA/project_4/crawl/notebooks/02CollectPostingDetail.ipynb,0b1b749f5d9fe1b8f55eb71c7274a5e846e8309ab709c6c38ef43f17ca5dcb95,0c60c23b4c4ced8c221833036c8733b1dae2e2ce,0b1b749f5d9fe1b8f55eb71c7274a5e846e8309ab709c6c38ef43f17ca5dcb95,9d0a8a8fa76d420285372b41cc2fe201df4a35aa727028ba4f4bb6f89d066062,True,EXPECTED_SOURCE_EXECUTED_DIFFERENCE,source SHA matches branch blob content and prior inventory
notebook,DSJA/project_4/crawl/notebooks/03CollectPostingAssets.ipynb,91899e17cc9c76e3e7bc05388919ebd643a763d971daa8af68817087b258daf3,ac434ff81b28fd9a036b198dd4be18f03c0a2e33,91899e17cc9c76e3e7bc05388919ebd643a763d971daa8af68817087b258daf3,9c53d22bb6bb3c563a761b95e51a63ecbba53f1084324b9920c321e18f8b4690,True,EXPECTED_SOURCE_EXECUTED_DIFFERENCE,source SHA matches branch blob content and prior inventory
notebook,DSJA/project_4/crawl/notebooks/04BuildCrawlRelease.ipynb,7d1b0b35302cdd0fea13b7b1ff682395ae16095f27d23c606928725c5af8110b,3d3264fe6629a69fba0229fdf8f9242900588fab,7d1b0b35302cdd0fea13b7b1ff682395ae16095f27d23c606928725c5af8110b,6e7e42ee356122c5181ec88bab63ac67582cc4ae1f07123bbd8d2c24990192d2,True,EXPECTED_SOURCE_EXECUTED_DIFFERENCE,source SHA matches branch blob content and prior inventory
notebook,DSJA/project_4/crawl/notebooks/P4_Notebook_First_Master.ipynb,84ba8f52070c7941043be4195a146af2218d74e9c0fd6855c6122cf094da345c,8b50cbdebdff834f2a0cd68c21a0ce0e2a91eadb,84ba8f52070c7941043be4195a146af2218d74e9c0fd6855c6122cf094da345c,9f3bdd1308a2c459eadee39c00ea45e51f0aa754b7be659fd5453d41a1d50ab1,True,EXPECTED_SOURCE_EXECUTED_DIFFERENCE,source SHA matches branch blob content and prior inventory
release,crawl/releases/CRAWL_20260806_03/CHECKSUMS.sha256,26b4c7320bbebd26c4ca195793b2db4983d43f9e20b63a53810275088d4ff994,,,,True,PASS,passed=16;failed=0;reasons=
observed-input,crawl/observed_inputs/OBSERVED_INPUT_20260806_01/CHECKSUMS.sha256,ba358539543cd88f5a2c1d44d1c250246f5aa636636516534892d7a7beaf5f0d,,,,True,PASS,passed=6;failed=0;reasons=
m1-report,crawl/reports/m1_notebook_build/CHECKSUMS.sha256,2ec05921b1992020785d5c4d94807954fb19d2a5fe7f26a8ba0e54a1abfdff71,,,,True,PASS,passed=8;failed=0;reasons=
stage,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-00-RECOVER/CHECKSUMS.sha256,9eb2b4bfb69f766b4f146911958ff5dd3fa1c767238c84f30375bdce127ef383,,,,True,PASS,passed=9;failed=0;reasons=
stage,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-00-RECOVER/observed_package/CHECKSUMS.sha256,5d313f1ceb231563cd0436638d369fa9f6e957fc7980af170a9d07ef50eb711d,,,,True,PASS,passed=6;failed=0;reasons=
stage,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-01-INDEX/CHECKSUMS.sha256,56065e84d95abd6f2794671374f931f4809050908fa8b27863f3f9873d254c33,,,,True,PASS,passed=6;failed=0;reasons=
stage,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-02-DETAIL/CHECKSUMS.sha256,98cb3225baf6f7c4728b12eafb7db074f598dd67e693367888d1e7a91c31f332,,,,True,PASS,passed=7;failed=0;reasons=
stage,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-03-ASSET/CHECKSUMS.sha256,76ecc4fc7bca2c7c5dd0397024bd62a8d90155687193433a72c3887699badc56,,,,True,PASS,passed=9;failed=0;reasons=
stage,crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/A1-04-RELEASE/CHECKSUMS.sha256,fd04bd48655fa3d5bef7d6a8f6e42c03921f705920a1988dcf7492f0ef909e3a,,,,True,PASS,passed=5;failed=0;reasons=
stage,crawl/runs/notebooks/observed-dev/AGENT5_AUDIT_20260806_01/agent_runs/AGENT1/A1-00-RECOVER/CHECKSUMS.sha256,2e93bbc45cef54903911668934a9e200dbe1d98f3483d9daa0c83cb423932690,,,,True,PASS,passed=9;failed=0;reasons=
stage,crawl/runs/notebooks/observed-dev/AGENT5_AUDIT_20260806_01/agent_runs/AGENT1/A1-01-INDEX/CHECKSUMS.sha256,f081c0b74c96ccf0239973cc7dad92f513d935b99bdad48616406a2efed42de0,,,,True,PASS,passed=6;failed=0;reasons=
stage,crawl/runs/notebooks/observed-dev/AGENT5_AUDIT_20260806_01/agent_runs/AGENT1/A1-02-DETAIL/CHECKSUMS.sha256,8c31c77719dc29e7a15efd0ca59d839690adea279dea2fdbc383c0da25979712,,,,True,PASS,passed=7;failed=0;reasons=
stage,crawl/runs/notebooks/observed-dev/AGENT5_AUDIT_20260806_01/agent_runs/AGENT1/A1-03-ASSET/CHECKSUMS.sha256,2273d53bb629d598c419c9dab3eaa9b00b9639872293fa3ee8834abf39242f4d,,,,True,PASS,passed=9;failed=0;reasons=
stage,crawl/runs/notebooks/observed-dev/AGENT5_AUDIT_20260806_01/agent_runs/AGENT1/A1-04-RELEASE/CHECKSUMS.sha256,03f868cd36c80b5727467dcc350f270096221f1fe9378ad9703235fe348b9a41,,,,True,PASS,passed=5;failed=0;reasons=
stage,crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/P4_Notebook_First_Master/CHECKSUMS.sha256,49e236bda63a368604782c33c0cacdd4cfb88b4c11c7f2d9a9f4f0fc06f5610c,,,,True,PASS,passed=3;failed=0;reasons=
stage,crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/children/agent_runs/AGENT1/A1-00-RECOVER/CHECKSUMS.sha256,33bab15cb57e1c902d9871805c8f82f136e73fd83d436b0184fbb82e6a434a1c,,,,True,PASS,passed=9;failed=0;reasons=
stage,crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/children/agent_runs/AGENT1/A1-01-INDEX/CHECKSUMS.sha256,5b95a15bfb880b41af9ec5efb2403a08fd79d74243b758d3ab100bf9f7d1b3a2,,,,True,PASS,passed=6;failed=0;reasons=
stage,crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/children/agent_runs/AGENT1/A1-02-DETAIL/CHECKSUMS.sha256,e43a0f0578b6086bf38b75c91363da7014bb84b8b8ff1599083537a9220d521d,,,,True,PASS,passed=7;failed=0;reasons=
stage,crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/children/agent_runs/AGENT1/A1-03-ASSET/CHECKSUMS.sha256,1a368584897eeda5577de4462212c18f49b8c0c9cbbd5fd31fea4ffaa153126c,,,,True,PASS,passed=9;failed=0;reasons=
stage,crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/children/agent_runs/AGENT1/A1-04-RELEASE/CHECKSUMS.sha256,87245d349f9f5f59d7e276a25a221e7154742137f58e31999ba2323ba8d59784,,,,True,PASS,passed=5;failed=0;reasons=
stage,crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/children/agent_runs/AGENT2/00ContractAndInputAudit/CHECKSUMS.sha256,312189a96ed57f3eee7c866e135d0af6668116a1676e6b3bf5f6e0fdcd230c3f,,,,True,PASS,passed=3;failed=0;reasons=
stage,crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/children/agent_runs/AGENT2/01LoadCrawlRelease/CHECKSUMS.sha256,8dc3c4f7926dc7448d066a8ca4ddd39ff3fec6fe37cb9b57d270cddb1dcc3f7f,,,,True,PASS,passed=3;failed=0;reasons=
stage,crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/children/agent_runs/AGENT2/02ParseAndNormalize/CHECKSUMS.sha256,2845ea7eaad23361e48b5fe7f30c6ab92d461bbdcf4e96a4fcfb8136bd4232db,,,,True,PASS,passed=3;failed=0;reasons=
stage,crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/children/agent_runs/AGENT2/03OcrAndSectionRecovery/CHECKSUMS.sha256,1e38c1db61cb2cd4c75bebbb6524588b3cae29534ea7c74e15564635d2cda41c,,,,True,PASS,passed=3;failed=0;reasons=
stage,crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/children/agent_runs/AGENT2/04SplitTracks/CHECKSUMS.sha256,33054a6d64d837934d73780d48c1f04f61ba986362ccfa2b0e740b74833ca4bd,,,,True,PASS,passed=3;failed=0;reasons=
stage,crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/children/agent_runs/AGENT2/05ExtractRequirements/CHECKSUMS.sha256,2cf1a98c93e0107279b9d3166a6b8661d2ddcd6662a47c38f283116a5a2576d8,,,,True,PASS,passed=3;failed=0;reasons=
