defectId,priority,notebook,component,description,evidence,impact,recommendedFix,ownerAgent,blocksM1,blocksM2,blocksProduction
A5-P1-001,P1,01CollectLinkareerIndex.ipynb,source policy,Notebook only calls one-page fixture; recent success-rate kill switch is absent and collect_month is not notebook-orchestrated.,fixture networkCalls=0; coverage release says 58/79 unverified,Production coverage can silently remain incomplete.,Add a production-only source-policy gate and orchestrate tested collect_month pagination/checkpointing.,P4-A1-SOURCE,True,True,True
A5-P1-002,P1,04BuildCrawlRelease.ipynb,AGENT2_VALIDATOR,"AGENT2_VALIDATOR quality status becomes PASS whenever executed=true, including status=EXECUTION_FAILED.",Master child result: AttributeError while gate construction selects PASS,Cross-agent validation failure can be mislabeled.,Require status=EXECUTED and crawlReleaseReady/fullCorpusAcceptance; otherwise FAIL or NOT_EVALUATED.,P4-A1-SOURCE,True,True,True
A5-P1-003,P1,P4_Notebook_First_Master.ipynb,stage dependency order,Master NOTEBOOKS executes A2-08/09 before required A4-00..04 producers.,registry upstreamStages conflicts with NOTEBOOKS tuple order,Run can pass by consuming stale pre-existing Agent4 artifacts.,Topologically sort stages and bind each consumer to current-run artifact hashes.,P4-A3-CONTROL,True,True,True
A5-P1-004,P1,P4_Notebook_First_Master.ipynb,termination artifacts,Master collects 27 child stage manifests for 23 executed children and does not enforce unique stageId/current-run ownership.,"27 manifest files, 23 unique child stage IDs, 108 termination files",Duplicated/stale manifests can satisfy coarse counts.,"Require exactly one manifest per planned stage and verify runId, parameterSha256, sourceSha256 and artifact root.",P4-A3-CONTROL,True,True,True
A5-P1-005,P1,02CollectPostingDetail.ipynb,ActivityText parser,crawl detail parser lacks unambiguous standalone ActivityText:* fallback implemented in pipeline parser.,p4_crawl.detail resolves only Activity.detailText,Older SSR shapes may lose body text.,Port tested standalone fallback or call the shared pipeline parser.,P4-A1-SOURCE,False,True,True
A5-P1-006,P1,P4_Notebook_First_Master.ipynb,Git provenance,Master audits filesystem existence/content but not tracked state; runtime gitHead was detached 71edc while crawl tree was untracked in that checkout.,current checkout reports ?? DSJA/project_4/crawl; source bytes match other branch blobs,gitHead does not identify the executed source bundle.,Record per-notebook blob SHA/ref and require clean tracked sources before bundle PASS.,P4-A3-CONTROL,True,True,True
A5-P2-001,P2,00RecoverSourceState.ipynb,idempotency,Recovery writes fresh updatedAt timestamps into all frontier rows; repeated runs change CSV and Parquet content hashes.,two observed runs differ across 137 updatedAt values,Content SHA is not stable for equal logical inputs.,Exclude runtime timestamps from canonical frontier content or derive them from source lineage.,P4-A1-SOURCE,False,False,True
A5-P2-002,P2,bundle,runtime dependencies,"nbclient, BeautifulSoup and other execution dependencies are installed but not declared in the root project; papermill is documented but missing.",runtime matrix UNDECLARED_DEPENDENCY and REQUIRED_MISSING rows,Fresh environment reproduction is not guaranteed.,Declare crawl notebook extras and lock versions; install papermill or remove its contract claim.,P4-A3-CONTROL,True,False,True
A5-P2-003,P2,P4_Notebook_First_Master.ipynb,absolute path,Executed Master output stores absolute repoRoot; live raw data is reached through an absolute symlink.,executed output contains repoRoot; crawl/data/raw symlink resolves outside checkout,Artifacts are less portable and contract path policy is weakened.,Display repository-relative root and configure raw root via validated runtime-only setting.,P4-A3-CONTROL,False,False,True
A5-P2-004,P2,03CollectPostingAssets.ipynb,asset lineage,Thumbnail/logo candidates are labeled sourceField=files and fetched asset manifest is empty.,"59 candidates, 30 OCR, 0 asset rows; detail.py uses constant sourceField",Asset lineage field is inaccurate and collection completeness is untested.,Preserve actual source field and keep readiness NOT_EVALUATED until asset policy decision.,P4-A1-SOURCE,False,True,True
A5-P2-005,P2,current workspace,test integrity,"Live dirty workspace pipeline suite has 4 failures, while clean Agent5 base has 80/80 passing.",live 94 pass/4 fail; clean base 80 pass,Results depend on checkout state and missing handoffs.,Run release gates from a clean integrated worktree and publish its exact test inventory.,P4-A3-CONTROL,True,False,True
A5-P3-001,P3,00RecoverSourceState.ipynb,recovery report,remaining_months.csv has one summary row rather than the 58 month identities.,"remainingMonthCount=58, rows=1",Human review cannot inspect the concrete resume plan.,Export the actual periodMonth frontier when production coverage manifest is available.,P4-A1-SOURCE,False,False,False
