a1Branch,a1Head,a3HeadBeforeReportCommit,candidateScopeId,networkCalls,externalAtsTransportCalls,gateId,status,evidence
agent/p4-a1-canary-tier1t2-preapproval-v1,d17927b5b50b7b7a6ed403b66ef840ef26b13fb3,18d5f9d08c57d60ca185c58b98521277fc4fe02d,T1-INDEX-2026-03-APQ-V1,0,0,TIER0_CANONICAL_HANDOFF,PASS,accepted fixture-only authority
agent/p4-a1-canary-tier1t2-preapproval-v1,d17927b5b50b7b7a6ed403b66ef840ef26b13fb3,18d5f9d08c57d60ca185c58b98521277fc4fe02d,T1-INDEX-2026-03-APQ-V1,0,0,TIER1T2_PREAPPROVAL_BUNDLE,PASS,A1 8-file proposal evidence
agent/p4-a1-canary-tier1t2-preapproval-v1,d17927b5b50b7b7a6ed403b66ef840ef26b13fb3,18d5f9d08c57d60ca185c58b98521277fc4fe02d,T1-INDEX-2026-03-APQ-V1,0,0,TIER1_INDEX_SCOPE_PROPOSED,PASS,exact proposal; not approval
agent/p4-a1-canary-tier1t2-preapproval-v1,d17927b5b50b7b7a6ed403b66ef840ef26b13fb3,18d5f9d08c57d60ca185c58b98521277fc4fe02d,T1-INDEX-2026-03-APQ-V1,0,0,TIER2_DETAIL_SAMPLE_CONTRACT,PASS,sample size 10 and deterministic seed contract
agent/p4-a1-canary-tier1t2-preapproval-v1,d17927b5b50b7b7a6ed403b66ef840ef26b13fb3,18d5f9d08c57d60ca185c58b98521277fc4fe02d,T1-INDEX-2026-03-APQ-V1,0,0,TIER2_DETAIL_SAMPLE_SELECTED,NOT_EVALUATED,Tier 1 discovery manifest does not exist
agent/p4-a1-canary-tier1t2-preapproval-v1,d17927b5b50b7b7a6ed403b66ef840ef26b13fb3,18d5f9d08c57d60ca185c58b98521277fc4fe02d,T1-INDEX-2026-03-APQ-V1,0,0,TIER3_LINKAREER_ASSET_BUDGET_PROPOSED,PASS_WITH_FINDINGS,fixture-derived upper bound; live candidates unknown
agent/p4-a1-canary-tier1t2-preapproval-v1,d17927b5b50b7b7a6ed403b66ef840ef26b13fb3,18d5f9d08c57d60ca185c58b98521277fc4fe02d,T1-INDEX-2026-03-APQ-V1,0,0,COMBINED_USER_APPROVAL_SCHEMA,PASS,"user-set scope, budgets, expiry, rate, retry and source-policy record required"
agent/p4-a1-canary-tier1t2-preapproval-v1,d17927b5b50b7b7a6ed403b66ef840ef26b13fb3,18d5f9d08c57d60ca185c58b98521277fc4fe02d,T1-INDEX-2026-03-APQ-V1,0,0,TIER1T2_NETWORK_EXECUTION,BLOCKED,USER_TIER1T2_DETAIL_ASSET_CANARY_APPROVAL missing
agent/p4-a1-canary-tier1t2-preapproval-v1,d17927b5b50b7b7a6ed403b66ef840ef26b13fb3,18d5f9d08c57d60ca185c58b98521277fc4fe02d,T1-INDEX-2026-03-APQ-V1,0,0,EXTERNAL_ATS_TRANSPORT,BLOCKED,hard deny
agent/p4-a1-canary-tier1t2-preapproval-v1,d17927b5b50b7b7a6ed403b66ef840ef26b13fb3,18d5f9d08c57d60ca185c58b98521277fc4fe02d,T1-INDEX-2026-03-APQ-V1,0,0,OCR_TEXT_EXTRACTION_OR_MAPPING,BLOCKED,queue/MIME/SHA/text-volume measurement only
agent/p4-a1-canary-tier1t2-preapproval-v1,d17927b5b50b7b7a6ed403b66ef840ef26b13fb3,18d5f9d08c57d60ca185c58b98521277fc4fe02d,T1-INDEX-2026-03-APQ-V1,0,0,M2_FULL_CRAWL,BLOCKED,canary and user gates remain
agent/p4-a1-canary-tier1t2-preapproval-v1,d17927b5b50b7b7a6ed403b66ef840ef26b13fb3,18d5f9d08c57d60ca185c58b98521277fc4fe02d,T1-INDEX-2026-03-APQ-V1,0,0,PRODUCTION_RELEASE,BLOCKED,canary cannot promote
agent/p4-a1-canary-tier1t2-preapproval-v1,d17927b5b50b7b7a6ed403b66ef840ef26b13fb3,18d5f9d08c57d60ca185c58b98521277fc4fe02d,T1-INDEX-2026-03-APQ-V1,0,0,ANALYSIS,BLOCKED,canary cannot promote
