defect_id,priority,component,status,finding,evidence,impact,recommendation,decision_dependency
DF-P1-001,P1,observed snapshot,BLOCKED,crawl and pipeline copies share OBSERVED_DEV_20260806_01 but differ in 108 lineage rows; observed DB follows pipeline copy,crawl/data/exports vs pipeline/data/exports; p4.observed-dev.duckdb,no singular immutable snapshot authority,freeze one authority and mint a new dataVersion for the other,D-ORCH-001
DF-P1-002,P1,crawl coverage,BLOCKED,21/79 months verified; 58 unverified; no full-corpus detail collection,CRAWL_20260806_03/monthly_coverage.csv and HANDOFF.json,RQ1 corpus incomplete,M2 full pagination and detail collection after approval,D-ORCH-004
DF-P1-003,P1,time semantics,BLOCKED,canonicalPostedAt and periodMonth are 0/137,preprocessed_posting_tracks.parquet,RQ1 time-series analysis impossible,recover authoritative posted dates before production preprocess,
DF-P1-004,P1,requirements contract,BLOCKED,requirementType 35/35 and postingKind 137/137 violate canonical enums but existing QA passes,requirement_facts.parquet; posting_normalized.parquet; stage_quality.csv,contract conformance and RQ2-A semantics invalid,add enum QA and remediate extraction values,
DF-P1-005,P1,career labels,BLOCKED,careerClass U 137/137; internAccessClass IU 35/35; boundary resolved 0/137,career_access_labels.parquet,RQ2-A entry-barrier measures unavailable,M1.5 semantic QA and career/boundary gold,D-ORCH-003
DF-P1-006,P1,source policy,PARTIAL,conditional policy evidence exists but production collection approval is not recorded,CRAWL_20260806_03/HANDOFF.json; SOURCE_POLICY_GATE.md,production crawl cannot be authorized,human approval and qa.sourcePolicyAudit record,D-ORCH-004
DF-P1-007,P1,NCS quality,NOT_EVALUATED,"gold rows 0, dense score 0, NCS level/band 0/137; A4-05 NOT_EVALUATED",A4-05 stage artifacts; ncs_gold_evaluation.json,RQ2-B quality cannot be claimed,"approve scope, create n=300 gold, double-code 30%, run production evaluator","D-ORCH-006,D-ORCH-007"
DF-P2-001,P2,raw lineage,PARTIAL,"real raw SSR 29/137; manifest hasDetailRawHtml marks 11, leaving 18 actual-but-flag-false",raw_detail_manifest.jsonl; posting_manifest.csv,lineage semantics inconsistent,reconcile flags from immutable raw manifest,
DF-P2-002,P2,asset lineage,BLOCKED,asset rows 0; assets.py hardcodes lineage period 2021-03,asset_manifest.jsonl; crawl/src/p4_crawl/assets.py,asset/OCR provenance invalid outside one month,parameterize period and complete asset policy,D-ORCH-005
DF-P2-003,P2,Agent 1 Git,PARTIAL,local branch is ahead 2 and behind 10 while remote contains current notebook evidence,git rev-list local...origin,ambiguous local authority,do not merge; freeze remote HEAD in snapshot,D-ORCH-001
DF-P2-004,P2,Agent 2 Git,NOT_EVALUATED,registered branch worktree is missing/prunable,git worktree list --porcelain,dirty state cannot be audited,recreate a clean worktree after snapshot decision,
DF-P2-005,P2,Notebook bundle,PARTIAL,76 inventoried runtime paths are absent from all four remote branches; four duplicate manifests exist,NOTEBOOK_OUTPUT_ARTIFACTS.csv; master stage tree,bundle authority is physical-only for part of evidence,freeze immutable bundle or publish exact artifact manifest,D-ORCH-001
DF-P2-006,P2,NCS source,PARTIAL,"53,768 hierarchy-name nulls; core 120 names are derived; alias seed 10 has zero observed hits",ncsUnit.parquet; core config; alias config,semantic review risk,human scope review and official names where licensed,D-ORCH-006
DF-P2-007,P2,secret custody,PASS_WITH_FINDINGS,Agent4 ignored mode-600 .env holds a non-empty API key; no tracked secret found,Agent4 git status; key names only,key rotation/custody decision required before production,rotate if shared/exposed and move to approved secret store,D-ORCH-005
DF-P2-008,P2,integration control,PARTIAL,integration/ root is absent and release readiness code has no successful Agent2 validator consumption path,Agent3 tree; crawl/src/p4_crawl/release.py,promotion path cannot close mechanically,implement promotion audit after user decisions; no merge now,D-ORCH-002
DF-P3-001,P3,release metadata,PARTIAL,CRAWL_20260806_03 head_commit is blank; stage manifests predate final branch HEADs,HANDOFF.json and stage_manifest.json,commit provenance is incomplete,record exact source commits in frozen manifest,D-ORCH-001
DF-P3-002,P3,query registry docs,PARTIAL,query registry note says range semantics unresolved while release handoff says resolved,configs/queryRegistry.yaml; HANDOFF.json,documentation drift,align evidence wording in next controlled revision,
DF-P3-003,P3,CSV inspection,PASS_WITH_FINDINGS,dtype-naive CSV reads coerce NCS codes and booleans; schema-aware semantic comparison passes,direct CSV-Parquet audit,inspection consumers may corrupt identifier types,publish dtype guidance and keep Parquet/DuckDB canonical,
