component_id,agent_id,component,branch,local_head,remote_head,ahead,behind,dirty_tracked,dirty_untracked,ignored_runtime,status,evidence,finding
P4-A1-SOURCE,P4-A1-SOURCE,Source Acquisition,agent/p4-crawl-release-v2,00b2e6b832b0b07d09f9c99d8c1f623c7976f69d,3ad43c39dd01933575529e0c81d9809dc64c4e57,2,10,0,0,43,PARTIAL,/home/sieg/projects-wsl/worktrees/p4-agent1,clean worktree but divergent; 29 raw HTML gzip and 14 pycache ignored
P4-A2-PIPELINE,P4-A2-PIPELINE,Pipeline,agent/p4-pipeline-v2,9a0571dbcc0183960bda153baedcd0a2c9dc8248,9a0571dbcc0183960bda153baedcd0a2c9dc8248,0,0,NOT_EVALUATED,NOT_EVALUATED,NOT_EVALUATED,PASS_WITH_FINDINGS,/tmp/p4-agent2-observed (missing/prunable),"refs are in parity; registered branch worktree is missing, so dirty state is not evaluable"
P4-A3-CONTROL,P4-A3-CONTROL,Control Plane,agent/p4-integration-cleanup-v2,b64270bd4ab839ec750a4ceceb08d57957c88782,b64270bd4ab839ec750a4ceceb08d57957c88782,0,0,0,0,64,PASS_WITH_FINDINGS,/home/sieg/projects-wsl/worktrees/p4-agent3-cleanup,contract and control evidence are in parity; integration/ root absent; runtime-only bundle files not frozen
P4-A4-NCS,P4-A4-NCS,NCS Mapping,agent/p4-ncs-mapping-v2,7a9feccc7a2fc99b8b86b95bdb73699620bc7ff0,7a9feccc7a2fc99b8b86b95bdb73699620bc7ff0,0,0,0,0,5,PASS_WITH_FINDINGS,/home/sieg/projects-wsl/worktrees/p4-agent4,branch parity and 35 tests pass; ignored mode-600 .env exists; gold gate not evaluated
A1-PACKAGE,P4-A1-SOURCE,Python package/CLI,agent/p4-crawl-release-v2,00b2e6b832b0b07d09f9c99d8c1f623c7976f69d,3ad43c39dd01933575529e0c81d9809dc64c4e57,2,10,,,,PASS_WITH_FINDINGS,repository and artifact forensic audit 2026-08-06,crawl/src/p4_crawl; no dedicated console-script packaging
A1-POLICY,P4-A1-SOURCE,source policy implementation,agent/p4-crawl-release-v2,00b2e6b832b0b07d09f9c99d8c1f623c7976f69d,3ad43c39dd01933575529e0c81d9809dc64c4e57,2,10,,,,PASS_WITH_FINDINGS,repository and artifact forensic audit 2026-08-06,policy guard implemented; human production approval missing
A1-QUERY,P4-A1-SOURCE,query registry,agent/p4-crawl-release-v2,00b2e6b832b0b07d09f9c99d8c1f623c7976f69d,3ad43c39dd01933575529e0c81d9809dc64c4e57,2,10,,,,PASS_WITH_FINDINGS,repository and artifact forensic audit 2026-08-06,APQ registry active; range semantics documentation drift
A1-PAGINATION,P4-A1-SOURCE,pagination,agent/p4-crawl-release-v2,00b2e6b832b0b07d09f9c99d8c1f623c7976f69d,3ad43c39dd01933575529e0c81d9809dc64c4e57,2,10,,,,PARTIAL,repository and artifact forensic audit 2026-08-06,21/79 target months verified
A1-DETAIL,P4-A1-SOURCE,detail collector,agent/p4-crawl-release-v2,00b2e6b832b0b07d09f9c99d8c1f623c7976f69d,3ad43c39dd01933575529e0c81d9809dc64c4e57,2,10,,,,PARTIAL,repository and artifact forensic audit 2026-08-06,collector exists; 29/137 raw SSR
A1-ASSET,P4-A1-SOURCE,asset collector,agent/p4-crawl-release-v2,00b2e6b832b0b07d09f9c99d8c1f623c7976f69d,3ad43c39dd01933575529e0c81d9809dc64c4e57,2,10,,,,PARTIAL,repository and artifact forensic audit 2026-08-06,collector exists; asset rows 0 and period hardcode
