stageId,executionOrder,dependencyStageIds,dependencyExact,producerOrderValid,runtimeOrderValid,timestampValid,sourceShaValid,moduleShaValid,ledgerManifestBindingValid,nativeEvidencePresent,nativeEvidenceShaValid,globalManifestSha256,status
A1-00-RECOVER,0,,True,True,True,True,True,True,True,True,True,f8458fe74a1b80d33168c032c3a22a3c2719aac7e2397e2d094b75cffd0c30bf,PASS
A1-01-INDEX,1,A1-00-RECOVER,True,True,True,True,True,True,True,True,True,2964b28bde17d985550789cf71b4f7ac92483ee6509dcc0aacd703460f0c4529,PASS
A1-02-DETAIL,2,A1-01-INDEX,True,True,True,True,True,True,True,True,True,fda1c3720179bcd25892fa35e4c1cdfcfba4353b9291526556ee079ede63721d,PASS
A1-03-ASSET,3,A1-02-DETAIL,True,True,True,True,True,True,True,True,True,f3f60a1b989b1a73ee036831110ef8d9cc042b0656a41a61a6c668661584ae56,PASS
A1-04-RELEASE,4,A1-03-ASSET,True,True,True,True,True,True,True,True,True,0929fc35b2a51fa377218d506a3dc90043cfddfb675ec49a1287fa0dd8acc648,PASS
A2-00-CONTRACT,5,A1-04-RELEASE,True,True,True,True,True,True,True,True,True,5609228c0d9402880e8a5d16bee8edfcb2597064d87bd77703c2f1ce2eb16f60,PASS
A2-01-LOAD,6,A2-00-CONTRACT,True,True,True,True,True,True,True,True,True,ea22c2b19383bea7a4fab91354e044dd877e4776ca0d035a45cafa0c4e2524f7,PASS
A2-02-NORMALIZE,7,A2-01-LOAD,True,True,True,True,True,True,True,True,True,213424889e5c9c82b50c7b730a7a0325706866fe34a8501ba2ff9b63e24ea564,PASS
A2-03-OCR,11,A2-02-NORMALIZE,True,True,True,True,True,True,True,True,True,748a19a55b4e586ea685277b4ccbd68923ae8f3996cb08fd5fb508e25aa6358d,PASS
A2-04-TRACK,12,A2-03-OCR,True,True,True,True,True,True,True,True,True,402b288c54435a08f6a694a2e2cfaef4df4a93882949606aecb77bc3572158b2,PASS
A2-05-REQUIREMENT,13,A2-04-TRACK,True,True,True,True,True,True,True,True,True,d8179495b5eaa8bfdd283fedae754e8cb2155e4f14160e503632b47eb0d4202e,PASS
A2-06-DEDUP,14,A2-02-NORMALIZE,True,True,True,True,True,True,True,True,True,e2f01baa140536d9a412fb96ab74d1d48aa87a9de73777b4e7787e37d23bae13,PASS
A2-07-LABEL,15,A2-05-REQUIREMENT,True,True,True,True,True,True,True,True,True,97951a11ff3bfc535e617872a01b9901524ce4c75401c06b8d4019dd686a8b79,PASS
A4-00-NCS-SOURCE,8,A2-00-CONTRACT,True,True,True,True,True,True,True,True,True,2fbcf7b0f014bf053b93b1c81efad544361c881e8457a9b197d9b694325694df,PASS
A4-01-CODESET,9,A4-00-NCS-SOURCE,True,True,True,True,True,True,True,True,True,3f1449e05f660b50bfbaa13049ed42cbe44fbc2e746214f1baae755ff7d3ed70,PASS
A4-02-RETRIEVAL,10,A4-01-CODESET,True,True,True,True,True,True,True,True,True,2f2cefffcf7490ad78dc0803ae59bbb7bdcf77e879399ba408ad86965e3f394a,PASS
A4-03-MAP-OBSERVED,16,A2-05-REQUIREMENT;A4-02-RETRIEVAL,True,True,True,True,True,True,True,True,True,57fde62b373ba6324324f308144d1eaa5cd702dc34a2ad531e4444015f30ab70,PASS
A4-04-EXPORT,17,A4-03-MAP-OBSERVED,True,True,True,True,True,True,True,True,True,765321735e1874d7ff4e2314cd76fa3beb9c9f877d4ea02b4eec6b1d1871ce76,PASS
A2-08-NCS-LOAD,18,A4-00-NCS-SOURCE;A4-01-CODESET,True,True,True,True,True,True,True,True,True,b48abffc8e9b05f607f79030a97fc1e16a7b839322160294dd87b692d47cc537,PASS
A2-09-NCS-MAP,19,A2-08-NCS-LOAD;A4-03-MAP-OBSERVED;A4-04-EXPORT,True,True,True,True,True,True,True,True,True,a9063cfb0af58286aac08a7d34d95b59841159c716f7a46ff5973eac4099110f,PASS
A2-10-EXPORT,21,A2-05-REQUIREMENT;A2-06-DEDUP;A2-07-LABEL;A2-09-NCS-MAP,True,True,True,True,True,True,True,True,True,d0f8cdb35566a05dcc03e2b6199b98469c6772f6d90139a0984ddf8125b56fb3,PASS
A2-11-QA,22,A2-10-EXPORT,True,True,True,True,True,True,True,True,True,85430a108f25a91d84aeeb1e3969d1e15d30d1d4097d77c76e6e87e6da4924b0,PASS
A4-05-EVALUATE,20,A4-04-EXPORT,True,True,True,True,True,True,True,True,True,8c4c3cb2faf3aee30b1a7ab9456c43e1d382eff4035194cda9d93b7efdf03c4a,PASS
