checkId,artifactPath,artifactSha256,observedValue,requiredValue,status,reason
RAW_PORTABLE_57020,data/raw/linkareer/detail/2021/03/a0f7f6bfcd41b03c22c084e088cef880c070e50b43202e5825fe0df2c1ed44f5.html.gz,156ed9dea632d1411234163aee68d97b37166b75556ed257bbab7c00f8dcdd90,True,True,PASS,RUNTIME_ROOT_PLUS_REPOSITORY_RELATIVE_PATH
RAW_PORTABLE_57035,data/raw/linkareer/detail/2021/03/8ff4fe824127a32632db38de0ca0d70133a47688dafab770fabacc49266f1dc2.html.gz,dd0390803ca128cf4622afcffa4931049bcc8d71c0c56aeb934d3523d1e88645,True,True,PASS,RUNTIME_ROOT_PLUS_REPOSITORY_RELATIVE_PATH
RAW_PORTABLE_57076,data/raw/linkareer/detail/2021/03/ee961629b7cb1352379fb838b0c8923da1edc3fe21f116fa96bb852d1371ef58.html.gz,803b36541ac4fdaa4fe27ed8f73391c1c7e2a3338910c28108666d59115986b2,True,True,PASS,RUNTIME_ROOT_PLUS_REPOSITORY_RELATIVE_PATH
RAW_PORTABLE_57112,data/raw/linkareer/detail/2021/03/7db73da84d23a74e52678c65d425473d9cc20ef2cf61c450034dbb0d56e5e23a.html.gz,52dd3958cbc4a63a5630ec1f418e3a8ccaa72a74e3a6251a242cb552dec4423d,True,True,PASS,RUNTIME_ROOT_PLUS_REPOSITORY_RELATIVE_PATH
RAW_PORTABLE_57113,data/raw/linkareer/detail/2021/03/d08c890ca45f916f6a478e8e18b7aa99734b06056bf3e3c4ec3f55ee2dabf79a.html.gz,4365a5ca40f9259e6455ce8ba23579db848e28e6aed2cafe74b1b4279b8537ca,True,True,PASS,RUNTIME_ROOT_PLUS_REPOSITORY_RELATIVE_PATH
RAW_PORTABLE_57115,data/raw/linkareer/detail/2021/03/e3f52a11f77022683614769c0324bfa12cf1da362e3d981d329069a5c39a9586.html.gz,770abe44a215a5823dbcd5d8673c94a624321657452a4f23829924709109e459,True,True,PASS,RUNTIME_ROOT_PLUS_REPOSITORY_RELATIVE_PATH
RAW_PORTABLE_57118,data/raw/linkareer/detail/2021/03/c2299f7e64e79925acf706cfbb45fb02e26a58a42f89d9b5608c6e11cd019a5c.html.gz,2acade76d9cbc9ad72072897f8b44ceb79575edbe27b703db4b6a32fb67d7992,True,True,PASS,RUNTIME_ROOT_PLUS_REPOSITORY_RELATIVE_PATH
RAW_PORTABLE_57144,data/raw/linkareer/detail/2021/03/ce884e1d66cb468009f39e1abc88965ff7b027789ba8f56722201c7deb2be441.html.gz,85a88103d800aeb900e13d945b6790e13d4b0d6f1ba104c9b1e6872d4a6c9014,True,True,PASS,RUNTIME_ROOT_PLUS_REPOSITORY_RELATIVE_PATH
RAW_PORTABLE_57185,data/raw/linkareer/detail/2021/03/d0fd7ac43a7dc7136bb6868b97a6db5d2d80efed0a18dd5d94e4eab902a2496e.html.gz,7f3741c29b0ac7244266d26269521d7f57b5099a0fbba1aa909d1d6f1f19a4e0,True,True,PASS,RUNTIME_ROOT_PLUS_REPOSITORY_RELATIVE_PATH
RAW_PORTABLE_57188,data/raw/linkareer/detail/2021/03/9729485d93c130d3d69d3000dd665cafb0351553afce27affc1aba099ed9da2c.html.gz,fc608961945b557176d2c2018869145ad8e413de8d02acc90e461d6235c4f3d3,True,True,PASS,RUNTIME_ROOT_PLUS_REPOSITORY_RELATIVE_PATH
RAW_PORTABLE_57189,data/raw/linkareer/detail/2021/03/81c58897baaa45ac4d54f1f5bd8461f520cf987eb6e4b65b4ddef50e06af00ae.html.gz,c09231be84de3e22f4e16c9ca1ed7d6ffbf26df6fa94d5d485e58282dba1ec70,True,True,PASS,RUNTIME_ROOT_PLUS_REPOSITORY_RELATIVE_PATH
RAW_PORTABLE_57190,data/raw/linkareer/detail/2021/03/99f405607ec50d6c024257f59aec7fbcd1b590dabb26efb833a1ec0fd79e8709.html.gz,b7edaf14b3e32c3cec034994598030408b406e29f1449843794f704407da83c8,True,True,PASS,RUNTIME_ROOT_PLUS_REPOSITORY_RELATIVE_PATH
RAW_PORTABLE_57191,data/raw/linkareer/detail/2021/03/8217c0cb258250ceb09e6d832b2dfaa9d6a179da984b0ee3f77b7ba680111219.html.gz,67c748935bd988a67d625afe42650b73e63318a383b290dbee01f54ec0372073,True,True,PASS,RUNTIME_ROOT_PLUS_REPOSITORY_RELATIVE_PATH
