topologicalIndex,stageId,ownerAgent,notebookPath
1,A1-00-RECOVER,P4-A1-SOURCE,crawl/notebooks/00RecoverSourceState.ipynb
2,A2-00-CONTRACT-AUDIT,P4-A2-PIPELINE,pipeline/notebooks/00ContractAndInputAudit.ipynb
3,A1-01-INDEX,P4-A1-SOURCE,crawl/notebooks/01CollectLinkareerIndex.ipynb
4,A2-01-LOAD,P4-A2-PIPELINE,pipeline/notebooks/01LoadCrawlRelease.ipynb
5,A4-00-NCS-SOURCE,P4-A4-NCS,ncs_mapping/notebooks/00NcsSourceAudit.ipynb
6,A1-02-DETAIL,P4-A1-SOURCE,crawl/notebooks/02CollectPostingDetail.ipynb
7,A2-02-PARSE,P4-A2-PIPELINE,pipeline/notebooks/02ParseAndNormalize.ipynb
8,A4-01-CODESET,P4-A4-NCS,ncs_mapping/notebooks/01BuildCoreAiItCodeSet.ipynb
9,A1-03-ASSET,P4-A1-SOURCE,crawl/notebooks/03CollectPostingAssets.ipynb
10,A2-03-OCR,P4-A2-PIPELINE,pipeline/notebooks/03OcrAndSectionRecovery.ipynb
11,A2-06-DEDUP,P4-A2-PIPELINE,pipeline/notebooks/06Deduplicate90Days.ipynb
12,A4-02-RETRIEVAL,P4-A4-NCS,ncs_mapping/notebooks/02BuildNcsRetrievalIndex.ipynb
13,A2-08-NCS-LOAD,P4-A2-PIPELINE,pipeline/notebooks/08LoadAndPrepareNcs.ipynb
14,A1-04-RELEASE,P4-A1-SOURCE,crawl/notebooks/04BuildCrawlRelease.ipynb
15,A2-04-TRACK,P4-A2-PIPELINE,pipeline/notebooks/04SplitTracks.ipynb
16,A2-05-REQUIREMENT,P4-A2-PIPELINE,pipeline/notebooks/05ExtractRequirements.ipynb
17,A2-07-LABEL,P4-A2-PIPELINE,pipeline/notebooks/07LabelCareerAccess.ipynb
18,A4-03-MAP-OBSERVED,P4-A4-NCS,ncs_mapping/notebooks/03MapObservedDuties.ipynb
19,A4-04-EXPORT,P4-A4-NCS,ncs_mapping/notebooks/04ExportNcsMappingCsv.ipynb
20,A4-05-EVALUATE,P4-A4-NCS,ncs_mapping/notebooks/05EvaluateNcsMapping.ipynb
21,A2-09-NCS-MAP,P4-A2-PIPELINE,pipeline/notebooks/09MapPostingToNcs.ipynb
22,A2-10-EXPORT,P4-A2-PIPELINE,pipeline/notebooks/10ExportPreprocessedCsv.ipynb
23,A2-11-EXPORT-QA,P4-A2-PIPELINE,pipeline/notebooks/11PreprocessedDataQa.ipynb
