planScope,runId,dataVersion,stageId,expectedManifestCount,actualManifestCount,staleConsumed,status,reason
23_STAGE_MASTER_PLAN,POST_IMPL_AUDIT_20260806_01,observed-dev-20260806.2,A1-00-RECOVER,1,1,0,PASS,CURRENT_RUN_EXACT_ONE
23_STAGE_MASTER_PLAN,POST_IMPL_MASTER_AUDIT_20260806_01,observed-dev-20260806.2,A2-00-CONTRACT-AUDIT,1,0,0,EVIDENCE_INSUFFICIENT,MASTER_BLOCKED_BEFORE_CHILD_EXECUTION
23_STAGE_MASTER_PLAN,POST_IMPL_AUDIT_20260806_01,observed-dev-20260806.2,A1-01-INDEX,1,1,0,PASS,CURRENT_RUN_EXACT_ONE
23_STAGE_MASTER_PLAN,POST_IMPL_MASTER_AUDIT_20260806_01,observed-dev-20260806.2,A2-01-LOAD,1,0,0,EVIDENCE_INSUFFICIENT,MASTER_BLOCKED_BEFORE_CHILD_EXECUTION
23_STAGE_MASTER_PLAN,POST_IMPL_MASTER_AUDIT_20260806_01,observed-dev-20260806.2,A4-00-NCS-SOURCE,1,0,0,EVIDENCE_INSUFFICIENT,MASTER_BLOCKED_BEFORE_CHILD_EXECUTION
23_STAGE_MASTER_PLAN,POST_IMPL_AUDIT_20260806_01,observed-dev-20260806.2,A1-02-DETAIL,1,1,0,PASS,CURRENT_RUN_EXACT_ONE
23_STAGE_MASTER_PLAN,POST_IMPL_MASTER_AUDIT_20260806_01,observed-dev-20260806.2,A2-02-PARSE,1,0,0,EVIDENCE_INSUFFICIENT,MASTER_BLOCKED_BEFORE_CHILD_EXECUTION
23_STAGE_MASTER_PLAN,POST_IMPL_MASTER_AUDIT_20260806_01,observed-dev-20260806.2,A4-01-CODESET,1,0,0,EVIDENCE_INSUFFICIENT,MASTER_BLOCKED_BEFORE_CHILD_EXECUTION
23_STAGE_MASTER_PLAN,POST_IMPL_AUDIT_20260806_01,observed-dev-20260806.2,A1-03-ASSET,1,1,0,PASS,CURRENT_RUN_EXACT_ONE
23_STAGE_MASTER_PLAN,POST_IMPL_MASTER_AUDIT_20260806_01,observed-dev-20260806.2,A2-03-OCR,1,0,0,EVIDENCE_INSUFFICIENT,MASTER_BLOCKED_BEFORE_CHILD_EXECUTION
23_STAGE_MASTER_PLAN,POST_IMPL_MASTER_AUDIT_20260806_01,observed-dev-20260806.2,A2-06-DEDUP,1,0,0,EVIDENCE_INSUFFICIENT,MASTER_BLOCKED_BEFORE_CHILD_EXECUTION
23_STAGE_MASTER_PLAN,POST_IMPL_MASTER_AUDIT_20260806_01,observed-dev-20260806.2,A4-02-RETRIEVAL,1,0,0,EVIDENCE_INSUFFICIENT,MASTER_BLOCKED_BEFORE_CHILD_EXECUTION
23_STAGE_MASTER_PLAN,POST_IMPL_MASTER_AUDIT_20260806_01,observed-dev-20260806.2,A2-08-NCS-LOAD,1,0,0,EVIDENCE_INSUFFICIENT,MASTER_BLOCKED_BEFORE_CHILD_EXECUTION
23_STAGE_MASTER_PLAN,POST_IMPL_AUDIT_20260806_01,observed-dev-20260806.2,A1-04-RELEASE,1,1,0,PASS,CURRENT_RUN_EXACT_ONE
23_STAGE_MASTER_PLAN,POST_IMPL_MASTER_AUDIT_20260806_01,observed-dev-20260806.2,A2-04-TRACK,1,0,0,EVIDENCE_INSUFFICIENT,MASTER_BLOCKED_BEFORE_CHILD_EXECUTION
23_STAGE_MASTER_PLAN,POST_IMPL_MASTER_AUDIT_20260806_01,observed-dev-20260806.2,A2-05-REQUIREMENT,1,0,0,EVIDENCE_INSUFFICIENT,MASTER_BLOCKED_BEFORE_CHILD_EXECUTION
23_STAGE_MASTER_PLAN,POST_IMPL_MASTER_AUDIT_20260806_01,observed-dev-20260806.2,A2-07-LABEL,1,0,0,EVIDENCE_INSUFFICIENT,MASTER_BLOCKED_BEFORE_CHILD_EXECUTION
23_STAGE_MASTER_PLAN,POST_IMPL_MASTER_AUDIT_20260806_01,observed-dev-20260806.2,A4-03-MAP-OBSERVED,1,0,0,EVIDENCE_INSUFFICIENT,MASTER_BLOCKED_BEFORE_CHILD_EXECUTION
23_STAGE_MASTER_PLAN,POST_IMPL_MASTER_AUDIT_20260806_01,observed-dev-20260806.2,A4-04-EXPORT,1,0,0,EVIDENCE_INSUFFICIENT,MASTER_BLOCKED_BEFORE_CHILD_EXECUTION
23_STAGE_MASTER_PLAN,POST_IMPL_MASTER_AUDIT_20260806_01,observed-dev-20260806.2,A4-05-EVALUATE,1,0,0,EVIDENCE_INSUFFICIENT,MASTER_BLOCKED_BEFORE_CHILD_EXECUTION
23_STAGE_MASTER_PLAN,POST_IMPL_MASTER_AUDIT_20260806_01,observed-dev-20260806.2,A2-09-NCS-MAP,1,0,0,EVIDENCE_INSUFFICIENT,MASTER_BLOCKED_BEFORE_CHILD_EXECUTION
23_STAGE_MASTER_PLAN,POST_IMPL_MASTER_AUDIT_20260806_01,observed-dev-20260806.2,A2-10-EXPORT,1,0,0,EVIDENCE_INSUFFICIENT,MASTER_BLOCKED_BEFORE_CHILD_EXECUTION
23_STAGE_MASTER_PLAN,POST_IMPL_MASTER_AUDIT_20260806_01,observed-dev-20260806.2,A2-11-EXPORT-QA,1,0,0,EVIDENCE_INSUFFICIENT,MASTER_BLOCKED_BEFORE_CHILD_EXECUTION
