producerStageId,consumerStageId,producerOrder,consumerOrder,status
A1-00-RECOVER,A1-01-INDEX,0,2,PASS
A1-01-INDEX,A1-02-DETAIL,2,5,PASS
A1-02-DETAIL,A1-03-ASSET,5,8,PASS
A1-03-ASSET,A1-04-RELEASE,8,13,PASS
A2-00-CONTRACT-AUDIT,A2-01-LOAD,1,3,PASS
A2-01-LOAD,A2-02-PARSE,3,6,PASS
A2-02-PARSE,A2-03-OCR,6,9,PASS
A2-03-OCR,A2-04-TRACK,9,14,PASS
A2-04-TRACK,A2-05-REQUIREMENT,14,15,PASS
A2-02-PARSE,A2-06-DEDUP,6,10,PASS
A2-05-REQUIREMENT,A2-07-LABEL,15,16,PASS
A4-00-NCS-SOURCE,A2-08-NCS-LOAD,4,12,PASS
A4-01-CODESET,A2-08-NCS-LOAD,7,12,PASS
A2-08-NCS-LOAD,A2-09-NCS-MAP,12,20,PASS
A4-03-MAP-OBSERVED,A2-09-NCS-MAP,17,20,PASS
A4-04-EXPORT,A2-09-NCS-MAP,18,20,PASS
A2-00-CONTRACT-AUDIT,A4-00-NCS-SOURCE,1,4,PASS
A4-00-NCS-SOURCE,A4-01-CODESET,4,7,PASS
A4-01-CODESET,A4-02-RETRIEVAL,7,11,PASS
A2-05-REQUIREMENT,A4-03-MAP-OBSERVED,15,17,PASS
A4-02-RETRIEVAL,A4-03-MAP-OBSERVED,11,17,PASS
A4-03-MAP-OBSERVED,A4-04-EXPORT,17,18,PASS
A4-04-EXPORT,A4-05-EVALUATE,18,19,PASS
A2-05-REQUIREMENT,A2-10-EXPORT,15,21,PASS
A2-06-DEDUP,A2-10-EXPORT,10,21,PASS
A2-07-LABEL,A2-10-EXPORT,16,21,PASS
A2-09-NCS-MAP,A2-10-EXPORT,20,21,PASS
A2-10-EXPORT,A2-11-EXPORT-QA,21,22,PASS
