metric,value
sample_n,35
external_apply_count,35
external_apply_share,1.0
internal_linkareer_only_count,0
bodyTextLength_lt_120_count,5
bodyTextLength_lt_120_share,0.1429

external_domain,count
talent-hyundai-now.com,7
www.saramin.co.kr,4
www.jobkorea.co.kr,2
tara.career.greetinghr.com,2
ajnet.recruiter.co.kr,1
www.kist.re.kr,1
www.kead.or.kr,1
kkapt.applyin.co.kr,1
www.dbeng.co.kr,1
recruit.incruit.com,1
www.notion.so,1
blog.naver.com,1
recruit.lotte.co.kr,1
www.talent-hyundai-now.com,1
job.incruit.com,1
www.yyroad.co.kr,1
sebang.recruiter.co.kr,1
worldpanasia.recruiter.co.kr,1
talent.hyundai.com,1
recruit.kt.com,1
welcome.recruiter.co.kr,1
recruit.lotterental.net,1
www.cbs.co.kr,1
