year,id,title,jobTypes,dutiesCount,hasActivityText,activityTextPlainLen,bodyTextLength_ge_120,applyDetail,externalApplyDomain,isExternalApply,regions,educationTypes,salaryType,filesTypes
2020,36491,각 부문 수시 채용,NEW|EXPERIENCED,0,True,198,True,https://ajnet.recruiter.co.kr/app/jobnotice/view?systemKindCode=MRS2&jobnoticeSn=23482,ajnet.recruiter.co.kr,True,서울|경기,,,썸네일|로고
2020,34617,동탄호텔 F&B 정규직 채용,NEW,0,True,174,True,http://www.jobkorea.co.kr/Recruit/GI_Read/31196582?Oem_Code=C1&PageGbn=ST,www.jobkorea.co.kr,True,,,,썸네일|로고
2020,34460,2020 상반기 각 부문 신입 및 경력 채용,NEW|EXPERIENCED|CONTRACT,0,True,311,True,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=37844522&recommend_ids=eJxVzrsNwEAMAtBp0h%2F%2BYdcZJPtvEUVpcPkEQjg7hrCnYBdv%2F2jmQkZACaTydC9CyzWly9WsxRpl5irHrDSgHE8K%2B5y1zP%2FGC%2FOpMCw%3D&view_type=public-recruit&gz=1&t_ref=public-r,www.saramin.co.kr,True,,,,썸네일|로고
2020,34465,2020 3월 공개채용,INTERN|NEW|CONTRACT,0,True,145,True,https://www.kist.re.kr/kist_web/?sub_num=2299,www.kist.re.kr,True,서울,,,썸네일|로고
2020,34469,육아휴직 대체 체험형 청년인턴 채용,INTERN,0,True,153,True,https://www.kead.or.kr/view/agency/agency06_03_01_view.jsp?no=8876&gotopage=1&search=&keyword=&data_gb=000&branch_gb=B00&station_gb=000&main=5&sub1=6&sub2=3,www.kead.or.kr,True,,,,썸네일|로고
2021,57020,월 200만원! 채용조건부 인턴 채용,INTERN,0,True,168,True,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=39690378&recommend_ids=eJxdzssRAzEIA9Bqcgcj8TmnEPffRbzJrs3k%2BAaBsPJSSEyWv%2BJtixJahwnSDm0g2cJKyqYlVPTQoUQLW%2Blol7nGbZr89vKhDt8Mkas3xP448YuPdOQM5v3matfDcpdst9eyNDpCN6ExTPqugSeM1cRr%2Bg,www.saramin.co.kr,True,서울,,,썸네일|로고
2021,57035,총 00명! 각 부문 신입 및 경력 채용,NEW|EXPERIENCED,0,True,299,True,https://kkapt.applyin.co.kr/,kkapt.applyin.co.kr,True,지역 제한없음,,,썸네일|로고
2021,57144,2021년 상반기 대졸 신입사원 채용,NEW,0,True,185,True,http://www.dbeng.co.kr/recruit/recruit.asp,www.dbeng.co.kr,True,서울,,,썸네일|로고
2021,57076,금연정책 시행기업! 각 부문별 신입 및 경력 채용,NEW|EXPERIENCED,0,True,184,True,http://www.jobkorea.co.kr/Recruit/GI_Read/34018772?cmpid=vm_viral_bebettergirls&Oem_Code=C1&rPageCode=PL,www.jobkorea.co.kr,True,서울,,,썸네일|로고
2021,58387,야근강요 없음! 각 부문별 신입 및 경력 채용,NEW|EXPERIENCED,0,True,217,True,https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=39691969&recommend_ids=eJxdkMsVRCEIQ6uZPch%2FPYXYfxfDmyfocXmNQBIKJ1SRaWwf%2B9KBk%2F8PFq6uUxRfXXQwTgm5cH13UCaaGn5h6RQ4YCqMC3seCC3v64WtkzgfemHpYxjH1hv7vr359MKKmxcZOu7GrVualdALa39%2BlTj7Wd,www.saramin.co.kr,True,서울,,,썸네일|로고
2022,82542,2022년 제1차 청년재단 신규직원 채용,NEW|EXPERIENCED,0,True,155,True,https://recruit.incruit.com/kyf/job/2022031806,recruit.incruit.com,True,서울,,,썸네일|로고
2022,80565,신입/경력 영업담당자 채용,NEW|EXPERIENCED,0,True,148,True,https://www.saramin.co.kr/zf_user/jobs/view?rec_idx=42014164&view_type=etc,www.saramin.co.kr,True,서울,,,썸네일|로고
2022,80750,NFT디자인/일러스트레이터 경력 채용,EXPERIENCED|NEW,0,True,244,True,https://www.notion.so/UN-OFF-NFT-3275ef54091447bcbfba4922bd943fcf,www.notion.so,True,서울,,,썸네일|로고
2022,80262,"온라인광고 영업부서 신입, 경력사원 모집",NEW|EXPERIENCED,0,True,204,True,https://blog.naver.com/good_eat1/222660034768,blog.naver.com,True,서울,,,썸네일|로고
2022,80274,2022년 3월 JA Grade 신입사원 채용,NEW,0,True,168,True,https://recruit.lotte.co.kr/apply/announcement/detail/20512271?compcd=?id=bookmark1002,recruit.lotte.co.kr,True,지역 제한없음,,,썸네일|로고
2023,122078,[다이사] 콘텐츠 마케터 인턴 채용,INTERN,0,True,1262,True,jun@marketdesigners.com,,True,서울,,,썸네일|로고
2023,123336,현대자동차 3월 신입 채용,NEW,0,True,99,False,https://www.talent-hyundai-now.com/,www.talent-hyundai-now.com,True,지역 제한없음,,,썸네일|로고
2023,118646,KP그룹 국내영업,NEW,0,True,49,False,https://job.incruit.com/jobdb_info/popupjobpost.asp?job=2301100001791&inOut=In,job.incruit.com,True,서울,,,썸네일|로고
2023,123696,"<국내 최고의 휴양지 양양의 메인거리 양리단길> 에서 마케팅,사무직 담당직원 구합니다.",EXPERIENCED|NEW,0,True,727,True,http://www.yyroad.co.kr/item.php?it_id=1676967260,www.yyroad.co.kr,True,지역 제한없음,,,썸네일|로고|지원서 및 안내자료
2023,123401,2023년 이앤에스글로벌 3월 채용연계형 인턴 채용,INTERN,0,True,132,True,https://sebang.recruiter.co.kr/app/jobnotice/view?systemKindCode=MRS2&jobnoticeSn=133863,sebang.recruiter.co.kr,True,서울,,,썸네일|로고
2024,171820,[파나시아] 스마트서비스본부 ACS&SMR 신사업 담당 신입/경력 채용,NEW,0,True,97,False,https://worldpanasia.recruiter.co.kr/app/jobnotice/view?systemKindCode=MRS2&jobnoticeSn=173557,worldpanasia.recruiter.co.kr,True,,,,썸네일|로고
2024,171480,[현대자동차] 연구개발 신입 수시 채용,NEW,5,True,208,True,https://talent-hyundai-now.com/new/,talent-hyundai-now.com,True,지역 제한없음,,,썸네일|로고
2024,171491,[현대자동차] 생산/제조 신입 수시 채용,NEW,114,True,181,True,https://talent-hyundai-now.com/new/,talent-hyundai-now.com,True,지역 제한없음,,,썸네일|로고
2024,171492,[현대자동차] 사업/기획 신입 수시 채용,NEW,68,True,181,True,https://talent-hyundai-now.com/new/,talent-hyundai-now.com,True,지역 제한없음,,,썸네일|로고
