year,id,title,jobTypes,dutyJobTypes,jobTypeConflictFlag,dutiesCount,hasActivityText,activityTextPlainLen,activityTextEmbeddedImageFlag,hasPosterFile,applyDetail,externalApplyDomain,externalApplyFlag,externalDetailOnlyFlag,rq1EligibleFlag,rq2EligibleFlag,ncsEligibleFlag
2020,36491,각 부문 수시 채용,NEW|EXPERIENCED,,False,0,True,198,True,False,https://ajnet.recruiter.co.kr/app/jobnotice/view?systemKindCode=MRS2&jobnoticeSn=23482,ajnet.recruiter.co.kr,True,False,True,True,False
2020,34617,동탄호텔 F&B 정규직 채용,NEW,,False,0,True,174,True,False,http://www.jobkorea.co.kr/Recruit/GI_Read/31196582?Oem_Code=C1&PageGbn=ST,www.jobkorea.co.kr,True,False,True,True,False
2020,34460,2020 상반기 각 부문 신입 및 경력 채용,NEW|EXPERIENCED|CONTRACT,,False,0,True,311,True,False,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=37844522&recommend_ids=eJxVzrsNwEAMAtBp0h%2F%2BYdcZJPtvEUVpcPkEQjg7hrCnYBdv%2F2jmQkZACaTydC9CyzWly9WsxRpl5irHrDSgHE8K%2B5y1zP%2FGC%2FOpMCw%3D&view_type=public-recruit&gz=1&t_ref=public-r,www.saramin.co.kr,True,False,True,True,False
2020,34465,2020 3월 공개채용,INTERN|NEW|CONTRACT,,False,0,True,145,True,False,https://www.kist.re.kr/kist_web/?sub_num=2299,www.kist.re.kr,True,False,True,True,False
2020,34469,육아휴직 대체 체험형 청년인턴 채용,INTERN,,False,0,True,153,True,False,https://www.kead.or.kr/view/agency/agency06_03_01_view.jsp?no=8876&gotopage=1&search=&keyword=&data_gb=000&branch_gb=B00&station_gb=000&main=5&sub1=6&sub2=3,www.kead.or.kr,True,False,True,True,False
2020,34376,게임기획 인턴직 채용,INTERN,,False,0,True,307,False,False,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=37845295&recommend_ids=eJxVj0EOAzEIA1%2FTOwQw%2BLwPyf9%2F0WybTbISl2FkIyzT7%2BnB%2BuRlWQ6P2Cgaaj2gjy2Vno7HosVCQILc1oU5spzYlKyjmeq6bKKaHZjuwJE1841JhdaBUtwW4WWxsw79Vc27ITayKbb%2BVb7e%2F2P3u,www.saramin.co.kr,True,False,True,True,False
2020,34379,해외영업부 인턴직 채용,INTERN,,False,0,True,268,False,False,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=37847030&recommend_ids=eJxNz8kRA0EIA8Bo%2FOcQAt4OZPLPwnt4ln02ogrhyTKLXNH1ya%2B%2FuHANCoT2kw93bqKpk3t2YgX1Yir7TDfbVXks815WBbko9r8t6HyYkhLDsiJ1CCo5vQVGm1Tajpqb0W6sOdQeiBelXFfibpU4WnIoKK9ht,www.saramin.co.kr,True,False,True,True,False
2020,34380,언론홍보 인턴 채용,INTERN,,False,0,True,376,False,False,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=37850107&recommend_ids=eJxVzskNwDAIBMBq8udYrncKcf9dxIpkGZ6ziAWNhINrWeUTrzYunEBEdmCH7NpoSAw6XRop5wrSQyHtJKNLVLB0usr9a1cFjypvVftuod8V69NKmbs6v3Lv5JoMjCr8%2FAAskERV&view_type=search&searchw,www.saramin.co.kr,True,False,True,True,False
2020,34644,[JB금융지주] 홍보부 인턴 채용 공고 (~03/06),INTERN,,False,0,True,488,True,False,shjung1@jbfg.com,,True,False,True,True,False
2020,34827,"블록체인 전문 기자(신입인턴, 경력)모집",NEW|EXPERIENCED,,False,0,True,423,False,False,http://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=37854626&recommend_ids=eJxtzrkRQkEMA9BqyH1Ljilk%2B%2B8CPv9YB4TPGmvkIBAiK5svvH1wxXmQ7MYqsR8RzqyFqJNuys1yDdimlBof0oxR3%2B6LUAsMktpjCCH6h%2FcuMA0zv%2Fjk6Midl3zrF%2FKhaG26Vo0p7k0Zy1rlSPNmeE5,www.saramin.co.kr,True,False,True,True,False
