path,module,className,function,signature,purpose,inputGrain,outputGrain,requiredColumns,producedColumns,exceptions,idempotency,testPath
pipeline/src/p4/analysis/segmented.py,p4.analysis.segmented,,require_crawl_release_provenance,require_crawl_release_provenance(provenance: ProvenanceContext) -> None,No function docstring; inspect source,module-specific input,module-specific output,[],[],"[""TypeError""]",DETERMINISTIC_EXPECTED,NO_DIRECT_TEST_REFERENCE
pipeline/src/p4/analysis/segmented.py,p4.analysis.segmented,,prepare_segmented_design,"prepare_segmented_design(frame: pd.DataFrame, intervention_date: str='2023-01-01') -> pd.DataFrame",No function docstring; inspect source,module-specific input,module-specific output,"[""Post2023"", ""Time"", ""TimeAfter2023"", ""monthOfYear"", ""periodMonth""]",[],"[""ValueError""]",DETERMINISTIC_EXPECTED,pipeline/tests/unit/test_analysis.py
pipeline/src/p4/analysis/segmented.py,p4.analysis.segmented,,_design_matrix,"_design_matrix(frame: pd.DataFrame, include_job_fixed_effects: bool) -> pd.DataFrame",No function docstring; inspect source,module-specific input,module-specific output,"[""Post2023"", ""Time"", ""TimeAfter2023"", ""add"", ""job"", ""jobCode"", ""month"", ""monthOfYear""]",[],"[""ValueError""]",DETERMINISTIC_EXPECTED,NO_DIRECT_TEST_REFERENCE
pipeline/src/p4/analysis/segmented.py,p4.analysis.segmented,,coefficient_table,coefficient_table(model) -> pd.DataFrame,No function docstring; inspect source,module-specific input,module-specific output,"[""ciLower"", ""ciUpper"", ""estimate"", ""pValue"", ""stdError"", ""term""]","[""ciLower"", ""ciUpper"", ""estimate"", ""pValue"", ""stdError"", ""term""]",[],DETERMINISTIC_EXPECTED,NO_DIRECT_TEST_REFERENCE
pipeline/src/p4/analysis/segmented.py,p4.analysis.segmented,,fit_monthly_hac,"fit_monthly_hac(frame: pd.DataFrame, spec: AnalysisSpec, provenance: ProvenanceContext)",No function docstring; inspect source,module-specific input,module-specific output,"[""HAC"", ""maxlags"", ""periodMonth""]","[""maxlags""]","[""ValueError""]",DETERMINISTIC_EXPECTED,pipeline/tests/unit/test_analysis.py
pipeline/src/p4/analysis/segmented.py,p4.analysis.segmented,,fit_job_panel_clustered,"fit_job_panel_clustered(frame: pd.DataFrame, spec: AnalysisSpec, provenance: ProvenanceContext)",No function docstring; inspect source,module-specific input,module-specific output,"[""cluster"", ""groups"", ""jobCode""]","[""groups""]","[""ValueError""]",DETERMINISTIC_EXPECTED,NO_DIRECT_TEST_REFERENCE
pipeline/src/p4/common/hashing.py,p4.common.hashing,,sha256_bytes,sha256_bytes(payload: bytes) -> str,No function docstring; inspect source,module-specific input,module-specific output,[],[],[],DETERMINISTIC_EXPECTED,pipeline/tests/unit/test_common.py
pipeline/src/p4/common/hashing.py,p4.common.hashing,,sha256_text,sha256_text(text: str) -> str,No function docstring; inspect source,module-specific input,module-specific output,[],[],[],DETERMINISTIC_EXPECTED,NO_DIRECT_TEST_REFERENCE
pipeline/src/p4/common/hashing.py,p4.common.hashing,,sha256_file,"sha256_file(path: str | Path, chunk_size: int=1024 * 1024) -> str",No function docstring; inspect source,module-specific input,module-specific output,[],[],[],DETERMINISTIC_EXPECTED,NO_DIRECT_TEST_REFERENCE
pipeline/src/p4/common/hashing.py,p4.common.hashing,,canonical_json_sha256,canonical_json_sha256(value: Any) -> str,No function docstring; inspect source,module-specific input,module-specific output,[],[],[],DETERMINISTIC_EXPECTED,pipeline/tests/unit/test_common.py
pipeline/src/p4/common/key_strategies.py,p4.common.key_strategies,,build_migration_map,"build_migration_map(object_type: str, samples: Iterable[tuple[Any, ...]], legacy: KeyStrategy, canonical: KeyStrategy) -> list[dict[str, str]]",No function docstring; inspect source,module-specific input,module-specific output,"[""canonicalKey"", ""contractVersion"", ""legacyKey"", ""objectType""]","[""canonicalKey"", ""contractVersion"", ""legacyKey"", ""objectType""]","[""ValueError""]",DETERMINISTIC_EXPECTED,pipeline/tests/unit/test_key_strategies.py
pipeline/src/p4/common/key_strategies.py,p4.common.key_strategies,KeyStrategy,make,"make(self, object_type: str, *parts: Any) -> str",No function docstring; inspect source,module-specific input,module-specific output,[],[],"[""NotImplementedError""]",DETERMINISTIC_EXPECTED,pipeline/tests/unit/test_key_strategies.py|pipeline/tests/unit/test_common.py
pipeline/src/p4/common/key_strategies.py,p4.common.key_strategies,Sha1LegacyStrategy,_digest,"_digest(*parts: Any, length: int) -> str",No function docstring; inspect source,module-specific input,module-specific output,[],[],[],DETERMINISTIC_EXPECTED,NO_DIRECT_TEST_REFERENCE
pipeline/src/p4/common/key_strategies.py,p4.common.key_strategies,Sha1LegacyStrategy,make,"make(self, object_type: str, *parts: Any) -> str",No function docstring; inspect source,module-specific input,module-specific output,"[""assetId"", ""co_"", ""companyKey"", ""dg_"", ""duplicateGroupId"", ""lk_"", ""matchId"", ""metricId"", ""ocrId"", ""postingId"", ""rawPostingId"", ""requirementId"", ""sectionId"", ""trackId""]",[],"[""KeyError""]",DETERMINISTIC_EXPECTED,pipeline/tests/unit/test_key_strategies.py|pipeline/tests/unit/test_common.py
pipeline/src/p4/common/key_strategies.py,p4.common.key_strategies,CanonicalContractStrategy,__post_init__,__post_init__(self) -> None,No function docstring; inspect source,module-specific input,module-specific output,"[""algorithm"", ""rules"", ""sha1"", ""sha256"", ""truncationHexChars""]",[],"[""ValueError""]",DETERMINISTIC_EXPECTED,NO_DIRECT_TEST_REFERENCE
pipeline/src/p4/common/key_strategies.py,p4.common.key_strategies,CanonicalContractStrategy,from_contract,"from_contract(cls, contract: dict[str, Any]) -> 'CanonicalContractStrategy'",No function docstring; inspect source,module-specific input,module-specific output,"[""CanonicalContractStrategy"", ""contractVersion"", ""keyContract"", ""rules""]",[],[],DETERMINISTIC_EXPECTED,pipeline/tests/unit/test_key_strategies.py
pipeline/src/p4/common/key_strategies.py,p4.common.key_strategies,CanonicalContractStrategy,make,"make(self, object_type: str, *parts: Any) -> str",No function docstring; inspect source,module-specific input,module-specific output,"[""NMT_"", ""PST_"", ""RAW_"", ""REQ_"", ""SEC_"", ""TRK_"", ""algorithm"", ""encoding"", ""length"", ""matchId"", ""postingId"", ""prefix"", ""rawPostingId"", ""requirementId"", ""rules"", ""sectionId"", ""separator"", ""trackId"", ""truncationHexChars""]","[""length"", ""matchId"", ""postingId"", ""prefix"", ""rawPostingId"", ""requirementId"", ""sectionId"", ""trackId""]","[""KeyError"", ""ValueError""]",DETERMINISTIC_EXPECTED,pipeline/tests/unit/test_key_strategies.py|pipeline/tests/unit/test_common.py
pipeline/src/p4/common/keys.py,p4.common.keys,,normalize,normalize(value: Any) -> str,No function docstring; inspect source,module-specific input,module-specific output,"[""NFKC""]",[],[],DETERMINISTIC_EXPECTED,pipeline/tests/unit/test_observed_development.py|pipeline/tests/unit/test_linkareer_adapters.py|pipeline/tests/unit/test_parse_normalize.py|pipeline/tests/unit/test_common.py
pipeline/src/p4/common/keys.py,p4.common.keys,,normalize_company,normalize_company(value: Any) -> str,No function docstring; inspect source,module-specific input,module-specific output,[],[],[],DETERMINISTIC_EXPECTED,NO_DIRECT_TEST_REFERENCE
pipeline/src/p4/common/keys.py,p4.common.keys,,_key,"_key(prefix: str, *parts: Any) -> str",No function docstring; inspect source,module-specific input,module-specific output,[],[],[],DETERMINISTIC_EXPECTED,pipeline/tests/integration/test_warehouse.py|pipeline/tests/unit/test_key_strategies.py|pipeline/tests/unit/test_contracts.py|pipeline/tests/unit/test_common.py
pipeline/src/p4/common/keys.py,p4.common.keys,,_canonical_contract_key,"_canonical_contract_key(prefix: str, *parts: Any) -> str",No function docstring; inspect source,module-specific input,module-specific output,[],[],"[""ValueError""]",DETERMINISTIC_EXPECTED,NO_DIRECT_TEST_REFERENCE
pipeline/src/p4/common/keys.py,p4.common.keys,,make_posting_id,"make_posting_id(source_name: str, source_posting_id: str, source_url: str | None=None) -> str",No function docstring; inspect source,module-specific input,module-specific output,"[""PST""]",[],[],DETERMINISTIC_EXPECTED,NO_DIRECT_TEST_REFERENCE
pipeline/src/p4/common/keys.py,p4.common.keys,,make_raw_posting_id,"make_raw_posting_id(source_name: str, source_posting_id: str, raw_sha256: str) -> str",No function docstring; inspect source,module-specific input,module-specific output,"[""RAW""]",[],[],DETERMINISTIC_EXPECTED,NO_DIRECT_TEST_REFERENCE
pipeline/src/p4/common/keys.py,p4.common.keys,,make_track_id,"make_track_id(posting_id: str, track_index: int | str) -> str",No function docstring; inspect source,module-specific input,module-specific output,"[""TRK""]",[],[],DETERMINISTIC_EXPECTED,NO_DIRECT_TEST_REFERENCE
pipeline/src/p4/common/keys.py,p4.common.keys,,make_section_id,"make_section_id(track_id: str, section_order: int | str) -> str",No function docstring; inspect source,module-specific input,module-specific output,"[""SEC""]",[],[],DETERMINISTIC_EXPECTED,NO_DIRECT_TEST_REFERENCE
pipeline/src/p4/common/keys.py,p4.common.keys,,make_requirement_id,"make_requirement_id(section_id: str, requirement_type: str, normalized_evidence: str) -> str",No function docstring; inspect source,module-specific input,module-specific output,"[""REQ""]",[],[],DETERMINISTIC_EXPECTED,NO_DIRECT_TEST_REFERENCE
pipeline/src/p4/common/keys.py,p4.common.keys,,make_asset_id,"make_asset_id(posting_id: str, asset_url: str, asset_sha256: str | None=None) -> str",No function docstring; inspect source,module-specific input,module-specific output,"[""AST""]",[],[],DETERMINISTIC_EXPECTED,NO_DIRECT_TEST_REFERENCE
pipeline/src/p4/common/keys.py,p4.common.keys,,make_ocr_id,"make_ocr_id(asset_id: str, engine: str, model_version: str) -> str",No function docstring; inspect source,module-specific input,module-specific output,"[""OCR""]",[],[],DETERMINISTIC_EXPECTED,NO_DIRECT_TEST_REFERENCE
pipeline/src/p4/common/keys.py,p4.common.keys,,make_match_id,"make_match_id(track_id: str, ncs_unit_code: str, mapping_basis: str, evidence_hash: str) -> str",No function docstring; inspect source,module-specific input,module-specific output,"[""NMT""]",[],[],DETERMINISTIC_EXPECTED,NO_DIRECT_TEST_REFERENCE
pipeline/src/p4/common/keys.py,p4.common.keys,,make_duplicate_group_id,"make_duplicate_group_id(company_key: str, normalized_title: str, first_posted_at: Any) -> str",No function docstring; inspect source,module-specific input,module-specific output,"[""DUP""]",[],[],DETERMINISTIC_EXPECTED,NO_DIRECT_TEST_REFERENCE
pipeline/src/p4/common/keys.py,p4.common.keys,,make_company_key,make_company_key(company_name: str) -> str,No function docstring; inspect source,module-specific input,module-specific output,"[""COM""]",[],[],DETERMINISTIC_EXPECTED,NO_DIRECT_TEST_REFERENCE
pipeline/src/p4/common/keys.py,p4.common.keys,,make_metric_id,"make_metric_id(period_month: Any, cohort_type: str, job_code_level: str, job_code: str, dedup_applied: bool) -> str",No function docstring; inspect source,module-specific input,module-specific output,"[""MET""]",[],[],DETERMINISTIC_EXPECTED,NO_DIRECT_TEST_REFERENCE
pipeline/src/p4/common/manifest_cursor.py,p4.common.manifest_cursor,,should_process_raw,"should_process_raw(raw_sha256: str, parse_version: str, processed: Iterable[Mapping[str, object]]) -> bool",Skip the same raw bytes unless parser semantics changed.,module-specific input,module-specific output,"[""lastProcessedRawSha256"", ""parseVersion""]",[],[],DETERMINISTIC_EXPECTED,pipeline/tests/unit/test_observed_development.py
pipeline/src/p4/common/manifest_cursor.py,p4.common.manifest_cursor,,advance_cursor,"advance_cursor(offset: int, raw_sha256: str, release_id: str, parse_version: str) -> ManifestCursor",No function docstring; inspect source,module-specific input,module-specific output,"[""CRAWL_""]",[],"[""ValueError""]",DETERMINISTIC_EXPECTED,pipeline/tests/unit/test_observed_development.py
