runId,dataVersion,schemaVersion,checkId,status,observed,evidenceMode
CANARY_T0_20260807_03,canary-t0-canary_t0_20260807_03,p4-canary-handoff-v1,RAW_MOUNT,PASS,AVAILABLE,FIXTURE_ONLY
CANARY_T0_20260807_03,canary-t0-canary_t0_20260807_03,p4-canary-handoff-v1,RAW_UNMOUNTED,PASS,RAW_ROOT_UNMOUNTED,FIXTURE_ONLY
CANARY_T0_20260807_03,canary-t0-canary_t0_20260807_03,p4-canary-handoff-v1,RAW_WRONG_SHA,PASS,COMPRESSED_SHA_MISMATCH/QUARANTINED,FIXTURE_ONLY
CANARY_T0_20260807_03,canary-t0-canary_t0_20260807_03,p4-canary-handoff-v1,RAW_POSTING_BINDING,PASS,MATCHED,FIXTURE_ONLY
CANARY_T0_20260807_03,canary-t0-canary_t0_20260807_03,p4-canary-handoff-v1,PAGINATION_TERMINATION,PASS,unique cursors; exhausted=true,FIXTURE_ONLY
CANARY_T0_20260807_03,canary-t0-canary_t0_20260807_03,p4-canary-handoff-v1,CURSOR_LOOP,PASS,CANARY_STOPPED_BY_KILL_SWITCH:CURSOR_LOOP,FIXTURE_ONLY
CANARY_T0_20260807_03,canary-t0-canary_t0_20260807_03,p4-canary-handoff-v1,CHECKPOINT_CORRUPTION,PASS,CANARY_STOPPED_BY_KILL_SWITCH:CHECKPOINT_CORRUPTION,FIXTURE_ONLY
CANARY_T0_20260807_03,canary-t0-canary_t0_20260807_03,p4-canary-handoff-v1,HTTP_403,PASS,CANARY_STOPPED_BY_KILL_SWITCH:MAX_CONSECUTIVE_403,FIXTURE_ONLY
CANARY_T0_20260807_03,canary-t0-canary_t0_20260807_03,p4-canary-handoff-v1,HTTP_429,PASS,CANARY_STOPPED_BY_KILL_SWITCH:MAX_CONSECUTIVE_429,FIXTURE_ONLY
CANARY_T0_20260807_03,canary-t0-canary_t0_20260807_03,p4-canary-handoff-v1,CONTENT_TYPE_DRIFT,PASS,CANARY_STOPPED_BY_KILL_SWITCH:UNEXPECTED_CONTENT_TYPE,FIXTURE_ONLY
CANARY_T0_20260807_03,canary-t0-canary_t0_20260807_03,p4-canary-handoff-v1,SCHEMA_DRIFT,PASS,CANARY_STOPPED_BY_KILL_SWITCH:SCHEMA_DRIFT:missing nodes,FIXTURE_ONLY
CANARY_T0_20260807_03,canary-t0-canary_t0_20260807_03,p4-canary-handoff-v1,ACTIVITY_TEXT_AMBIGUITY,PASS,selected=False; status=AMBIGUOUS_STANDALONE,FIXTURE_ONLY
CANARY_T0_20260807_03,canary-t0-canary_t0_20260807_03,p4-canary-handoff-v1,REQUEST_IDEMPOTENCY,PASS,duplicate=DUPLICATE_NO_RESTORE; conflictQuarantined=True,FIXTURE_ONLY
CANARY_T0_20260807_03,canary-t0-canary_t0_20260807_03,p4-canary-handoff-v1,SECRET_COOKIE_SCAN,PASS,0,FIXTURE_ONLY
CANARY_T0_20260807_03,canary-t0-canary_t0_20260807_03,p4-canary-handoff-v1,ABSOLUTE_RAW_PATH_SCAN,PASS,0,FIXTURE_ONLY
