chunkId,sourceRole
CHK_bc2eb63a59cc1d4da5a26f12,OTHER
CHK_35310bcdc1b3f26607d18d5c,OTHER
CHK_c6e7ffaacf9e33ef8135f8ca,OTHER
CHK_3a6f59e8a478d379c2b952f1,DUTY
CHK_8ccd91f75448ca0d74b639ac,DUTY
CHK_192f6596e24ff983c245385a,DUTY
CHK_4c3b48031ea421ea6323f81e,REQUIRED
CHK_a7c90587a91cc01f760d2215,OTHER
CHK_3c93c7d2438c4c233c737399,OTHER
CHK_99be5aeed33e7ff22a4666bb,OTHER
CHK_faf23a11e3f670a95a523d20,DUTY
CHK_9d06ed3b517f7f0cb6b6508f,DUTY
CHK_15410b5fa7f07f3c4e088deb,DUTY
CHK_245f97ea76d5cf0a91e33a81,DUTY
CHK_67c41f6cdf4eb4661c734473,DUTY
CHK_3a73bf4d573895d3c1b1dacc,DUTY
CHK_db079b3c5941cfe776475495,DUTY
CHK_6796ca51644d0c771e86d168,REQUIRED
CHK_ceb81a7ddb833a97ec807c75,OTHER
CHK_c50d786cdb1df02aa59e88c8,OTHER
CHK_eafb2a665cb9365b818de304,OTHER
CHK_880f0fda7056fbf1d41d1426,DUTY
CHK_a05720b69a82689565946591,DUTY
CHK_b7fb56772bb15efa0fe2d54c,DUTY
CHK_6ee6f59e8a139634ef832af0,DUTY
CHK_0ba4e5eb5da154ac1972a5c3,DUTY
CHK_422fa1df815017d79c153463,REQUIRED
CHK_6875c253f7a47c65b28ebcb3,OTHER
CHK_61666c18bdc1f68b150202b4,OTHER
CHK_74075aab62e5acc1550631e0,OTHER
CHK_faa7b8cad68b884898aba92e,DUTY
CHK_256051dac4b55208e4e88de4,DUTY
CHK_a3ba9ebeab2b942422adf626,DUTY
CHK_f332950d01367a942afe020b,DUTY
CHK_fae274cff99d408894c9fa7f,DUTY
CHK_f79f61c5b2aed16c4cc8312d,DUTY
CHK_4bc3477af84f90131068d74a,DUTY
CHK_4b16c9894262adc74c655754,DUTY
CHK_ba2358e079973650cd3689c4,DUTY
CHK_232bf50baef3103907cd6459,DUTY
CHK_2db79e43d4f3e8d676ef3588,DUTY
CHK_31dab996f8a3243ada309267,DUTY
CHK_30cc84d8ce28d84117d27216,DUTY
CHK_f2d9b9faa3eca8ab1cd99d33,DUTY
CHK_cfc380ef6714395fec166960,DUTY
CHK_29c0e6abcbd5db561262e123,DUTY
CHK_da28d2343ee969bc8c309a2c,REQUIRED
CHK_72bc5c614ca14f9fc9498683,OTHER
CHK_19f55ecc638ae0453797f042,OTHER
CHK_38a91b7548392476cbc16c41,OTHER
CHK_431b398877db08f42321c76f,DUTY
CHK_02a0f1b2570187950ed41350,DUTY
CHK_97d282254488db0955b2368e,DUTY
CHK_b05243bb3c23edb8613e520a,DUTY
CHK_b39ba301d71fa6be0e766c12,DUTY
CHK_e17443a3d471c29c7c0cb6d0,DUTY
CHK_b3ae747d0e9ade0b8ac84345,DUTY
CHK_f34622fe9bda611e03c8e24d,DUTY
CHK_380ec5227a4d33a0bb844398,DUTY
CHK_554f5a745c844b34556924af,DUTY
CHK_f4e368758d6150d7cf78ed7a,DUTY
CHK_84c1278100f961e6339047fb,REQUIRED
CHK_60b27c0c106ede59b7a2b2fc,OTHER
CHK_c2e781ade947a61dbda0de31,OTHER
CHK_fccc6ff77b439ad4c7aad7a3,OTHER
CHK_2921f4bba1119044a7c79e3c,DUTY
CHK_97a22bfcc50e67658fa9a708,DUTY
CHK_5e068ded3a07103081f2f3f0,DUTY
CHK_9659ed34f28ba763aeb2b270,DUTY
CHK_ce485cb4b3d414398dbb27ce,DUTY
CHK_791dae6e8f73904add595821,DUTY
CHK_cdcd2ac4ebe421e6559a486d,REQUIRED
CHK_87562e2726c37caee3e33c68,OTHER
CHK_cd0e8ed01d54c9b7cba0119c,OTHER
CHK_964b7e7df7d32ef6c250dfb8,OTHER
CHK_9afc49a149a575c87a8228cb,DUTY
CHK_2878078995f4dc163a58f9d4,DUTY
CHK_b42818d6fad7601905c5115c,DUTY
CHK_8a87a9fd9ce4ceb475735e82,DUTY
CHK_4bd96560b45c8547e88aea61,REQUIRED
CHK_eb6d8483b6c0f04736eafa01,OTHER
CHK_816e15147d736c55390b4b09,OTHER
CHK_62995e9516449cd0f1c5eff7,OTHER
CHK_efb95c232dd0087aab9ed3a4,DUTY
CHK_7e612a3d265792b69ca08474,DUTY
CHK_c1eedbb8a688f82adbe1db31,DUTY
CHK_7fc89d7049257c41730d6430,DUTY
CHK_d5bba041a5b8d6d6757d7664,DUTY
CHK_c974131cff7e8458b8c5b8b7,REQUIRED
CHK_6eac2832188cb47e1d76b7c3,OTHER
CHK_14fdc469ad9a3982f51982d9,OTHER
CHK_721c64165e3e2951bcb60a62,OTHER
CHK_77d0b5393253b71cae95da52,DUTY
CHK_d19eeb7dc96c51673405aa1a,DUTY
CHK_d9e82cf5b07d4b270930af70,DUTY
CHK_1297f17d08d46df9dcc99bda,REQUIRED
CHK_08063b9ff290d675a4047b88,OTHER
CHK_ad1e7d7f9226f6542d3094eb,OTHER
CHK_0d7c3c491e436f3776f48523,OTHER
CHK_cfb80e50578b26f99660add2,DUTY
CHK_e500f18a053063998d3d6ad5,DUTY
CHK_d93f5c8a85363a162a9bf1a4,DUTY
CHK_bd4eb8eb4385851e9cb6b4e4,DUTY
CHK_2079faa1a4bb9dd5505ff114,DUTY
CHK_c137ae93d92c3618ea9a62d2,DUTY
CHK_def9abb10c86327ce6fbcf5a,REQUIRED
CHK_c84a8dd451c00d07f63b3724,OTHER
CHK_3b0e268f1e53076ba4c90308,OTHER
CHK_c68d09c015dc725928c03b72,OTHER
CHK_e7d4b10eb5727c59e6701bd8,DUTY
CHK_bf1722059a57fd3e7bf72e87,DUTY
CHK_946dd875eaf87ae1abe6aacf,DUTY
CHK_ae1908e76bf62282b7ce1c0b,REQUIRED
CHK_aea9e09341937510577d7744,OTHER
CHK_23b115c480488dd7254dd4b8,OTHER
CHK_9ee8a9796af72e88c9a83ee0,OTHER
CHK_d53038c1001437e10eb4b408,DUTY
CHK_42ee0737fa17fb081c70e0a5,DUTY
CHK_faa4c29dff9e1239ed6698c8,DUTY
CHK_e804787ed22b20a685123fd3,DUTY
CHK_70973ff894b16c3bab61fbd3,DUTY
CHK_f06f37456a58c80ff445e64f,DUTY
CHK_f803825dbb127a0d113c82cf,DUTY
CHK_d9f022f19ce4038a68a33238,DUTY
CHK_417afd0e71c922083ead92fd,DUTY
CHK_61161e6f050cd79697e82367,DUTY
CHK_38b1d4c60644c3a440e87889,DUTY
CHK_53e27846f8fcae26dab290c0,DUTY
CHK_a2ad45356ed0fbeead24a8fb,REQUIRED
CHK_d8ebfc175ba1fc350604fb62,REQUIRED
CHK_ff35ed7e74e1ac983f3f9435,OTHER
CHK_c370cf9b93d8c6ce8ce00bed,OTHER
CHK_72c5901c651a32e722ecf47e,OTHER
CHK_fbbaa0b95f810cd9cc8aa3dc,DUTY
