requirementId,sectionId,requirementType,obligation,requirementText,evidenceText,numericValue,unit,normalizedTextValue,rawCertificateName,nationalCertificateClass,requiredDegreeLevel,extractorVersion,extractionConfidence,humanReviewRequiredFlag,mandatoryFlag,minExperienceMonths,minCareerMonths,priorExperienceFlag,portfolioFlag,projectFlag,certificateFlag,degreeFlag
REQ_82f9eec249c3fadd30ab,SEC_c646bd6836221ed03763,careerMonths,required,4년제 대졸 이상 또는 9월 졸업예정자,4년제 대졸 이상 또는 9월 졸업예정자,48.0,months,4년제 대졸 이상 또는 9월 졸업예정자,,,,p4-semantic-recovery-v4.0.0,1.0,False,True,48.0,48.0,False,False,False,False,False
REQ_6243b2e1e7e7c63c98a6,SEC_c646bd6836221ed03763,degree,required,4년제 대졸 이상 또는 9월 졸업예정자,4년제 대졸 이상 또는 9월 졸업예정자,,,4년제 대졸 이상 또는 9월 졸업예정자,,,bachelor,p4-semantic-recovery-v4.0.0,1.0,False,True,,,False,False,False,False,True
REQ_27f9a64f9a070622959f,SEC_c646bd6836221ed03763,other,required,전공무관 등,전공무관 등,,,전공무관 등,,,,p4-semantic-recovery-v4.0.0,0.5,True,True,,,False,False,False,False,False
REQ_ad34959569dddf9d3bc1,SEC_6c210c38fb4e74abbb99,careerMonths,required,4년제 대학교 졸업자 및 2월 졸업예정자,4년제 대학교 졸업자 및 2월 졸업예정자,48.0,months,4년제 대학교 졸업자 및 2월 졸업예정자,,,,p4-semantic-recovery-v4.0.0,1.0,False,True,48.0,48.0,False,False,False,False,False
REQ_ead139f85ebfe19b34d6,SEC_6c210c38fb4e74abbb99,degree,required,4년제 대학교 졸업자 및 2월 졸업예정자,4년제 대학교 졸업자 및 2월 졸업예정자,,,4년제 대학교 졸업자 및 2월 졸업예정자,,,bachelor,p4-semantic-recovery-v4.0.0,1.0,False,True,,,False,False,False,False,True
REQ_e457ceb4db824c23e25f,SEC_6c210c38fb4e74abbb99,certificate,required,각 직무별 관련학과 전공 및 관련 자격증 소지자,각 직무별 관련학과 전공 및 관련 자격증 소지자,,,각 직무별 관련학과 전공 및 관련 자격증 소지자,각 직무별 관련학과 전공 및 관련 자격증 소지자,,,p4-semantic-recovery-v4.0.0,1.0,False,True,,,False,False,False,True,False
REQ_01dc6c7382478d3bd682,SEC_43f47449164033cebc1a,careerMonths,required,4년제 대학 졸업 또는 2월 졸업자,4년제 대학 졸업 또는 2월 졸업자,48.0,months,4년제 대학 졸업 또는 2월 졸업자,,,,p4-semantic-recovery-v4.0.0,1.0,False,True,48.0,48.0,False,False,False,False,False
REQ_794737a67d33bce47cef,SEC_43f47449164033cebc1a,degree,required,4년제 대학 졸업 또는 2월 졸업자,4년제 대학 졸업 또는 2월 졸업자,,,4년제 대학 졸업 또는 2월 졸업자,,,bachelor,p4-semantic-recovery-v4.0.0,1.0,False,True,,,False,False,False,False,True
REQ_ac56694d737fc54e072e,SEC_fcd191cf037a6573baff,other,required,공고참조,공고참조,,,공고참조,,,,p4-semantic-recovery-v4.0.0,0.5,True,True,,,False,False,False,False,False
REQ_08e8bd51a5f047acc159,SEC_41d2173751f8f4f622c3,other,required,직무별 상이,직무별 상이,,,직무별 상이,,,,p4-semantic-recovery-v4.0.0,0.5,True,True,,,False,False,False,False,False
REQ_6ecd3cb16923c84c3b65,SEC_2d717ac94ccc64b620c5,other,required,공고참조,공고참조,,,공고참조,,,,p4-semantic-recovery-v4.0.0,0.5,True,True,,,False,False,False,False,False
REQ_ac2e2b544e8918164dd3,SEC_aaf7855617f162661a3e,careerMonths,required,4년제 대학 졸업예정 또는 졸업자,4년제 대학 졸업예정 또는 졸업자,48.0,months,4년제 대학 졸업예정 또는 졸업자,,,,p4-semantic-recovery-v4.0.0,1.0,False,True,48.0,48.0,False,False,False,False,False
REQ_a2e523d806cd96ad6040,SEC_aaf7855617f162661a3e,degree,required,4년제 대학 졸업예정 또는 졸업자,4년제 대학 졸업예정 또는 졸업자,,,4년제 대학 졸업예정 또는 졸업자,,,bachelor,p4-semantic-recovery-v4.0.0,1.0,False,True,,,False,False,False,False,True
REQ_d711659d6d494c219cb5,SEC_a5a9c994ec6705ca8140,other,required,공고참조,공고참조,,,공고참조,,,,p4-semantic-recovery-v4.0.0,0.5,True,True,,,False,False,False,False,False
REQ_1761c66151516d17757e,SEC_33c114a8072397b2adfd,other,required,공고참조,공고참조,,,공고참조,,,,p4-semantic-recovery-v4.0.0,0.5,True,True,,,False,False,False,False,False
REQ_476328d0b06a90d923bc,SEC_1753062d8751c098b8f6,degree,required,대졸 또는 8월 졸업예정자 등,대졸 또는 8월 졸업예정자 등,,,대졸 또는 8월 졸업예정자 등,,,bachelor,p4-semantic-recovery-v4.0.0,1.0,False,True,,,False,False,False,False,True
REQ_d6caa4cc6c55fd53a448,SEC_9b0f5cd7bc679d484fe6,degree,required,초대졸,초대졸,,,초대졸,,,bachelor,p4-semantic-recovery-v4.0.0,1.0,False,True,,,False,False,False,False,True
REQ_a972c1abee9c31916d4d,SEC_f1b6df863cff7450cc5b,degree,required,초대졸 이상,초대졸 이상,,,초대졸 이상,,,bachelor,p4-semantic-recovery-v4.0.0,1.0,False,True,,,False,False,False,False,True
REQ_a580aedd294bbea79262,SEC_bb787d85d61510fa980c,careerMonths,required,국내외 4년제 대학교(원) 졸업자,국내외 4년제 대학교(원) 졸업자,48.0,months,국내외 4년제 대학교(원) 졸업자,,,,p4-semantic-recovery-v4.0.0,1.0,False,True,48.0,48.0,False,False,False,False,False
REQ_b76bf83b6b63e176934b,SEC_bb787d85d61510fa980c,degree,required,국내외 4년제 대학교(원) 졸업자,국내외 4년제 대학교(원) 졸업자,,,국내외 4년제 대학교(원) 졸업자,,,bachelor,p4-semantic-recovery-v4.0.0,1.0,False,True,,,False,False,False,False,True
REQ_67cf13743aa0c938c92c,SEC_bd60fad7fdff98c0aec4,degree,required,초대졸 이상,초대졸 이상,,,초대졸 이상,,,bachelor,p4-semantic-recovery-v4.0.0,1.0,False,True,,,False,False,False,False,True
REQ_6388104818b2fd878921,SEC_ae85abdad34cf37b3b22,other,required,기졸업자 및 졸업예정자 지원 가능,기졸업자 및 졸업예정자 지원 가능,,,기졸업자 및 졸업예정자 지원 가능,,,,p4-semantic-recovery-v4.0.0,0.5,True,True,,,False,False,False,False,False
REQ_095c46fc299aed0721f2,SEC_bdeb3330864cdcc2c698,other,required,운전가능자,운전가능자,,,운전가능자,,,,p4-semantic-recovery-v4.0.0,0.5,True,True,,,False,False,False,False,False
REQ_3812ec9d04984d45ce6c,SEC_69d2942a3b681d042141,careerMonths,required,정규 4년제 대학졸업 이상 학력 소지자,정규 4년제 대학졸업 이상 학력 소지자,48.0,months,정규 4년제 대학졸업 이상 학력 소지자,,,,p4-semantic-recovery-v4.0.0,1.0,False,True,48.0,48.0,False,False,False,False,False
REQ_043668f5427039b01e2c,SEC_69d2942a3b681d042141,degree,required,정규 4년제 대학졸업 이상 학력 소지자,정규 4년제 대학졸업 이상 학력 소지자,,,정규 4년제 대학졸업 이상 학력 소지자,,,bachelor,p4-semantic-recovery-v4.0.0,1.0,False,True,,,False,False,False,False,True
REQ_ce467f1fb6d71c6c9412,SEC_2114946a1b601c085bd6,other,required,학력무관,학력무관,,,학력무관,,,,p4-semantic-recovery-v4.0.0,0.5,True,True,,,False,False,False,False,False
REQ_db16818e8216f7ba4232,SEC_2114946a1b601c085bd6,other,required,스케줄 근무 가능자,스케줄 근무 가능자,,,스케줄 근무 가능자,,,,p4-semantic-recovery-v4.0.0,0.5,True,True,,,False,False,False,False,False
REQ_6703458b8f0d4e6985f0,SEC_343ba5b27d73c4d2bc58,other,required,만 19세 이상 만 34세 이하,만 19세 이상 만 34세 이하,,,만 19세 이상 만 34세 이하,,,,p4-semantic-recovery-v4.0.0,0.5,True,True,,,False,False,False,False,False
REQ_ffb0ac1cbf190846e3de,SEC_343ba5b27d73c4d2bc58,other,required,공인영어성적,공인영어성적,,,공인영어성적,,,,p4-semantic-recovery-v4.0.0,0.5,True,True,,,False,False,False,False,False
REQ_97dbc2fa8f27030a7dea,SEC_8247b93cf6166c67dcd7,other,required,18세 이상인 자,18세 이상인 자,,,18세 이상인 자,,,,p4-semantic-recovery-v4.0.0,0.5,True,True,,,False,False,False,False,False
REQ_38253a5d112e17c3f040,SEC_7087eff46bb577d1b6a4,other,required,공고참조,공고참조,,,공고참조,,,,p4-semantic-recovery-v4.0.0,0.5,True,True,,,False,False,False,False,False
REQ_8682ba4c95f1b945e049,SEC_96a65da635a05c6e61f6,other,required,나이/학력 제한 없음,나이/학력 제한 없음,,,나이/학력 제한 없음,,,,p4-semantic-recovery-v4.0.0,0.5,True,True,,,False,False,False,False,False
REQ_67666fc696b8b7443b04,SEC_96a65da635a05c6e61f6,other,required,공인 영어성적,공인 영어성적,,,공인 영어성적,,,,p4-semantic-recovery-v4.0.0,0.5,True,True,,,False,False,False,False,False
REQ_33159dd2e9bb922bf440,SEC_96a65da635a05c6e61f6,other,required,공인 국어성적,공인 국어성적,,,공인 국어성적,,,,p4-semantic-recovery-v4.0.0,0.5,True,True,,,False,False,False,False,False
REQ_ca7c4e00b57c77973219,SEC_52fabb709209eba1d34d,other,required,공고참조,공고참조,,,공고참조,,,,p4-semantic-recovery-v4.0.0,0.5,True,True,,,False,False,False,False,False
REQ_325c5e1a7efa849c1711,SEC_74734b66d27e60f31446,other,required,직무별 상이,직무별 상이,,,직무별 상이,,,,p4-semantic-recovery-v4.0.0,0.5,True,True,,,False,False,False,False,False
