chunkId,trackId,sectionId,sourceBlockId,chunkType,chunkText,normalizedText,ncsMappableFlag,chunkingVersion
CHK_faf23a11e3f670a95a523d20,TRK_259d13ca83163482aa5a,SEC_9d24734bc8d3e1b708fa,SBK_a3980bdab8a4cc461aa4efd1,DUTY,일반직,일반직,True,p4-semantic-chunk-v4.0.0
CHK_9d06ed3b517f7f0cb6b6508f,TRK_259d13ca83163482aa5a,SEC_9d24734bc8d3e1b708fa,SBK_a3980bdab8a4cc461aa4efd1,DUTY,공무직,공무직,True,p4-semantic-chunk-v4.0.0
CHK_15410b5fa7f07f3c4e088deb,TRK_259d13ca83163482aa5a,SEC_9d24734bc8d3e1b708fa,SBK_a3980bdab8a4cc461aa4efd1,DUTY,임업소득지원,임업소득지원,True,p4-semantic-chunk-v4.0.0
CHK_245f97ea76d5cf0a91e33a81,TRK_259d13ca83163482aa5a,SEC_9d24734bc8d3e1b708fa,SBK_a3980bdab8a4cc461aa4efd1,DUTY,산림자원보호,산림자원보호,True,p4-semantic-chunk-v4.0.0
CHK_67c41f6cdf4eb4661c734473,TRK_259d13ca83163482aa5a,SEC_9d24734bc8d3e1b708fa,SBK_a3980bdab8a4cc461aa4efd1,DUTY,기관 정보화 업무,기관 정보화 업무,True,p4-semantic-chunk-v4.0.0
CHK_3a73bf4d573895d3c1b1dacc,TRK_259d13ca83163482aa5a,SEC_9d24734bc8d3e1b708fa,SBK_a3980bdab8a4cc461aa4efd1,DUTY,IT인프라,it인프라,True,p4-semantic-chunk-v4.0.0
CHK_db079b3c5941cfe776475495,TRK_259d13ca83163482aa5a,SEC_9d24734bc8d3e1b708fa,SBK_a3980bdab8a4cc461aa4efd1,DUTY,일반사무 사업수행지원 등,일반사무 사업수행지원 등,True,p4-semantic-chunk-v4.0.0
CHK_6796ca51644d0c771e86d168,TRK_259d13ca83163482aa5a,SEC_7087eff46bb577d1b6a4,SBK_7a64588fccdd65ecbb5591ab,REQUIREMENT,공고참조,공고참조,True,p4-semantic-chunk-v4.0.0
CHK_ceb81a7ddb833a97ec807c75,TRK_2ddedb22530187d8d297,SEC_dbc1e63deae06ff6ba02,SBK_f4c586b3b40bf6ef86851e63,OTHER,[코오롱아우토] Audi 공식딜러! AS본부 직무별 신입/경력 채용(~채용시 마감),[코오롱아우토] audi 공식딜러! as본부 직무별 신입/경력 채용(~채용시 마감),False,p4-semantic-chunk-v4.0.0
CHK_c50d786cdb1df02aa59e88c8,TRK_2ddedb22530187d8d297,SEC_dbc1e63deae06ff6ba02,SBK_f4c586b3b40bf6ef86851e63,OTHER,​,​,False,p4-semantic-chunk-v4.0.0
CHK_eafb2a665cb9365b818de304,TRK_2ddedb22530187d8d297,SEC_dbc1e63deae06ff6ba02,SBK_f4c586b3b40bf6ef86851e63,OTHER,서류전형 > 1차면접 > 최종면접 > 채용검진 > 최종합격,서류전형 > 1차면접 > 최종면접 > 채용검진 > 최종합격,False,p4-semantic-chunk-v4.0.0
CHK_880f0fda7056fbf1d41d1426,TRK_2ddedb22530187d8d297,SEC_7982c0d796b4962e88d1,SBK_2f2f0c87c4fa2756a5806d87,DUTY,일반정비,일반정비,True,p4-semantic-chunk-v4.0.0
CHK_a05720b69a82689565946591,TRK_2ddedb22530187d8d297,SEC_7982c0d796b4962e88d1,SBK_2f2f0c87c4fa2756a5806d87,DUTY,어드바이저,어드바이저,True,p4-semantic-chunk-v4.0.0
CHK_b7fb56772bb15efa0fe2d54c,TRK_2ddedb22530187d8d297,SEC_7982c0d796b4962e88d1,SBK_2f2f0c87c4fa2756a5806d87,DUTY,차량점검 및 수리,차량점검 및 수리,True,p4-semantic-chunk-v4.0.0
CHK_6ee6f59e8a139634ef832af0,TRK_2ddedb22530187d8d297,SEC_7982c0d796b4962e88d1,SBK_2f2f0c87c4fa2756a5806d87,DUTY,정비차량 접수/견적,정비차량 접수/견적,True,p4-semantic-chunk-v4.0.0
CHK_0ba4e5eb5da154ac1972a5c3,TRK_2ddedb22530187d8d297,SEC_7982c0d796b4962e88d1,SBK_2f2f0c87c4fa2756a5806d87,DUTY,고객관리,고객관리,True,p4-semantic-chunk-v4.0.0
CHK_422fa1df815017d79c153463,TRK_2ddedb22530187d8d297,SEC_bdeb3330864cdcc2c698,SBK_fcce4d840c4639fd2b46ad95,REQUIREMENT,운전가능자,운전가능자,True,p4-semantic-chunk-v4.0.0
CHK_6875c253f7a47c65b28ebcb3,TRK_3f50dd638caea148e77d,SEC_77bdfbd591e7325683a2,SBK_de0e5337afc859df0c973050,OTHER,[NICE정보통신] 다양한 복리후생! 2021년 상반기 수시 채용(~3/15),[nice정보통신] 다양한 복리후생! 2021년 상반기 수시 채용(~3/15),False,p4-semantic-chunk-v4.0.0
CHK_61666c18bdc1f68b150202b4,TRK_3f50dd638caea148e77d,SEC_77bdfbd591e7325683a2,SBK_de0e5337afc859df0c973050,OTHER,​,​,False,p4-semantic-chunk-v4.0.0
CHK_74075aab62e5acc1550631e0,TRK_3f50dd638caea148e77d,SEC_77bdfbd591e7325683a2,SBK_de0e5337afc859df0c973050,OTHER,서류전형 > 실무면접 > 임원면접 > 신체검사 > 최종합격,서류전형 > 실무면접 > 임원면접 > 신체검사 > 최종합격,False,p4-semantic-chunk-v4.0.0
CHK_faa7b8cad68b884898aba92e,TRK_3f50dd638caea148e77d,SEC_84b71500c959dfd0eeb7,SBK_0618d848ff59bd628ace3537,DUTY,원가 기획 및 전략,원가 기획 및 전략,True,p4-semantic-chunk-v4.0.0
CHK_256051dac4b55208e4e88de4,TRK_3f50dd638caea148e77d,SEC_84b71500c959dfd0eeb7,SBK_0618d848ff59bd628ace3537,DUTY,인사/총무,인사/총무,True,p4-semantic-chunk-v4.0.0
CHK_a3ba9ebeab2b942422adf626,TRK_3f50dd638caea148e77d,SEC_84b71500c959dfd0eeb7,SBK_0618d848ff59bd628ace3537,DUTY,영업/마케팅,영업/마케팅,True,p4-semantic-chunk-v4.0.0
CHK_f332950d01367a942afe020b,TRK_3f50dd638caea148e77d,SEC_84b71500c959dfd0eeb7,SBK_0618d848ff59bd628ace3537,DUTY,서비스 개발,서비스 개발,True,p4-semantic-chunk-v4.0.0
CHK_fae274cff99d408894c9fa7f,TRK_3f50dd638caea148e77d,SEC_84b71500c959dfd0eeb7,SBK_0618d848ff59bd628ace3537,DUTY,정보보호,정보보호,True,p4-semantic-chunk-v4.0.0
CHK_f79f61c5b2aed16c4cc8312d,TRK_3f50dd638caea148e77d,SEC_84b71500c959dfd0eeb7,SBK_0618d848ff59bd628ace3537,DUTY,시스템 개발,시스템 개발,True,p4-semantic-chunk-v4.0.0
CHK_4bc3477af84f90131068d74a,TRK_3f50dd638caea148e77d,SEC_84b71500c959dfd0eeb7,SBK_0618d848ff59bd628ace3537,DUTY,네트워크,네트워크,True,p4-semantic-chunk-v4.0.0
CHK_4b16c9894262adc74c655754,TRK_3f50dd638caea148e77d,SEC_84b71500c959dfd0eeb7,SBK_0618d848ff59bd628ace3537,DUTY,정산,정산,True,p4-semantic-chunk-v4.0.0
CHK_ba2358e079973650cd3689c4,TRK_3f50dd638caea148e77d,SEC_84b71500c959dfd0eeb7,SBK_0618d848ff59bd628ace3537,DUTY,인바운드,인바운드,True,p4-semantic-chunk-v4.0.0
CHK_232bf50baef3103907cd6459,TRK_3f50dd638caea148e77d,SEC_84b71500c959dfd0eeb7,SBK_0618d848ff59bd628ace3537,DUTY,"원가분석,관리회계,손익 및 정산관리","원가분석,관리회계,손익 및 정산관리",True,p4-semantic-chunk-v4.0.0
CHK_2db79e43d4f3e8d676ef3588,TRK_3f50dd638caea148e77d,SEC_84b71500c959dfd0eeb7,SBK_0618d848ff59bd628ace3537,DUTY,고정자산/비품/계약 관리,고정자산/비품/계약 관리,True,p4-semantic-chunk-v4.0.0
CHK_31dab996f8a3243ada309267,TRK_3f50dd638caea148e77d,SEC_84b71500c959dfd0eeb7,SBK_0618d848ff59bd628ace3537,DUTY,지역화폐 신규영업 및 고객사 관리,지역화폐 신규영업 및 고객사 관리,True,p4-semantic-chunk-v4.0.0
CHK_30cc84d8ce28d84117d27216,TRK_3f50dd638caea148e77d,SEC_84b71500c959dfd0eeb7,SBK_0618d848ff59bd628ace3537,DUTY,입찰 제안서 작성,입찰 제안서 작성,True,p4-semantic-chunk-v4.0.0
CHK_f2d9b9faa3eca8ab1cd99d33,TRK_3f50dd638caea148e77d,SEC_84b71500c959dfd0eeb7,SBK_0618d848ff59bd628ace3537,DUTY,정보보호시스템 구축 및 운영,정보보호시스템 구축 및 운영,True,p4-semantic-chunk-v4.0.0
CHK_cfc380ef6714395fec166960,TRK_3f50dd638caea148e77d,SEC_84b71500c959dfd0eeb7,SBK_0618d848ff59bd628ace3537,DUTY,중계시스템 개발/운영,중계시스템 개발/운영,True,p4-semantic-chunk-v4.0.0
CHK_29c0e6abcbd5db561262e123,TRK_3f50dd638caea148e77d,SEC_84b71500c959dfd0eeb7,SBK_0618d848ff59bd628ace3537,DUTY,네트워크 관련 업무 등,네트워크 관련 업무 등,True,p4-semantic-chunk-v4.0.0
CHK_da28d2343ee969bc8c309a2c,TRK_3f50dd638caea148e77d,SEC_52fabb709209eba1d34d,SBK_7ea5e1cec488fccfbf0a5d61,REQUIREMENT,공고참조,공고참조,True,p4-semantic-chunk-v4.0.0
CHK_72bc5c614ca14f9fc9498683,TRK_4a691677b74374297bf3,SEC_16ac4e5822a26f0de5a9,SBK_b74895d874b2ab87b8a34553,OTHER,[대원제약] 다양한 복리후생! DNA 상반기 공개 채용(~3/14),[대원제약] 다양한 복리후생! dna 상반기 공개 채용(~3/14),False,p4-semantic-chunk-v4.0.0
CHK_19f55ecc638ae0453797f042,TRK_4a691677b74374297bf3,SEC_16ac4e5822a26f0de5a9,SBK_b74895d874b2ab87b8a34553,OTHER,​,​,False,p4-semantic-chunk-v4.0.0
CHK_38a91b7548392476cbc16c41,TRK_4a691677b74374297bf3,SEC_16ac4e5822a26f0de5a9,SBK_b74895d874b2ab87b8a34553,OTHER,서류전형 > 인적성검사 > 1차면접 > 2차면접 > 최종합격,서류전형 > 인적성검사 > 1차면접 > 2차면접 > 최종합격,False,p4-semantic-chunk-v4.0.0
CHK_431b398877db08f42321c76f,TRK_4a691677b74374297bf3,SEC_ffb68e42ec3a7ea9714d,SBK_9ea4dd9c40fc103e9b0fe398,DUTY,영업,영업,True,p4-semantic-chunk-v4.0.0
CHK_02a0f1b2570187950ed41350,TRK_4a691677b74374297bf3,SEC_ffb68e42ec3a7ea9714d,SBK_9ea4dd9c40fc103e9b0fe398,DUTY,OTC,otc,True,p4-semantic-chunk-v4.0.0
CHK_97d282254488db0955b2368e,TRK_4a691677b74374297bf3,SEC_ffb68e42ec3a7ea9714d,SBK_9ea4dd9c40fc103e9b0fe398,DUTY,컨슈어 헬스케어,컨슈어 헬스케어,True,p4-semantic-chunk-v4.0.0
CHK_b05243bb3c23edb8613e520a,TRK_4a691677b74374297bf3,SEC_ffb68e42ec3a7ea9714d,SBK_9ea4dd9c40fc103e9b0fe398,DUTY,해외 사업,해외 사업,True,p4-semantic-chunk-v4.0.0
CHK_b39ba301d71fa6be0e766c12,TRK_4a691677b74374297bf3,SEC_ffb68e42ec3a7ea9714d,SBK_9ea4dd9c40fc103e9b0fe398,DUTY,마케팅,마케팅,True,p4-semantic-chunk-v4.0.0
CHK_e17443a3d471c29c7c0cb6d0,TRK_4a691677b74374297bf3,SEC_ffb68e42ec3a7ea9714d,SBK_9ea4dd9c40fc103e9b0fe398,DUTY,연구 등,연구 등,True,p4-semantic-chunk-v4.0.0
CHK_b3ae747d0e9ade0b8ac84345,TRK_4a691677b74374297bf3,SEC_ffb68e42ec3a7ea9714d,SBK_9ea4dd9c40fc103e9b0fe398,DUTY,ETC MR,etc mr,True,p4-semantic-chunk-v4.0.0
CHK_f34622fe9bda611e03c8e24d,TRK_4a691677b74374297bf3,SEC_ffb68e42ec3a7ea9714d,SBK_9ea4dd9c40fc103e9b0fe398,DUTY,온라인 영업,온라인 영업,True,p4-semantic-chunk-v4.0.0
CHK_380ec5227a4d33a0bb844398,TRK_4a691677b74374297bf3,SEC_ffb68e42ec3a7ea9714d,SBK_9ea4dd9c40fc103e9b0fe398,DUTY,제품개발,제품개발,True,p4-semantic-chunk-v4.0.0
CHK_554f5a745c844b34556924af,TRK_4a691677b74374297bf3,SEC_ffb68e42ec3a7ea9714d,SBK_9ea4dd9c40fc103e9b0fe398,DUTY,연구기획,연구기획,True,p4-semantic-chunk-v4.0.0
CHK_f4e368758d6150d7cf78ed7a,TRK_4a691677b74374297bf3,SEC_ffb68e42ec3a7ea9714d,SBK_9ea4dd9c40fc103e9b0fe398,DUTY,디지털 마케팅 등,디지털 마케팅 등,True,p4-semantic-chunk-v4.0.0
CHK_84c1278100f961e6339047fb,TRK_4a691677b74374297bf3,SEC_33c114a8072397b2adfd,SBK_c5403c5c7ad2d8e9aeb7c88c,REQUIREMENT,공고참조,공고참조,True,p4-semantic-chunk-v4.0.0
CHK_60b27c0c106ede59b7a2b2fc,TRK_4eb7124fc1480d242435,SEC_71a960c684cf972e6f8e,SBK_d365efdfdf99a79798a4f760,OTHER,[귀뚜라미그룹] 자녀학자금 지원! 각 부문 신입/경력사원 채용(~3/13),[귀뚜라미그룹] 자녀학자금 지원! 각 부문 신입/경력사원 채용(~3/13),False,p4-semantic-chunk-v4.0.0
CHK_c2e781ade947a61dbda0de31,TRK_4eb7124fc1480d242435,SEC_71a960c684cf972e6f8e,SBK_d365efdfdf99a79798a4f760,OTHER,​,​,False,p4-semantic-chunk-v4.0.0
CHK_fccc6ff77b439ad4c7aad7a3,TRK_4eb7124fc1480d242435,SEC_71a960c684cf972e6f8e,SBK_d365efdfdf99a79798a4f760,OTHER,서류전형 > 면접전형 > 신체검사 > 최종합격,서류전형 > 면접전형 > 신체검사 > 최종합격,False,p4-semantic-chunk-v4.0.0
CHK_2921f4bba1119044a7c79e3c,TRK_4eb7124fc1480d242435,SEC_0cd6d84f752758b94fc0,SBK_d1b9bd7b8e68df2404bfea5c,DUTY,기술영업,기술영업,True,p4-semantic-chunk-v4.0.0
CHK_97a22bfcc50e67658fa9a708,TRK_4eb7124fc1480d242435,SEC_0cd6d84f752758b94fc0,SBK_d1b9bd7b8e68df2404bfea5c,DUTY,웹디자인,웹디자인,True,p4-semantic-chunk-v4.0.0
CHK_5e068ded3a07103081f2f3f0,TRK_4eb7124fc1480d242435,SEC_0cd6d84f752758b94fc0,SBK_d1b9bd7b8e68df2404bfea5c,DUTY,전산개발,전산개발,True,p4-semantic-chunk-v4.0.0
CHK_9659ed34f28ba763aeb2b270,TRK_4eb7124fc1480d242435,SEC_0cd6d84f752758b94fc0,SBK_d1b9bd7b8e68df2404bfea5c,DUTY,경영기획,경영기획,True,p4-semantic-chunk-v4.0.0
CHK_ce485cb4b3d414398dbb27ce,TRK_4eb7124fc1480d242435,SEC_0cd6d84f752758b94fc0,SBK_d1b9bd7b8e68df2404bfea5c,DUTY,구매/회계,구매/회계,True,p4-semantic-chunk-v4.0.0
CHK_791dae6e8f73904add595821,TRK_4eb7124fc1480d242435,SEC_0cd6d84f752758b94fc0,SBK_d1b9bd7b8e68df2404bfea5c,DUTY,공고참조,공고참조,True,p4-semantic-chunk-v4.0.0
CHK_cdcd2ac4ebe421e6559a486d,TRK_4eb7124fc1480d242435,SEC_74734b66d27e60f31446,SBK_027d834c44b241bb6e8f4308,REQUIREMENT,직무별 상이,직무별 상이,True,p4-semantic-chunk-v4.0.0
CHK_87562e2726c37caee3e33c68,TRK_4f3c49340f5c8deb6f87,SEC_665cc734e05cbf175538,SBK_68d4def50d0a40b5cdbaf268,OTHER,"[판토스] 창원센터 환경/안전 관리자(기능직, 사무직) 채용(~3/15)","[판토스] 창원센터 환경/안전 관리자(기능직, 사무직) 채용(~3/15)",False,p4-semantic-chunk-v4.0.0
CHK_cd0e8ed01d54c9b7cba0119c,TRK_4f3c49340f5c8deb6f87,SEC_665cc734e05cbf175538,SBK_68d4def50d0a40b5cdbaf268,OTHER,​,​,False,p4-semantic-chunk-v4.0.0
CHK_964b7e7df7d32ef6c250dfb8,TRK_4f3c49340f5c8deb6f87,SEC_665cc734e05cbf175538,SBK_68d4def50d0a40b5cdbaf268,OTHER,서류전형 > 1차면접 > 2차면접 > 건강검진 > 최종합격,서류전형 > 1차면접 > 2차면접 > 건강검진 > 최종합격,False,p4-semantic-chunk-v4.0.0
CHK_9afc49a149a575c87a8228cb,TRK_4f3c49340f5c8deb6f87,SEC_679598872421b8d738cd,SBK_9a8761f8c9bba68942b066a6,DUTY,안전환경,안전환경,True,p4-semantic-chunk-v4.0.0
CHK_2878078995f4dc163a58f9d4,TRK_4f3c49340f5c8deb6f87,SEC_679598872421b8d738cd,SBK_9a8761f8c9bba68942b066a6,DUTY,관리 계획 수립 및 활동 지원,관리 계획 수립 및 활동 지원,True,p4-semantic-chunk-v4.0.0
CHK_b42818d6fad7601905c5115c,TRK_4f3c49340f5c8deb6f87,SEC_679598872421b8d738cd,SBK_9a8761f8c9bba68942b066a6,DUTY,인원 육성 및 교육 관리,인원 육성 및 교육 관리,True,p4-semantic-chunk-v4.0.0
CHK_8a87a9fd9ce4ceb475735e82,TRK_4f3c49340f5c8deb6f87,SEC_679598872421b8d738cd,SBK_9a8761f8c9bba68942b066a6,DUTY,센터 내 안전 관련 정기 점검 등,센터 내 안전 관련 정기 점검 등,True,p4-semantic-chunk-v4.0.0
CHK_4bd96560b45c8547e88aea61,TRK_4f3c49340f5c8deb6f87,SEC_b1ff57102769e3ea9fd5,SBK_c1c16b7a43d948fbae1871f3,REQUIREMENT,전공무관,전공무관,True,p4-semantic-chunk-v4.0.0
CHK_eb6d8483b6c0f04736eafa01,TRK_5299e51ae112f77a0ff2,SEC_9a316f8c58934c9f94d7,SBK_94c207d340939d95a3d6a007,OTHER,[동부엔지니어링] 2021년 상반기 대졸 신입사원 채용(~3/10),[동부엔지니어링] 2021년 상반기 대졸 신입사원 채용(~3/10),False,p4-semantic-chunk-v4.0.0
CHK_816e15147d736c55390b4b09,TRK_5299e51ae112f77a0ff2,SEC_9a316f8c58934c9f94d7,SBK_94c207d340939d95a3d6a007,OTHER,​,​,False,p4-semantic-chunk-v4.0.0
CHK_62995e9516449cd0f1c5eff7,TRK_5299e51ae112f77a0ff2,SEC_9a316f8c58934c9f94d7,SBK_94c207d340939d95a3d6a007,OTHER,서류전형 > 면접전형 > 최종합격,서류전형 > 면접전형 > 최종합격,False,p4-semantic-chunk-v4.0.0
CHK_efb95c232dd0087aab9ed3a4,TRK_5299e51ae112f77a0ff2,SEC_63be9f7d68657a37c44d,SBK_2fe3d951236f253f4903078a,DUTY,도로공항설계,도로공항설계,True,p4-semantic-chunk-v4.0.0
CHK_7e612a3d265792b69ca08474,TRK_5299e51ae112f77a0ff2,SEC_63be9f7d68657a37c44d,SBK_2fe3d951236f253f4903078a,DUTY,구조설계,구조설계,True,p4-semantic-chunk-v4.0.0
CHK_c1eedbb8a688f82adbe1db31,TRK_5299e51ae112f77a0ff2,SEC_63be9f7d68657a37c44d,SBK_2fe3d951236f253f4903078a,DUTY,지반설계,지반설계,True,p4-semantic-chunk-v4.0.0
CHK_7fc89d7049257c41730d6430,TRK_5299e51ae112f77a0ff2,SEC_63be9f7d68657a37c44d,SBK_2fe3d951236f253f4903078a,DUTY,교통설계,교통설계,True,p4-semantic-chunk-v4.0.0
CHK_d5bba041a5b8d6d6757d7664,TRK_5299e51ae112f77a0ff2,SEC_63be9f7d68657a37c44d,SBK_2fe3d951236f253f4903078a,DUTY,GIS S/W개발,gis s/w개발,True,p4-semantic-chunk-v4.0.0
CHK_c974131cff7e8458b8c5b8b7,TRK_5299e51ae112f77a0ff2,SEC_43f47449164033cebc1a,SBK_d2cb6a2874c707b64a775cdd,REQUIREMENT,4년제 대학 졸업 또는 2월 졸업자,4년제 대학 졸업 또는 2월 졸업자,True,p4-semantic-chunk-v4.0.0
CHK_6eac2832188cb47e1d76b7c3,TRK_647016b0681d490e2fc5,SEC_46c360039d4fa6fdaa6f,SBK_148113300bda32b25342ffac,OTHER,[울산문화재단] 신입 및 경력 직원 정기 채용(~3/10),[울산문화재단] 신입 및 경력 직원 정기 채용(~3/10),False,p4-semantic-chunk-v4.0.0
CHK_14fdc469ad9a3982f51982d9,TRK_647016b0681d490e2fc5,SEC_46c360039d4fa6fdaa6f,SBK_148113300bda32b25342ffac,OTHER,​,​,False,p4-semantic-chunk-v4.0.0
CHK_721c64165e3e2951bcb60a62,TRK_647016b0681d490e2fc5,SEC_46c360039d4fa6fdaa6f,SBK_148113300bda32b25342ffac,OTHER,서류전형 > 필기심사 > 면접심사 > 최종합격,서류전형 > 필기심사 > 면접심사 > 최종합격,False,p4-semantic-chunk-v4.0.0
CHK_77d0b5393253b71cae95da52,TRK_647016b0681d490e2fc5,SEC_211ced36e950f669382d,SBK_f6d97cbcc549739464e1381d,DUTY,일반직,일반직,True,p4-semantic-chunk-v4.0.0
CHK_d19eeb7dc96c51673405aa1a,TRK_647016b0681d490e2fc5,SEC_211ced36e950f669382d,SBK_f6d97cbcc549739464e1381d,DUTY,재단 행정 업무 전반,재단 행정 업무 전반,True,p4-semantic-chunk-v4.0.0
CHK_d9e82cf5b07d4b270930af70,TRK_647016b0681d490e2fc5,SEC_211ced36e950f669382d,SBK_f6d97cbcc549739464e1381d,DUTY,예술지원팀 사업 운영,예술지원팀 사업 운영,True,p4-semantic-chunk-v4.0.0
CHK_1297f17d08d46df9dcc99bda,TRK_647016b0681d490e2fc5,SEC_8247b93cf6166c67dcd7,SBK_f410da7a1709386f33865748,REQUIREMENT,18세 이상인 자,18세 이상인 자,True,p4-semantic-chunk-v4.0.0
CHK_08063b9ff290d675a4047b88,TRK_6c305d39802dc37309f1,SEC_8c227afe1d53500505b7,SBK_391bcfd82b52918e1dd048dd,OTHER,[국제방송교류재단] 총 7명! 아리랑국제방송 신입 및 경력 채용(~3/21),[국제방송교류재단] 총 7명! 아리랑국제방송 신입 및 경력 채용(~3/21),False,p4-semantic-chunk-v4.0.0
CHK_ad1e7d7f9226f6542d3094eb,TRK_6c305d39802dc37309f1,SEC_8c227afe1d53500505b7,SBK_391bcfd82b52918e1dd048dd,OTHER,​,​,False,p4-semantic-chunk-v4.0.0
CHK_0d7c3c491e436f3776f48523,TRK_6c305d39802dc37309f1,SEC_8c227afe1d53500505b7,SBK_391bcfd82b52918e1dd048dd,OTHER,서류전형 > 필기시험 > 카메라테스트 및 실무면접 > 종합면접 > 최종합격,서류전형 > 필기시험 > 카메라테스트 및 실무면접 > 종합면접 > 최종합격,False,p4-semantic-chunk-v4.0.0
CHK_cfb80e50578b26f99660add2,TRK_6c305d39802dc37309f1,SEC_b196fd79b40053b76337,SBK_710681c1a70725e96672c7bd,DUTY,보도기자,보도기자,True,p4-semantic-chunk-v4.0.0
CHK_e500f18a053063998d3d6ad5,TRK_6c305d39802dc37309f1,SEC_b196fd79b40053b76337,SBK_710681c1a70725e96672c7bd,DUTY,TV제작PD,tv제작pd,True,p4-semantic-chunk-v4.0.0
CHK_d93f5c8a85363a162a9bf1a4,TRK_6c305d39802dc37309f1,SEC_b196fd79b40053b76337,SBK_710681c1a70725e96672c7bd,DUTY,재무회계,재무회계,True,p4-semantic-chunk-v4.0.0
CHK_bd4eb8eb4385851e9cb6b4e4,TRK_6c305d39802dc37309f1,SEC_b196fd79b40053b76337,SBK_710681c1a70725e96672c7bd,DUTY,산업안전보건,산업안전보건,True,p4-semantic-chunk-v4.0.0
CHK_2079faa1a4bb9dd5505ff114,TRK_6c305d39802dc37309f1,SEC_b196fd79b40053b76337,SBK_710681c1a70725e96672c7bd,DUTY,정보화,정보화,True,p4-semantic-chunk-v4.0.0
CHK_c137ae93d92c3618ea9a62d2,TRK_6c305d39802dc37309f1,SEC_b196fd79b40053b76337,SBK_710681c1a70725e96672c7bd,DUTY,공고참조,공고참조,True,p4-semantic-chunk-v4.0.0
CHK_def9abb10c86327ce6fbcf5a,TRK_6c305d39802dc37309f1,SEC_cd38b76ee04c2e2c2add,SBK_c25c0bf09b6378a71f4f5d1d,SKILL,직무기술서 상의 능력을 보유한 자,직무기술서 상의 능력을 보유한 자,True,p4-semantic-chunk-v4.0.0
CHK_c84a8dd451c00d07f63b3724,TRK_73bb2b6a2af1a7b7ff4f,SEC_7a3db49251eeb69abef6,SBK_7174215a1622afe8d1964dc2,OTHER,[현대제철] 주거지원! 생산기술/품질부문 신입 채용(~3/16),[현대제철] 주거지원! 생산기술/품질부문 신입 채용(~3/16),False,p4-semantic-chunk-v4.0.0
