sourceBlockId,postingId,rawPostingId,assetId,sourceMode,sourceText,startChar,endChar,pageNo,bboxJson,rawSha256,parserVersion
SBK_f0f75a9c99ad3d78f1d335e0,PST_76616932d1f2d20dc518,RAW_4e22b9e9d294a59efb4c,,ACTIVITY_TEXT,"[SH에너지화학] 생산본부 환경안전팀(관리직) 신입 채용(~3/9)
​
- 서류전형 > 인성검사/필기시험 > 1차면접 > 2차면접 > 최종합격",0,79,,,7db73da84d23a74e52678c65d425473d9cc20ef2cf61c450034dbb0d56e5e23a,observed-dev-parse-20260806.1
SBK_b40e4a11db134f6000e2a62d,PST_76616932d1f2d20dc518,RAW_4e22b9e9d294a59efb4c,,ACTIVITY_TEXT,"- 환경안전
- 공장 내 점검활동을 통해 유해위험요소의 발굴에 따른 개선
- 보완업무 진행 및 각종 공사관련 사항에 대한 검토 및 관리업무",80,157,,,7db73da84d23a74e52678c65d425473d9cc20ef2cf61c450034dbb0d56e5e23a,observed-dev-parse-20260806.1
SBK_dcb5e06987fc239d116fe9c4,PST_76616932d1f2d20dc518,RAW_4e22b9e9d294a59efb4c,,ACTIVITY_TEXT,- 4년제 대학 졸업예정 또는 졸업자,158,178,,,7db73da84d23a74e52678c65d425473d9cc20ef2cf61c450034dbb0d56e5e23a,observed-dev-parse-20260806.1
SBK_449bd7343f86e5f455678612,PST_11dcd85fd4fd1bf1511c,RAW_9fc2c439e367eed8f8cc,,ACTIVITY_TEXT,"[한국임업진흥원] 각 부문별 신입 및 경력 채용(~3/14)
​
- 서류전형 > 필기전형 > 면접전형 > 최종합격",0,63,,,252071e38ccf4dc50b8b8f870adb8c90a47c1aa85261b92e0d02f1869adf0706,observed-dev-parse-20260806.1
SBK_a3980bdab8a4cc461aa4efd1,PST_11dcd85fd4fd1bf1511c,RAW_9fc2c439e367eed8f8cc,,ACTIVITY_TEXT,"- 일반직
- 공무직
- 임업소득지원
- 산림자원보호
- 기관 정보화 업무
- IT인프라
- 일반사무 사업수행지원 등",64,129,,,252071e38ccf4dc50b8b8f870adb8c90a47c1aa85261b92e0d02f1869adf0706,observed-dev-parse-20260806.1
SBK_7a64588fccdd65ecbb5591ab,PST_11dcd85fd4fd1bf1511c,RAW_9fc2c439e367eed8f8cc,,ACTIVITY_TEXT,- 공고참조,130,136,,,252071e38ccf4dc50b8b8f870adb8c90a47c1aa85261b92e0d02f1869adf0706,observed-dev-parse-20260806.1
SBK_f4c586b3b40bf6ef86851e63,PST_6ce18a38beccb829de31,RAW_6e4d07d621ddbb05e1e5,,ACTIVITY_TEXT,"[코오롱아우토] Audi 공식딜러! AS본부 직무별 신입/경력 채용(~채용시 마감)
​
- 서류전형 > 1차면접 > 최종면접 > 채용검진 > 최종합격",0,83,,,024b8ce6b7b2eb9d8c05f4aa05b95af611d8f1ab8732ce01cdd0d2ea31d7f842,observed-dev-parse-20260806.1
SBK_2f2f0c87c4fa2756a5806d87,PST_6ce18a38beccb829de31,RAW_6e4d07d621ddbb05e1e5,,ACTIVITY_TEXT,"- 일반정비
- 어드바이저
- 차량점검 및 수리
- 정비차량 접수/견적
- 고객관리",84,130,,,024b8ce6b7b2eb9d8c05f4aa05b95af611d8f1ab8732ce01cdd0d2ea31d7f842,observed-dev-parse-20260806.1
SBK_fcce4d840c4639fd2b46ad95,PST_6ce18a38beccb829de31,RAW_6e4d07d621ddbb05e1e5,,ACTIVITY_TEXT,- 운전가능자,131,138,,,024b8ce6b7b2eb9d8c05f4aa05b95af611d8f1ab8732ce01cdd0d2ea31d7f842,observed-dev-parse-20260806.1
SBK_de0e5337afc859df0c973050,PST_7404b3b92cd76bc70a0f,RAW_be08d539bcd7486bdac9,,ACTIVITY_TEXT,"[NICE정보통신] 다양한 복리후생! 2021년 상반기 수시 채용(~3/15)
​
- 서류전형 > 실무면접 > 임원면접 > 신체검사 > 최종합격",0,80,,,3920d98d42e92c2f8a3065c652f5c6aa0af998c44cb1eea704ed4b0c4f76e029,observed-dev-parse-20260806.1
