canaryRunId,artifactPath,artifactRole,bytes,sha256,gitTracked,containsRawBytes
CANARY_T0_20260807_03,crawl/runs/canary/CANARY_T0_20260807_03/CHECKSUMS.sha256,LOCAL_CANARY_RUNTIME_REDACTED,1329,956b0be2d99788671162c0448394b886d1fbd60c96964612c3d8f9d796f493c1,False,False
CANARY_T0_20260807_03,crawl/runs/canary/CANARY_T0_20260807_03/approval_binding.json,LOCAL_CANARY_RUNTIME_REDACTED,382,ed672c65ca9ac22a8ce384afe84a5b7a85d0e23237e5de95bb71198295163178,False,False
CANARY_T0_20260807_03,crawl/runs/canary/CANARY_T0_20260807_03/asset_results.parquet,LOCAL_CANARY_RUNTIME_REDACTED,1936,716b8b1f3b3cbadda8d5480fdd449c4f832a7d973f6567a5e3aee58f899b6752,False,False
CANARY_T0_20260807_03,crawl/runs/canary/CANARY_T0_20260807_03/canary_coverage.csv,LOCAL_CANARY_RUNTIME_REDACTED,131,1551a04e8898afde145abea27252887c276c44da0778111e448095f8afa4f88c,False,False
CANARY_T0_20260807_03,crawl/runs/canary/CANARY_T0_20260807_03/canary_plan.json,LOCAL_CANARY_RUNTIME_REDACTED,477,47b047bf00fc933d3b8bce65de6a40e529b04c0ab3efd644b07274a0ac1e8fb1,False,False
CANARY_T0_20260807_03,crawl/runs/canary/CANARY_T0_20260807_03/checkpoint_manifest.json,LOCAL_CANARY_RUNTIME_REDACTED,283,a7ea55cc58133c9cb0ebbb1bc75b719b10423a35b58ca8e19a4f94b3c80f9589,False,False
CANARY_T0_20260807_03,crawl/runs/canary/CANARY_T0_20260807_03/detail_results.parquet,LOCAL_CANARY_RUNTIME_REDACTED,1956,878da48f7b5ce9719244f7c563dc43288fcb173b90ea8a0e7cd144b93fbfd43d,False,False
CANARY_T0_20260807_03,crawl/runs/canary/CANARY_T0_20260807_03/index_results.parquet,LOCAL_CANARY_RUNTIME_REDACTED,1964,0834a04e1ab5b2fc48ef2f2e035e7adc228e34f3b079812b5ffe2a71bc73d24a,False,False
CANARY_T0_20260807_03,crawl/runs/canary/CANARY_T0_20260807_03/kill_switch_events.jsonl,LOCAL_CANARY_RUNTIME_REDACTED,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,False
CANARY_T0_20260807_03,crawl/runs/canary/CANARY_T0_20260807_03/quarantine_manifest.jsonl,LOCAL_CANARY_RUNTIME_REDACTED,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,False
CANARY_T0_20260807_03,crawl/runs/canary/CANARY_T0_20260807_03/raw_object_manifest.jsonl,LOCAL_CANARY_RUNTIME_REDACTED,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,False
CANARY_T0_20260807_03,crawl/runs/canary/CANARY_T0_20260807_03/request_attempt.jsonl,LOCAL_CANARY_RUNTIME_REDACTED,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,False
CANARY_T0_20260807_03,crawl/runs/canary/CANARY_T0_20260807_03/request_response_manifest.jsonl,LOCAL_CANARY_RUNTIME_REDACTED,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,False
CANARY_T0_20260807_03,crawl/runs/canary/CANARY_T0_20260807_03/stage_manifest.json,LOCAL_CANARY_RUNTIME_REDACTED,404,3fda6f5153ad9f6e4df50bd8129654a2bae1ef8b08cb7146137c3d3c0a0262c4,False,False
CANARY_T0_20260807_03,crawl/runs/canary/CANARY_T0_20260807_03/stage_metrics.json,LOCAL_CANARY_RUNTIME_REDACTED,770,fe35ef3376a2343c527f93fae5aa25a4f0e24316640124b901a92c27aef2bb80,False,False
CANARY_T0_20260807_03,crawl/runs/canary/CANARY_T0_20260807_03/stage_quality.csv,LOCAL_CANARY_RUNTIME_REDACTED,867,19687b2575f34375ae26e62e86ff740110c1bb48815ab20ed892d5934c225641,False,False
