canaryRunId,tier,checkId,status,observed,networkCalls,externalAtsTransportCalls
CANARY_T0_20260807_03,0,RAW_MOUNT,PASS,AVAILABLE,0,0
CANARY_T0_20260807_03,0,RAW_UNMOUNTED,PASS,RAW_ROOT_UNMOUNTED,0,0
CANARY_T0_20260807_03,0,RAW_WRONG_SHA,PASS,COMPRESSED_SHA_MISMATCH/QUARANTINED,0,0
CANARY_T0_20260807_03,0,RAW_POSTING_BINDING,PASS,MATCHED,0,0
CANARY_T0_20260807_03,0,PAGINATION_TERMINATION,PASS,unique cursors; exhausted=true,0,0
CANARY_T0_20260807_03,0,CURSOR_LOOP,PASS,CANARY_STOPPED_BY_KILL_SWITCH:CURSOR_LOOP,0,0
CANARY_T0_20260807_03,0,CHECKPOINT_CORRUPTION,PASS,CANARY_STOPPED_BY_KILL_SWITCH:CHECKPOINT_CORRUPTION,0,0
CANARY_T0_20260807_03,0,HTTP_403,PASS,CANARY_STOPPED_BY_KILL_SWITCH:MAX_CONSECUTIVE_403,0,0
CANARY_T0_20260807_03,0,HTTP_429,PASS,CANARY_STOPPED_BY_KILL_SWITCH:MAX_CONSECUTIVE_429,0,0
CANARY_T0_20260807_03,0,CONTENT_TYPE_DRIFT,PASS,CANARY_STOPPED_BY_KILL_SWITCH:UNEXPECTED_CONTENT_TYPE,0,0
CANARY_T0_20260807_03,0,SCHEMA_DRIFT,PASS,CANARY_STOPPED_BY_KILL_SWITCH:SCHEMA_DRIFT:missing nodes,0,0
CANARY_T0_20260807_03,0,ACTIVITY_TEXT_AMBIGUITY,PASS,selected=False; status=AMBIGUOUS_STANDALONE,0,0
CANARY_T0_20260807_03,0,REQUEST_IDEMPOTENCY,PASS,duplicate=DUPLICATE_NO_RESTORE; conflictQuarantined=True,0,0
CANARY_T0_20260807_03,0,SECRET_COOKIE_SCAN,PASS,0,0,0
CANARY_T0_20260807_03,0,ABSOLUTE_RAW_PATH_SCAN,PASS,0,0,0
