artifact,artifactSha256,checksumListed,checksumPass,evidencePublicationCommit,auditedCodeCommit,sourceAuthorityCommit,status
crawl/reports/reconciliation_a1/A1_CRAWL_DIFFERENCE_INVENTORY.csv,acec99d7229543f7295f1d6662853fe472da85f8138d6030e2e909eab26182bb,True,True,14ebe6beba530318dcedfd3471c7ba8565ee11f2,92207e8fe7cc445c7426218da06b0b064f9df941,2d3f48025352359acf5787efeb79c0111fdea9f7,PASS
crawl/reports/reconciliation_a1/A1_NOTEBOOK_AUTHORITY_MANIFEST.csv,7b51cd98781d1baaf6185ffc4851f0271a62791960bae5c01c4711393203de81,True,True,14ebe6beba530318dcedfd3471c7ba8565ee11f2,92207e8fe7cc445c7426218da06b0b064f9df941,2d3f48025352359acf5787efeb79c0111fdea9f7,PASS
crawl/reports/reconciliation_a1/A1_NOTEBOOK_EXECUTED_PARITY.csv,e49881ce898d9a00853b724e858148a3a94ea66cd795b8aa80b3003695841ffa,True,True,14ebe6beba530318dcedfd3471c7ba8565ee11f2,92207e8fe7cc445c7426218da06b0b064f9df941,2d3f48025352359acf5787efeb79c0111fdea9f7,PASS
crawl/reports/reconciliation_a1/A1_RAW_OBJECT_MANIFEST.jsonl,7707f30b042238901326ba09024100b7f61a9565115d18fe2cbc33f195595a30,True,True,14ebe6beba530318dcedfd3471c7ba8565ee11f2,92207e8fe7cc445c7426218da06b0b064f9df941,2d3f48025352359acf5787efeb79c0111fdea9f7,PASS
crawl/reports/reconciliation_a1/A1_RAW_OBJECT_MANIFEST.schema.json,3d49af9a00a3fd6185c803ea42a39f321814f4afe6bae4f10b88c2cf3764cf68,True,True,14ebe6beba530318dcedfd3471c7ba8565ee11f2,92207e8fe7cc445c7426218da06b0b064f9df941,2d3f48025352359acf5787efeb79c0111fdea9f7,PASS
crawl/reports/reconciliation_a1/A1_RAW_PORTABILITY_AUDIT.csv,d628af6ad95b9c1bae1b287d3072eacccc5bffdf2763f4e84490fc1770e4d885,True,True,14ebe6beba530318dcedfd3471c7ba8565ee11f2,92207e8fe7cc445c7426218da06b0b064f9df941,2d3f48025352359acf5787efeb79c0111fdea9f7,PASS
crawl/reports/reconciliation_a1/A1_RAW_MOUNT_NEGATIVE_TESTS.csv,f96a00cc1a1787b61b3acf18e3073826a57006678d78b8aad1b1b9ed00914b77,True,True,14ebe6beba530318dcedfd3471c7ba8565ee11f2,92207e8fe7cc445c7426218da06b0b064f9df941,2d3f48025352359acf5787efeb79c0111fdea9f7,PASS
crawl/reports/reconciliation_a1/A1_RAW_POSTING_BINDING_AUDIT.csv,1f61606a16129a14065f57b80685f61e3b1dcc36d41834def7044cffb6b0c723,True,True,14ebe6beba530318dcedfd3471c7ba8565ee11f2,92207e8fe7cc445c7426218da06b0b064f9df941,2d3f48025352359acf5787efeb79c0111fdea9f7,PASS
crawl/reports/reconciliation_a1/A1_RAW_ROOT_POLICY.md,77778fc27aaa2d7e92997d177b844848e2fccc52bc0b3a2fddcf449bfcda34d9,True,True,14ebe6beba530318dcedfd3471c7ba8565ee11f2,92207e8fe7cc445c7426218da06b0b064f9df941,2d3f48025352359acf5787efeb79c0111fdea9f7,PASS
crawl/reports/reconciliation_a1/A1_M2_PREFLIGHT_REBIND_MANIFEST.json,84efed08fe3313f1bbb43d61e47072012c83ca2ff160b51fed604871cf5ebcb5,True,True,14ebe6beba530318dcedfd3471c7ba8565ee11f2,92207e8fe7cc445c7426218da06b0b064f9df941,2d3f48025352359acf5787efeb79c0111fdea9f7,PASS
crawl/reports/reconciliation_a1/A1_RECONCILIATION_GATE_STATUS.csv,226fe239fecc4a368a14df364f274948b4b4419a3191c2b95a5c5111fe1c73bd,True,True,14ebe6beba530318dcedfd3471c7ba8565ee11f2,92207e8fe7cc445c7426218da06b0b064f9df941,2d3f48025352359acf5787efeb79c0111fdea9f7,PASS
crawl/reports/reconciliation_a1/A1_TEST_SUMMARY.csv,7945437862ba5f248a1a52bd2919faa70aded0bd193b9465753461f5a6eb44c6,True,True,14ebe6beba530318dcedfd3471c7ba8565ee11f2,92207e8fe7cc445c7426218da06b0b064f9df941,2d3f48025352359acf5787efeb79c0111fdea9f7,PASS
A1_HANDOFF_DECISION,689c8f623a6f27fc615fef649067b326b3d8c84adc48521c1ab4eb45d1e02a63,True,True,14ebe6beba530318dcedfd3471c7ba8565ee11f2,92207e8fe7cc445c7426218da06b0b064f9df941,2d3f48025352359acf5787efeb79c0111fdea9f7,ACCEPTED
