notebook,exists,bytes,sha256,valid,cells,markdownCells,codeCells,sourceOutputs,sourceExecutionCounts,titleMarkdownFirst,titleSpecificationComplete,parameterCellIndex,parameterTag,parameterContractValues,duplicateCellIds,astValid,projectImports,moduleCalls,actualModuleCall,errors,agentId,stageId,executionResult,executedCopies
crawl/notebooks/00RecoverSourceState.ipynb,True,8337,4bf405ece28246d893ea347ee1aeb27a4283f25a98926473c1fdcf6aac37f3c9,True,11,6,5,0,0,True,True,1,True,True,0,True,p4_crawl.config;p4_crawl.observed;p4_crawl.stage,Path;Path.cwd;RunConfig;RuntimeError;any;as_posix;audit_input_manifest;globals;is_dir;locate_project_root;quality_row;recover_observed_input_state;relative_to;require_repository_relative;start.resolve;startswith;str;sys.path.insert;validate_observed_package;write_stage_artifacts,True,,P4-A1-SOURCE,A1-00-RECOVER,PASS,1
crawl/notebooks/01CollectLinkareerIndex.ipynb,True,7936,01d65fdb65d5610f437d0fbd06f5d692b5122d070fddb6be06ab41cfc1293806,True,11,6,5,0,0,True,True,1,True,True,0,True,p4_crawl.config;p4_crawl.observed;p4_crawl.stage,Path;Path.cwd;RunConfig;RuntimeError;any;as_posix;audit_input_manifest;globals;is_dir;locate_project_root;quality_row;relative_to;require_repository_relative;run_fixture_apq_query;start.resolve;startswith;str;sys.path.insert;write_stage_artifacts,True,,P4-A1-SOURCE,A1-01-INDEX,PASS,1
crawl/notebooks/02CollectPostingDetail.ipynb,True,8387,0b1b749f5d9fe1b8f55eb71c7274a5e846e8309ab709c6c38ef43f17ca5dcb95,True,11,6,5,0,0,True,True,1,True,True,0,True,p4_crawl.config;p4_crawl.observed;p4_crawl.stage,Path;Path.cwd;RunConfig;RuntimeError;any;as_posix;audit_input_manifest;globals;is_dir;locate_project_root;quality_row;relative_to;replay_observed_raw;require_repository_relative;start.resolve;startswith;str;sys.path.insert;write_stage_artifacts,True,,P4-A1-SOURCE,A1-02-DETAIL,PASS,1
crawl/notebooks/03CollectPostingAssets.ipynb,True,8459,91899e17cc9c76e3e7bc05388919ebd643a763d971daa8af68817087b258daf3,True,11,6,5,0,0,True,True,1,True,True,0,True,p4_crawl.config;p4_crawl.observed;p4_crawl.stage,Path;Path.cwd;RunConfig;RuntimeError;any;as_posix;audit_input_manifest;globals;is_dir;locate_project_root;quality_row;relative_to;require_repository_relative;route_observed_asset_metadata;start.resolve;startswith;str;sys.path.insert;write_stage_artifacts,True,,P4-A1-SOURCE,A1-03-ASSET,PASS,1
crawl/notebooks/04BuildCrawlRelease.ipynb,True,8914,7d1b0b35302cdd0fea13b7b1ff682395ae16095f27d23c606928725c5af8110b,True,11,6,5,0,0,True,True,1,True,True,0,True,p4_crawl.config;p4_crawl.observed;p4_crawl.stage;p4_crawl.storage,Path;Path.cwd;RunConfig;RuntimeError;any;as_posix;atomic_write_json;audit_input_manifest;globals;invoke_agent2_validator;is_dir;locate_project_root;quality_row;relative_to;require_repository_relative;start.resolve;startswith;str;sys.path.insert;validate_observed_package;write_stage_artifacts,True,,P4-A1-SOURCE,A1-04-RELEASE,PASS,1
pipeline/notebooks/00ContractAndInputAudit.ipynb,True,10291,86e599f6c822f0cb5da4a149443ea94393aefc29416ec965a3f5e443862e479d,True,11,5,6,0,0,True,True,1,True,True,0,True,p4.notebooks.observed_stages,OUTPUT_ROOT.is_absolute;OUTPUT_ROOT.resolve;Path;Path.cwd;RuntimeError;STAGE_ID.startswith;artifact_root.relative_to;audit_observed_stage_inputs;datetime.now;display;exists;find_project_root;is_file;isoformat;json.dumps;json.loads;jsonschema.Draft202012Validator;jsonschema.FormatChecker;list;os.environ.get;pd.DataFrame;print;read_text;resolve;run_contract_and_input_audit_stage;str;strip;subprocess.check_output;sys.path.insert;validate,True,,P4-A2-PIPELINE,A2-00-CONTRACT-AUDIT,PASS,1
pipeline/notebooks/01LoadCrawlRelease.ipynb,True,10113,5fa8f23840d769cab3980665276b74f3aaa42306b58e299ac7eacac0d718221d,True,11,5,6,0,0,True,True,1,True,True,0,True,p4.notebooks.observed_stages,OUTPUT_ROOT.is_absolute;OUTPUT_ROOT.resolve;Path;Path.cwd;RuntimeError;STAGE_ID.startswith;artifact_root.relative_to;audit_observed_stage_inputs;datetime.now;display;exists;find_project_root;is_file;isoformat;json.dumps;json.loads;jsonschema.Draft202012Validator;jsonschema.FormatChecker;list;os.environ.get;pd.DataFrame;print;read_text;resolve;run_load_crawl_release_stage;str;strip;subprocess.check_output;sys.path.insert;validate,True,,P4-A2-PIPELINE,A2-01-LOAD,PASS,1
pipeline/notebooks/02ParseAndNormalize.ipynb,True,10301,b1cf625b99252b41fa808973ccfec38a53669c14fda3444ad0ee64512820ce31,True,11,5,6,0,0,True,True,1,True,True,0,True,p4.notebooks.observed_stages,OUTPUT_ROOT.is_absolute;OUTPUT_ROOT.resolve;Path;Path.cwd;RuntimeError;STAGE_ID.startswith;artifact_root.relative_to;audit_observed_stage_inputs;datetime.now;display;exists;find_project_root;is_file;isoformat;json.dumps;json.loads;jsonschema.Draft202012Validator;jsonschema.FormatChecker;list;os.environ.get;pd.DataFrame;print;read_text;resolve;run_parse_and_normalize_stage;str;strip;subprocess.check_output;sys.path.insert;validate,True,,P4-A2-PIPELINE,A2-02-PARSE,PASS,1
pipeline/notebooks/03OcrAndSectionRecovery.ipynb,True,10273,db5ca86e37c73f09097f7f740bcef633643439d24eb20a1bcfd24171d78f518a,True,11,5,6,0,0,True,True,1,True,True,0,True,p4.notebooks.observed_stages,OUTPUT_ROOT.is_absolute;OUTPUT_ROOT.resolve;Path;Path.cwd;RuntimeError;STAGE_ID.startswith;artifact_root.relative_to;audit_observed_stage_inputs;datetime.now;display;exists;find_project_root;is_file;isoformat;json.dumps;json.loads;jsonschema.Draft202012Validator;jsonschema.FormatChecker;list;os.environ.get;pd.DataFrame;print;read_text;resolve;run_ocr_and_section_recovery_stage;str;strip;subprocess.check_output;sys.path.insert;validate,True,,P4-A2-PIPELINE,A2-03-OCR,PASS,1
pipeline/notebooks/04SplitTracks.ipynb,True,10092,3892d341ca93b999d459e4faabd250f622ae8d626e994d9ee11a563b3a0f6aca,True,11,5,6,0,0,True,True,1,True,True,0,True,p4.notebooks.observed_stages,OUTPUT_ROOT.is_absolute;OUTPUT_ROOT.resolve;Path;Path.cwd;RuntimeError;STAGE_ID.startswith;artifact_root.relative_to;audit_observed_stage_inputs;datetime.now;display;exists;find_project_root;is_file;isoformat;json.dumps;json.loads;jsonschema.Draft202012Validator;jsonschema.FormatChecker;list;os.environ.get;pd.DataFrame;print;read_text;resolve;run_split_tracks_stage;str;strip;subprocess.check_output;sys.path.insert;validate,True,,P4-A2-PIPELINE,A2-04-TRACK,PASS,1
pipeline/notebooks/05ExtractRequirements.ipynb,True,10201,1a00c129bc3957ca878fcc75c17a71059b78a56fb34d3e38efc7ce8f341c012b,True,11,5,6,0,0,True,True,1,True,True,0,True,p4.notebooks.observed_stages,OUTPUT_ROOT.is_absolute;OUTPUT_ROOT.resolve;Path;Path.cwd;RuntimeError;STAGE_ID.startswith;artifact_root.relative_to;audit_observed_stage_inputs;datetime.now;display;exists;find_project_root;is_file;isoformat;json.dumps;json.loads;jsonschema.Draft202012Validator;jsonschema.FormatChecker;list;os.environ.get;pd.DataFrame;print;read_text;resolve;run_extract_requirements_stage;str;strip;subprocess.check_output;sys.path.insert;validate,True,,P4-A2-PIPELINE,A2-05-REQUIREMENT,PASS,1
pipeline/notebooks/06Deduplicate90Days.ipynb,True,10140,2516eb89f685e936ec4463dce6a541d53f0f3e2cd116c5b223e90e44977ebe18,True,11,5,6,0,0,True,True,1,True,True,0,True,p4.notebooks.observed_stages,OUTPUT_ROOT.is_absolute;OUTPUT_ROOT.resolve;Path;Path.cwd;RuntimeError;STAGE_ID.startswith;artifact_root.relative_to;audit_observed_stage_inputs;datetime.now;display;exists;find_project_root;is_file;isoformat;json.dumps;json.loads;jsonschema.Draft202012Validator;jsonschema.FormatChecker;list;os.environ.get;pd.DataFrame;print;read_text;resolve;run_deduplicate_90_days_stage;str;strip;subprocess.check_output;sys.path.insert;validate,True,,P4-A2-PIPELINE,A2-06-DEDUP,PASS,1
pipeline/notebooks/07LabelCareerAccess.ipynb,True,10193,59eff99c960b89385ba19ccb6a0fb684c27524c976cfa5a0448975104e1ee7f2,True,11,5,6,0,0,True,True,1,True,True,0,True,p4.notebooks.observed_stages,OUTPUT_ROOT.is_absolute;OUTPUT_ROOT.resolve;Path;Path.cwd;RuntimeError;STAGE_ID.startswith;artifact_root.relative_to;audit_observed_stage_inputs;datetime.now;display;exists;find_project_root;is_file;isoformat;json.dumps;json.loads;jsonschema.Draft202012Validator;jsonschema.FormatChecker;list;os.environ.get;pd.DataFrame;print;read_text;resolve;run_label_career_access_stage;str;strip;subprocess.check_output;sys.path.insert;validate,True,,P4-A2-PIPELINE,A2-07-LABEL,PASS,1
