path,bytes,sha256,format,kind
crawl/runs/notebooks/observed-dev/MASTER_20260806_01/NOTEBOOK_EXECUTION_RESULTS.csv,557,2dea1f71704de8389887c7057cb9b1d201acafc0b3081e3fd6b4188468f7dcf0,csv,stage_or_data_artifact
crawl/runs/notebooks/observed-dev/AGENT1_20260806_01/NOTEBOOK_EXECUTION_RESULTS.csv,1551,66f0ecc63bd97d6f2f7258c6b78a64c6b11ff51348cd26c13519d724f82a0aee,csv,stage_or_data_artifact
crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/P4_Notebook_First_Master/stage_metrics.json,1146,a57fc401d50581391eb8aa3605fe6279d0661ffd6f54f33e9eb6a08c24509aa9,json,stage_or_data_artifact
crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/P4_Notebook_First_Master/stage_quality.csv,355,426a6f57de19bf8e3c7e3e32137147631023c7af58700ef1eebb1c360fdb28bc,csv,stage_or_data_artifact
crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/P4_Notebook_First_Master/CHECKSUMS.sha256,255,49e236bda63a368604782c33c0cacdd4cfb88b4c11c7f2d9a9f4f0fc06f5610c,sha256,stage_or_data_artifact
crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/P4_Notebook_First_Master/stage_manifest.json,1833,55672097304ffb854423c43436cbfbfbec46113e11cd82d14c065a632b678a63,json,stage_or_data_artifact
crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/children/NOTEBOOK_EXECUTION_RESULTS.csv,11155,e2f9491dd3d7d20eac4f2ede643d759e5981373ce58b2ef48922f338bdcd367e,csv,stage_or_data_artifact
crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/children/stages/crawl/notebooks/01CollectLinkareerIndex/A1-01-INDEX/posting_discovery_index.parquet,5803,cdc5767afa960ad4a2f362bdaca8727fb9c43860e9650ebc17525f9369eddc9b,parquet,stage_or_data_artifact
crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/children/stages/crawl/notebooks/01CollectLinkareerIndex/A1-01-INDEX/stage_metrics.json,2527,b84771aa726940493dd695e3dd1f419c06f0590297f1838f5ffa75a3eac3f1ea,json,stage_or_data_artifact
crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/children/stages/crawl/notebooks/01CollectLinkareerIndex/A1-01-INDEX/posting_discovery_index.csv,26326,c9881a70c01cac83bca84e02a9e7ded21db196d59aee56c4d66fa593ffb7f4c7,csv,stage_or_data_artifact
crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/children/stages/crawl/notebooks/01CollectLinkareerIndex/A1-01-INDEX/fixture_apq_audit.json,299,0d8cea7532f722e59bde7ea3bd6876a0f1205fa4563a5c9d4671d03d861950ac,json,stage_or_data_artifact
crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/children/stages/crawl/notebooks/01CollectLinkareerIndex/A1-01-INDEX/stage_quality.csv,501,f03f727c5ac08bb54328885c54bb94293807059a7a52d47a94df90a365e2a904,csv,stage_or_data_artifact
crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/children/stages/crawl/notebooks/01CollectLinkareerIndex/A1-01-INDEX/CHECKSUMS.sha256,536,249cc671bf12d5ccbd1c20abdaef1efae6f6451db619366e3ce1fd49a4890bc0,sha256,stage_or_data_artifact
crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/children/stages/crawl/notebooks/01CollectLinkareerIndex/A1-01-INDEX/stage_manifest.json,3575,eb69f2191bbefe94fca69b69ed7bfe8f4600543b044ca87f9f4626f46179b764,json,stage_or_data_artifact
crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/children/stages/crawl/notebooks/02CollectPostingDetail/A1-02-DETAIL/raw_replay_metrics.json,197,ff8d2bd9d0ae5a3745b95b50094519ac4e28f4f9b0b5a9f2ff319c32580ab649,json,stage_or_data_artifact
crawl/runs/notebooks/observed-dev/MASTER_20260806_01/stages/crawl/notebooks/children/stages/crawl/notebooks/02CollectPostingDetail/A1-02-DETAIL/stage_metrics.json,2206,5c92a63d92ddadc65d9ef673955532cf0243b9ce0e137d4b299b69aacc30a8f2,json,stage_or_data_artifact
