agentId,stageId,notebook,projectImports,moduleCalls,actualModuleCall
P4-A1-SOURCE,A1-00-RECOVER,crawl/notebooks/00RecoverSourceState.ipynb,p4_crawl.config;p4_crawl.observed;p4_crawl.stage,Path;Path.cwd;RunConfig;RuntimeError;any;as_posix;audit_input_manifest;globals;is_dir;locate_project_root;quality_row;recover_observed_input_state;relative_to;require_repository_relative;start.resolve;startswith;str;sys.path.insert;validate_observed_package;write_stage_artifacts,True
P4-A1-SOURCE,A1-01-INDEX,crawl/notebooks/01CollectLinkareerIndex.ipynb,p4_crawl.config;p4_crawl.observed;p4_crawl.stage,Path;Path.cwd;RunConfig;RuntimeError;any;as_posix;audit_input_manifest;globals;is_dir;locate_project_root;quality_row;relative_to;require_repository_relative;run_fixture_apq_query;start.resolve;startswith;str;sys.path.insert;write_stage_artifacts,True
P4-A1-SOURCE,A1-02-DETAIL,crawl/notebooks/02CollectPostingDetail.ipynb,p4_crawl.config;p4_crawl.observed;p4_crawl.stage,Path;Path.cwd;RunConfig;RuntimeError;any;as_posix;audit_input_manifest;globals;is_dir;locate_project_root;quality_row;relative_to;replay_observed_raw;require_repository_relative;start.resolve;startswith;str;sys.path.insert;write_stage_artifacts,True
P4-A1-SOURCE,A1-03-ASSET,crawl/notebooks/03CollectPostingAssets.ipynb,p4_crawl.config;p4_crawl.observed;p4_crawl.stage,Path;Path.cwd;RunConfig;RuntimeError;any;as_posix;audit_input_manifest;globals;is_dir;locate_project_root;quality_row;relative_to;require_repository_relative;route_observed_asset_metadata;start.resolve;startswith;str;sys.path.insert;write_stage_artifacts,True
P4-A1-SOURCE,A1-04-RELEASE,crawl/notebooks/04BuildCrawlRelease.ipynb,p4_crawl.config;p4_crawl.observed;p4_crawl.stage;p4_crawl.storage,Path;Path.cwd;RunConfig;RuntimeError;any;as_posix;atomic_write_json;audit_input_manifest;globals;invoke_agent2_validator;is_dir;locate_project_root;quality_row;relative_to;require_repository_relative;start.resolve;startswith;str;sys.path.insert;validate_observed_package;write_stage_artifacts,True
P4-A2-PIPELINE,A2-00-CONTRACT-AUDIT,pipeline/notebooks/00ContractAndInputAudit.ipynb,p4.notebooks.observed_stages,OUTPUT_ROOT.is_absolute;OUTPUT_ROOT.resolve;Path;Path.cwd;RuntimeError;STAGE_ID.startswith;artifact_root.relative_to;audit_observed_stage_inputs;datetime.now;display;exists;find_project_root;is_file;isoformat;json.dumps;json.loads;jsonschema.Draft202012Validator;jsonschema.FormatChecker;list;os.environ.get;pd.DataFrame;print;read_text;resolve;run_contract_and_input_audit_stage;str;strip;subprocess.check_output;sys.path.insert;validate,True
P4-A2-PIPELINE,A2-01-LOAD,pipeline/notebooks/01LoadCrawlRelease.ipynb,p4.notebooks.observed_stages,OUTPUT_ROOT.is_absolute;OUTPUT_ROOT.resolve;Path;Path.cwd;RuntimeError;STAGE_ID.startswith;artifact_root.relative_to;audit_observed_stage_inputs;datetime.now;display;exists;find_project_root;is_file;isoformat;json.dumps;json.loads;jsonschema.Draft202012Validator;jsonschema.FormatChecker;list;os.environ.get;pd.DataFrame;print;read_text;resolve;run_load_crawl_release_stage;str;strip;subprocess.check_output;sys.path.insert;validate,True
P4-A2-PIPELINE,A2-02-PARSE,pipeline/notebooks/02ParseAndNormalize.ipynb,p4.notebooks.observed_stages,OUTPUT_ROOT.is_absolute;OUTPUT_ROOT.resolve;Path;Path.cwd;RuntimeError;STAGE_ID.startswith;artifact_root.relative_to;audit_observed_stage_inputs;datetime.now;display;exists;find_project_root;is_file;isoformat;json.dumps;json.loads;jsonschema.Draft202012Validator;jsonschema.FormatChecker;list;os.environ.get;pd.DataFrame;print;read_text;resolve;run_parse_and_normalize_stage;str;strip;subprocess.check_output;sys.path.insert;validate,True
P4-A2-PIPELINE,A2-03-OCR,pipeline/notebooks/03OcrAndSectionRecovery.ipynb,p4.notebooks.observed_stages,OUTPUT_ROOT.is_absolute;OUTPUT_ROOT.resolve;Path;Path.cwd;RuntimeError;STAGE_ID.startswith;artifact_root.relative_to;audit_observed_stage_inputs;datetime.now;display;exists;find_project_root;is_file;isoformat;json.dumps;json.loads;jsonschema.Draft202012Validator;jsonschema.FormatChecker;list;os.environ.get;pd.DataFrame;print;read_text;resolve;run_ocr_and_section_recovery_stage;str;strip;subprocess.check_output;sys.path.insert;validate,True
P4-A2-PIPELINE,A2-04-TRACK,pipeline/notebooks/04SplitTracks.ipynb,p4.notebooks.observed_stages,OUTPUT_ROOT.is_absolute;OUTPUT_ROOT.resolve;Path;Path.cwd;RuntimeError;STAGE_ID.startswith;artifact_root.relative_to;audit_observed_stage_inputs;datetime.now;display;exists;find_project_root;is_file;isoformat;json.dumps;json.loads;jsonschema.Draft202012Validator;jsonschema.FormatChecker;list;os.environ.get;pd.DataFrame;print;read_text;resolve;run_split_tracks_stage;str;strip;subprocess.check_output;sys.path.insert;validate,True
