agentId,stageId,notebook,cellIndex,cellId,cellType,parametersTag,sourceLines,astParse,sourceOutputs,executionCount
P4-A1-SOURCE,A1-00-RECOVER,crawl/notebooks/00RecoverSourceState.ipynb,0,a1-00-recover-title,markdown,False,12,NOT_APPLICABLE,0,
P4-A1-SOURCE,A1-00-RECOVER,crawl/notebooks/00RecoverSourceState.ipynb,1,a1-00-recover-parameters,code,True,13,PASS,0,
P4-A1-SOURCE,A1-00-RECOVER,crawl/notebooks/00RecoverSourceState.ipynb,2,a1-00-recover-environment-title,markdown,False,1,NOT_APPLICABLE,0,
P4-A1-SOURCE,A1-00-RECOVER,crawl/notebooks/00RecoverSourceState.ipynb,3,a1-00-recover-environment,code,False,47,PASS,0,
P4-A1-SOURCE,A1-00-RECOVER,crawl/notebooks/00RecoverSourceState.ipynb,4,a1-00-recover-audit-title,markdown,False,1,NOT_APPLICABLE,0,
P4-A1-SOURCE,A1-00-RECOVER,crawl/notebooks/00RecoverSourceState.ipynb,5,a1-00-recover-audit,code,False,5,PASS,0,
P4-A1-SOURCE,A1-00-RECOVER,crawl/notebooks/00RecoverSourceState.ipynb,6,a1-00-recover-operation-title,markdown,False,1,NOT_APPLICABLE,0,
P4-A1-SOURCE,A1-00-RECOVER,crawl/notebooks/00RecoverSourceState.ipynb,7,a1-00-recover-operation,code,False,11,PASS,0,
P4-A1-SOURCE,A1-00-RECOVER,crawl/notebooks/00RecoverSourceState.ipynb,8,a1-00-recover-finalize-title,markdown,False,1,NOT_APPLICABLE,0,
P4-A1-SOURCE,A1-00-RECOVER,crawl/notebooks/00RecoverSourceState.ipynb,9,a1-00-recover-finalize,code,False,12,PASS,0,
P4-A1-SOURCE,A1-00-RECOVER,crawl/notebooks/00RecoverSourceState.ipynb,10,a1-00-recover-interpretation,markdown,False,1,NOT_APPLICABLE,0,
P4-A1-SOURCE,A1-01-INDEX,crawl/notebooks/01CollectLinkareerIndex.ipynb,0,a1-01-index-title,markdown,False,12,NOT_APPLICABLE,0,
P4-A1-SOURCE,A1-01-INDEX,crawl/notebooks/01CollectLinkareerIndex.ipynb,1,a1-01-index-parameters,code,True,13,PASS,0,
P4-A1-SOURCE,A1-01-INDEX,crawl/notebooks/01CollectLinkareerIndex.ipynb,2,a1-01-index-environment-title,markdown,False,1,NOT_APPLICABLE,0,
P4-A1-SOURCE,A1-01-INDEX,crawl/notebooks/01CollectLinkareerIndex.ipynb,3,a1-01-index-environment,code,False,47,PASS,0,
P4-A1-SOURCE,A1-01-INDEX,crawl/notebooks/01CollectLinkareerIndex.ipynb,4,a1-01-index-audit-title,markdown,False,1,NOT_APPLICABLE,0,
P4-A1-SOURCE,A1-01-INDEX,crawl/notebooks/01CollectLinkareerIndex.ipynb,5,a1-01-index-audit,code,False,5,PASS,0,
P4-A1-SOURCE,A1-01-INDEX,crawl/notebooks/01CollectLinkareerIndex.ipynb,6,a1-01-index-operation-title,markdown,False,1,NOT_APPLICABLE,0,
P4-A1-SOURCE,A1-01-INDEX,crawl/notebooks/01CollectLinkareerIndex.ipynb,7,a1-01-index-operation,code,False,9,PASS,0,
P4-A1-SOURCE,A1-01-INDEX,crawl/notebooks/01CollectLinkareerIndex.ipynb,8,a1-01-index-finalize-title,markdown,False,1,NOT_APPLICABLE,0,
P4-A1-SOURCE,A1-01-INDEX,crawl/notebooks/01CollectLinkareerIndex.ipynb,9,a1-01-index-finalize,code,False,12,PASS,0,
P4-A1-SOURCE,A1-01-INDEX,crawl/notebooks/01CollectLinkareerIndex.ipynb,10,a1-01-index-interpretation,markdown,False,1,NOT_APPLICABLE,0,
P4-A1-SOURCE,A1-02-DETAIL,crawl/notebooks/02CollectPostingDetail.ipynb,0,a1-02-detail-title,markdown,False,12,NOT_APPLICABLE,0,
P4-A1-SOURCE,A1-02-DETAIL,crawl/notebooks/02CollectPostingDetail.ipynb,1,a1-02-detail-parameters,code,True,13,PASS,0,
P4-A1-SOURCE,A1-02-DETAIL,crawl/notebooks/02CollectPostingDetail.ipynb,2,a1-02-detail-environment-title,markdown,False,1,NOT_APPLICABLE,0,
P4-A1-SOURCE,A1-02-DETAIL,crawl/notebooks/02CollectPostingDetail.ipynb,3,a1-02-detail-environment,code,False,47,PASS,0,
P4-A1-SOURCE,A1-02-DETAIL,crawl/notebooks/02CollectPostingDetail.ipynb,4,a1-02-detail-audit-title,markdown,False,1,NOT_APPLICABLE,0,
P4-A1-SOURCE,A1-02-DETAIL,crawl/notebooks/02CollectPostingDetail.ipynb,5,a1-02-detail-audit,code,False,5,PASS,0,
P4-A1-SOURCE,A1-02-DETAIL,crawl/notebooks/02CollectPostingDetail.ipynb,6,a1-02-detail-operation-title,markdown,False,1,NOT_APPLICABLE,0,
P4-A1-SOURCE,A1-02-DETAIL,crawl/notebooks/02CollectPostingDetail.ipynb,7,a1-02-detail-operation,code,False,11,PASS,0,
P4-A1-SOURCE,A1-02-DETAIL,crawl/notebooks/02CollectPostingDetail.ipynb,8,a1-02-detail-finalize-title,markdown,False,1,NOT_APPLICABLE,0,
P4-A1-SOURCE,A1-02-DETAIL,crawl/notebooks/02CollectPostingDetail.ipynb,9,a1-02-detail-finalize,code,False,12,PASS,0,
P4-A1-SOURCE,A1-02-DETAIL,crawl/notebooks/02CollectPostingDetail.ipynb,10,a1-02-detail-interpretation,markdown,False,1,NOT_APPLICABLE,0,
P4-A1-SOURCE,A1-03-ASSET,crawl/notebooks/03CollectPostingAssets.ipynb,0,a1-03-asset-title,markdown,False,12,NOT_APPLICABLE,0,
P4-A1-SOURCE,A1-03-ASSET,crawl/notebooks/03CollectPostingAssets.ipynb,1,a1-03-asset-parameters,code,True,13,PASS,0,
P4-A1-SOURCE,A1-03-ASSET,crawl/notebooks/03CollectPostingAssets.ipynb,2,a1-03-asset-environment-title,markdown,False,1,NOT_APPLICABLE,0,
P4-A1-SOURCE,A1-03-ASSET,crawl/notebooks/03CollectPostingAssets.ipynb,3,a1-03-asset-environment,code,False,47,PASS,0,
P4-A1-SOURCE,A1-03-ASSET,crawl/notebooks/03CollectPostingAssets.ipynb,4,a1-03-asset-audit-title,markdown,False,1,NOT_APPLICABLE,0,
P4-A1-SOURCE,A1-03-ASSET,crawl/notebooks/03CollectPostingAssets.ipynb,5,a1-03-asset-audit,code,False,5,PASS,0,
P4-A1-SOURCE,A1-03-ASSET,crawl/notebooks/03CollectPostingAssets.ipynb,6,a1-03-asset-operation-title,markdown,False,1,NOT_APPLICABLE,0,
P4-A1-SOURCE,A1-03-ASSET,crawl/notebooks/03CollectPostingAssets.ipynb,7,a1-03-asset-operation,code,False,11,PASS,0,
P4-A1-SOURCE,A1-03-ASSET,crawl/notebooks/03CollectPostingAssets.ipynb,8,a1-03-asset-finalize-title,markdown,False,1,NOT_APPLICABLE,0,
P4-A1-SOURCE,A1-03-ASSET,crawl/notebooks/03CollectPostingAssets.ipynb,9,a1-03-asset-finalize,code,False,12,PASS,0,
P4-A1-SOURCE,A1-03-ASSET,crawl/notebooks/03CollectPostingAssets.ipynb,10,a1-03-asset-interpretation,markdown,False,1,NOT_APPLICABLE,0,
P4-A1-SOURCE,A1-04-RELEASE,crawl/notebooks/04BuildCrawlRelease.ipynb,0,a1-04-release-title,markdown,False,12,NOT_APPLICABLE,0,
P4-A1-SOURCE,A1-04-RELEASE,crawl/notebooks/04BuildCrawlRelease.ipynb,1,a1-04-release-parameters,code,True,13,PASS,0,
P4-A1-SOURCE,A1-04-RELEASE,crawl/notebooks/04BuildCrawlRelease.ipynb,2,a1-04-release-environment-title,markdown,False,1,NOT_APPLICABLE,0,
P4-A1-SOURCE,A1-04-RELEASE,crawl/notebooks/04BuildCrawlRelease.ipynb,3,a1-04-release-environment,code,False,47,PASS,0,
P4-A1-SOURCE,A1-04-RELEASE,crawl/notebooks/04BuildCrawlRelease.ipynb,4,a1-04-release-audit-title,markdown,False,1,NOT_APPLICABLE,0,
P4-A1-SOURCE,A1-04-RELEASE,crawl/notebooks/04BuildCrawlRelease.ipynb,5,a1-04-release-audit,code,False,5,PASS,0,
P4-A1-SOURCE,A1-04-RELEASE,crawl/notebooks/04BuildCrawlRelease.ipynb,6,a1-04-release-operation-title,markdown,False,1,NOT_APPLICABLE,0,
