baseCommit,headCommit,acceptedAgentCommits,dataVersion,runId,contractVersion,sourceNotebookManifestSha256,rawObjectManifestSha256,validatorReportSha256,reportSha256,stageId,owner,planned,executed,stageStatus,blocker,inputManifestSha256,outputManifestSha256,sourceNotebookSha256,moduleBlobSha256,parameterSha256,validatorInvoked,validatorExitCode,validatorStatus,productionNetworkCalls,externalAtsTransportCalls
5508fce02ba5396b5d5a55870f1f879c1f32e8e0,e903d3a1d5f919cf7a117d8e351750ab9dc840f2,NONE,reconciliation-20260807.1,M1_5_RECONCILIATION_20260807_01,2.1.2,SEE_EVIDENCE_MANIFEST,f12680f1d598f70df576f0af4743c5e9c49df7caf16eccb1d898bded5eb3dfbe,NOT_AVAILABLE_PRECONDITION_BLOCKED,SEE_EVIDENCE_MANIFEST,A1-00-RECOVER,P4-A1-SOURCE,True,False,NOT_STARTED,HANDOFF_ACCEPTANCE_PRECONDITION_FAILED,NOT_AVAILABLE,NOT_AVAILABLE,c3fe68cf946e432df7610ba78452898c0fe62dfd5f9df8296d314a7990d1a257,87b6809a8326a350dffc444774c1c7abb287fa65c613ef2042f952159ea6b793,NOT_AVAILABLE,False,NOT_INVOKED,NOT_STARTED,0,0
5508fce02ba5396b5d5a55870f1f879c1f32e8e0,e903d3a1d5f919cf7a117d8e351750ab9dc840f2,NONE,reconciliation-20260807.1,M1_5_RECONCILIATION_20260807_01,2.1.2,SEE_EVIDENCE_MANIFEST,f12680f1d598f70df576f0af4743c5e9c49df7caf16eccb1d898bded5eb3dfbe,NOT_AVAILABLE_PRECONDITION_BLOCKED,SEE_EVIDENCE_MANIFEST,A1-01-INDEX,P4-A1-SOURCE,True,False,NOT_STARTED,HANDOFF_ACCEPTANCE_PRECONDITION_FAILED,NOT_AVAILABLE,NOT_AVAILABLE,ea3454cca50c8e50b3d18406006f1f4fc83a705ba84134009cd3b42a2e3a95a2,87b6809a8326a350dffc444774c1c7abb287fa65c613ef2042f952159ea6b793,NOT_AVAILABLE,False,NOT_INVOKED,NOT_STARTED,0,0
5508fce02ba5396b5d5a55870f1f879c1f32e8e0,e903d3a1d5f919cf7a117d8e351750ab9dc840f2,NONE,reconciliation-20260807.1,M1_5_RECONCILIATION_20260807_01,2.1.2,SEE_EVIDENCE_MANIFEST,f12680f1d598f70df576f0af4743c5e9c49df7caf16eccb1d898bded5eb3dfbe,NOT_AVAILABLE_PRECONDITION_BLOCKED,SEE_EVIDENCE_MANIFEST,A1-02-DETAIL,P4-A1-SOURCE,True,False,NOT_STARTED,HANDOFF_ACCEPTANCE_PRECONDITION_FAILED,NOT_AVAILABLE,NOT_AVAILABLE,ca713dc03c421ba9ea900fa72062ceba6ef32ac2d7642789c59194a8e8be3de3,87b6809a8326a350dffc444774c1c7abb287fa65c613ef2042f952159ea6b793,NOT_AVAILABLE,False,NOT_INVOKED,NOT_STARTED,0,0
5508fce02ba5396b5d5a55870f1f879c1f32e8e0,e903d3a1d5f919cf7a117d8e351750ab9dc840f2,NONE,reconciliation-20260807.1,M1_5_RECONCILIATION_20260807_01,2.1.2,SEE_EVIDENCE_MANIFEST,f12680f1d598f70df576f0af4743c5e9c49df7caf16eccb1d898bded5eb3dfbe,NOT_AVAILABLE_PRECONDITION_BLOCKED,SEE_EVIDENCE_MANIFEST,A1-03-ASSET,P4-A1-SOURCE,True,False,NOT_STARTED,HANDOFF_ACCEPTANCE_PRECONDITION_FAILED,NOT_AVAILABLE,NOT_AVAILABLE,6baf34bb0daefeb455b0da86e0eba3624a7016d11fb893ecaf46fabd8c2181f2,87b6809a8326a350dffc444774c1c7abb287fa65c613ef2042f952159ea6b793,NOT_AVAILABLE,False,NOT_INVOKED,NOT_STARTED,0,0
5508fce02ba5396b5d5a55870f1f879c1f32e8e0,e903d3a1d5f919cf7a117d8e351750ab9dc840f2,NONE,reconciliation-20260807.1,M1_5_RECONCILIATION_20260807_01,2.1.2,SEE_EVIDENCE_MANIFEST,f12680f1d598f70df576f0af4743c5e9c49df7caf16eccb1d898bded5eb3dfbe,NOT_AVAILABLE_PRECONDITION_BLOCKED,SEE_EVIDENCE_MANIFEST,A1-04-RELEASE,P4-A1-SOURCE,True,False,NOT_STARTED,HANDOFF_ACCEPTANCE_PRECONDITION_FAILED,NOT_AVAILABLE,NOT_AVAILABLE,18b786aae98ceed86b1313bff143af7ea5d2ad023514fe9f5d0ab0159a04718c,87b6809a8326a350dffc444774c1c7abb287fa65c613ef2042f952159ea6b793,NOT_AVAILABLE,False,NOT_INVOKED,NOT_STARTED,0,0
5508fce02ba5396b5d5a55870f1f879c1f32e8e0,e903d3a1d5f919cf7a117d8e351750ab9dc840f2,NONE,reconciliation-20260807.1,M1_5_RECONCILIATION_20260807_01,2.1.2,SEE_EVIDENCE_MANIFEST,f12680f1d598f70df576f0af4743c5e9c49df7caf16eccb1d898bded5eb3dfbe,NOT_AVAILABLE_PRECONDITION_BLOCKED,SEE_EVIDENCE_MANIFEST,A2-00-CONTRACT-AUDIT,P4-A2-PIPELINE,True,False,NOT_STARTED,HANDOFF_ACCEPTANCE_PRECONDITION_FAILED,NOT_AVAILABLE,NOT_AVAILABLE,86e599f6c822f0cb5da4a149443ea94393aefc29416ec965a3f5e443862e479d,2cafaa0991dbefe2052fe41a2cd61c19d1cb82698c06a65971a5978b174936fd,NOT_AVAILABLE,False,NOT_INVOKED,NOT_STARTED,0,0
5508fce02ba5396b5d5a55870f1f879c1f32e8e0,e903d3a1d5f919cf7a117d8e351750ab9dc840f2,NONE,reconciliation-20260807.1,M1_5_RECONCILIATION_20260807_01,2.1.2,SEE_EVIDENCE_MANIFEST,f12680f1d598f70df576f0af4743c5e9c49df7caf16eccb1d898bded5eb3dfbe,NOT_AVAILABLE_PRECONDITION_BLOCKED,SEE_EVIDENCE_MANIFEST,A2-01-LOAD,P4-A2-PIPELINE,True,False,NOT_STARTED,HANDOFF_ACCEPTANCE_PRECONDITION_FAILED,NOT_AVAILABLE,NOT_AVAILABLE,5fa8f23840d769cab3980665276b74f3aaa42306b58e299ac7eacac0d718221d,2cafaa0991dbefe2052fe41a2cd61c19d1cb82698c06a65971a5978b174936fd,NOT_AVAILABLE,False,NOT_INVOKED,NOT_STARTED,0,0
5508fce02ba5396b5d5a55870f1f879c1f32e8e0,e903d3a1d5f919cf7a117d8e351750ab9dc840f2,NONE,reconciliation-20260807.1,M1_5_RECONCILIATION_20260807_01,2.1.2,SEE_EVIDENCE_MANIFEST,f12680f1d598f70df576f0af4743c5e9c49df7caf16eccb1d898bded5eb3dfbe,NOT_AVAILABLE_PRECONDITION_BLOCKED,SEE_EVIDENCE_MANIFEST,A2-02-PARSE,P4-A2-PIPELINE,True,False,NOT_STARTED,HANDOFF_ACCEPTANCE_PRECONDITION_FAILED,NOT_AVAILABLE,NOT_AVAILABLE,b1cf625b99252b41fa808973ccfec38a53669c14fda3444ad0ee64512820ce31,2cafaa0991dbefe2052fe41a2cd61c19d1cb82698c06a65971a5978b174936fd,NOT_AVAILABLE,False,NOT_INVOKED,NOT_STARTED,0,0
5508fce02ba5396b5d5a55870f1f879c1f32e8e0,e903d3a1d5f919cf7a117d8e351750ab9dc840f2,NONE,reconciliation-20260807.1,M1_5_RECONCILIATION_20260807_01,2.1.2,SEE_EVIDENCE_MANIFEST,f12680f1d598f70df576f0af4743c5e9c49df7caf16eccb1d898bded5eb3dfbe,NOT_AVAILABLE_PRECONDITION_BLOCKED,SEE_EVIDENCE_MANIFEST,A2-03-OCR,P4-A2-PIPELINE,True,False,NOT_STARTED,HANDOFF_ACCEPTANCE_PRECONDITION_FAILED,NOT_AVAILABLE,NOT_AVAILABLE,db5ca86e37c73f09097f7f740bcef633643439d24eb20a1bcfd24171d78f518a,2cafaa0991dbefe2052fe41a2cd61c19d1cb82698c06a65971a5978b174936fd,NOT_AVAILABLE,False,NOT_INVOKED,NOT_STARTED,0,0
5508fce02ba5396b5d5a55870f1f879c1f32e8e0,e903d3a1d5f919cf7a117d8e351750ab9dc840f2,NONE,reconciliation-20260807.1,M1_5_RECONCILIATION_20260807_01,2.1.2,SEE_EVIDENCE_MANIFEST,f12680f1d598f70df576f0af4743c5e9c49df7caf16eccb1d898bded5eb3dfbe,NOT_AVAILABLE_PRECONDITION_BLOCKED,SEE_EVIDENCE_MANIFEST,A2-04-TRACK,P4-A2-PIPELINE,True,False,NOT_STARTED,HANDOFF_ACCEPTANCE_PRECONDITION_FAILED,NOT_AVAILABLE,NOT_AVAILABLE,3892d341ca93b999d459e4faabd250f622ae8d626e994d9ee11a563b3a0f6aca,2cafaa0991dbefe2052fe41a2cd61c19d1cb82698c06a65971a5978b174936fd,NOT_AVAILABLE,False,NOT_INVOKED,NOT_STARTED,0,0
