baseCommit,headCommit,acceptedAgentCommits,dataVersion,runId,contractVersion,sourceNotebookManifestSha256,rawObjectManifestSha256,validatorReportSha256,reportSha256,stageId,expectedCurrentRunManifestCount,actualCurrentRunManifestCount,exactOne,staleConsumed,foreignArtifactConsumed,sourceNotebookAuthorityMismatch,status,reason
5508fce02ba5396b5d5a55870f1f879c1f32e8e0,e903d3a1d5f919cf7a117d8e351750ab9dc840f2,NONE,reconciliation-20260807.1,M1_5_RECONCILIATION_20260807_01,2.1.2,SEE_EVIDENCE_MANIFEST,f12680f1d598f70df576f0af4743c5e9c49df7caf16eccb1d898bded5eb3dfbe,NOT_AVAILABLE_PRECONDITION_BLOCKED,SEE_EVIDENCE_MANIFEST,A1-00-RECOVER,1,0,False,0,0,1,BLOCKED,replay correctly not started before A1/A2/A4 acceptance
5508fce02ba5396b5d5a55870f1f879c1f32e8e0,e903d3a1d5f919cf7a117d8e351750ab9dc840f2,NONE,reconciliation-20260807.1,M1_5_RECONCILIATION_20260807_01,2.1.2,SEE_EVIDENCE_MANIFEST,f12680f1d598f70df576f0af4743c5e9c49df7caf16eccb1d898bded5eb3dfbe,NOT_AVAILABLE_PRECONDITION_BLOCKED,SEE_EVIDENCE_MANIFEST,A1-01-INDEX,1,0,False,0,0,1,BLOCKED,replay correctly not started before A1/A2/A4 acceptance
5508fce02ba5396b5d5a55870f1f879c1f32e8e0,e903d3a1d5f919cf7a117d8e351750ab9dc840f2,NONE,reconciliation-20260807.1,M1_5_RECONCILIATION_20260807_01,2.1.2,SEE_EVIDENCE_MANIFEST,f12680f1d598f70df576f0af4743c5e9c49df7caf16eccb1d898bded5eb3dfbe,NOT_AVAILABLE_PRECONDITION_BLOCKED,SEE_EVIDENCE_MANIFEST,A1-02-DETAIL,1,0,False,0,0,1,BLOCKED,replay correctly not started before A1/A2/A4 acceptance
5508fce02ba5396b5d5a55870f1f879c1f32e8e0,e903d3a1d5f919cf7a117d8e351750ab9dc840f2,NONE,reconciliation-20260807.1,M1_5_RECONCILIATION_20260807_01,2.1.2,SEE_EVIDENCE_MANIFEST,f12680f1d598f70df576f0af4743c5e9c49df7caf16eccb1d898bded5eb3dfbe,NOT_AVAILABLE_PRECONDITION_BLOCKED,SEE_EVIDENCE_MANIFEST,A1-03-ASSET,1,0,False,0,0,1,BLOCKED,replay correctly not started before A1/A2/A4 acceptance
5508fce02ba5396b5d5a55870f1f879c1f32e8e0,e903d3a1d5f919cf7a117d8e351750ab9dc840f2,NONE,reconciliation-20260807.1,M1_5_RECONCILIATION_20260807_01,2.1.2,SEE_EVIDENCE_MANIFEST,f12680f1d598f70df576f0af4743c5e9c49df7caf16eccb1d898bded5eb3dfbe,NOT_AVAILABLE_PRECONDITION_BLOCKED,SEE_EVIDENCE_MANIFEST,A1-04-RELEASE,1,0,False,0,0,1,BLOCKED,replay correctly not started before A1/A2/A4 acceptance
5508fce02ba5396b5d5a55870f1f879c1f32e8e0,e903d3a1d5f919cf7a117d8e351750ab9dc840f2,NONE,reconciliation-20260807.1,M1_5_RECONCILIATION_20260807_01,2.1.2,SEE_EVIDENCE_MANIFEST,f12680f1d598f70df576f0af4743c5e9c49df7caf16eccb1d898bded5eb3dfbe,NOT_AVAILABLE_PRECONDITION_BLOCKED,SEE_EVIDENCE_MANIFEST,A2-00-CONTRACT-AUDIT,1,0,False,0,0,0,BLOCKED,replay correctly not started before A1/A2/A4 acceptance
5508fce02ba5396b5d5a55870f1f879c1f32e8e0,e903d3a1d5f919cf7a117d8e351750ab9dc840f2,NONE,reconciliation-20260807.1,M1_5_RECONCILIATION_20260807_01,2.1.2,SEE_EVIDENCE_MANIFEST,f12680f1d598f70df576f0af4743c5e9c49df7caf16eccb1d898bded5eb3dfbe,NOT_AVAILABLE_PRECONDITION_BLOCKED,SEE_EVIDENCE_MANIFEST,A2-01-LOAD,1,0,False,0,0,0,BLOCKED,replay correctly not started before A1/A2/A4 acceptance
5508fce02ba5396b5d5a55870f1f879c1f32e8e0,e903d3a1d5f919cf7a117d8e351750ab9dc840f2,NONE,reconciliation-20260807.1,M1_5_RECONCILIATION_20260807_01,2.1.2,SEE_EVIDENCE_MANIFEST,f12680f1d598f70df576f0af4743c5e9c49df7caf16eccb1d898bded5eb3dfbe,NOT_AVAILABLE_PRECONDITION_BLOCKED,SEE_EVIDENCE_MANIFEST,A2-02-PARSE,1,0,False,0,0,0,BLOCKED,replay correctly not started before A1/A2/A4 acceptance
5508fce02ba5396b5d5a55870f1f879c1f32e8e0,e903d3a1d5f919cf7a117d8e351750ab9dc840f2,NONE,reconciliation-20260807.1,M1_5_RECONCILIATION_20260807_01,2.1.2,SEE_EVIDENCE_MANIFEST,f12680f1d598f70df576f0af4743c5e9c49df7caf16eccb1d898bded5eb3dfbe,NOT_AVAILABLE_PRECONDITION_BLOCKED,SEE_EVIDENCE_MANIFEST,A2-03-OCR,1,0,False,0,0,0,BLOCKED,replay correctly not started before A1/A2/A4 acceptance
5508fce02ba5396b5d5a55870f1f879c1f32e8e0,e903d3a1d5f919cf7a117d8e351750ab9dc840f2,NONE,reconciliation-20260807.1,M1_5_RECONCILIATION_20260807_01,2.1.2,SEE_EVIDENCE_MANIFEST,f12680f1d598f70df576f0af4743c5e9c49df7caf16eccb1d898bded5eb3dfbe,NOT_AVAILABLE_PRECONDITION_BLOCKED,SEE_EVIDENCE_MANIFEST,A2-04-TRACK,1,0,False,0,0,0,BLOCKED,replay correctly not started before A1/A2/A4 acceptance
5508fce02ba5396b5d5a55870f1f879c1f32e8e0,e903d3a1d5f919cf7a117d8e351750ab9dc840f2,NONE,reconciliation-20260807.1,M1_5_RECONCILIATION_20260807_01,2.1.2,SEE_EVIDENCE_MANIFEST,f12680f1d598f70df576f0af4743c5e9c49df7caf16eccb1d898bded5eb3dfbe,NOT_AVAILABLE_PRECONDITION_BLOCKED,SEE_EVIDENCE_MANIFEST,A2-05-REQUIREMENT,1,0,False,0,0,0,BLOCKED,replay correctly not started before A1/A2/A4 acceptance
5508fce02ba5396b5d5a55870f1f879c1f32e8e0,e903d3a1d5f919cf7a117d8e351750ab9dc840f2,NONE,reconciliation-20260807.1,M1_5_RECONCILIATION_20260807_01,2.1.2,SEE_EVIDENCE_MANIFEST,f12680f1d598f70df576f0af4743c5e9c49df7caf16eccb1d898bded5eb3dfbe,NOT_AVAILABLE_PRECONDITION_BLOCKED,SEE_EVIDENCE_MANIFEST,A2-06-DEDUP,1,0,False,0,0,0,BLOCKED,replay correctly not started before A1/A2/A4 acceptance
