branch,baseCommit,headCommit,dataVersion,runId,rawStorageRootId,path,changeType,integrationBlobSha,crawlAuthorityBlobSha,classification,chosenAuthority,reason,owner,resolutionStatus,requiredA3Action,sourceOrGenerated
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/.gitattributes,A,,d7bdbbc3b6827d532f22f8ef17efed82a02d86a5,SOURCE_CODE,CRAWL_HANDOFF,Audited crawl source/control/test authority selected over integration drift.,A1,IMPORTED,CONSUME_RECONCILIATION_COMMIT,SOURCE
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/.gitignore,M,9dac6f0f873e67bd37592257a5e5b7207188632a,d15c66c416303012275cced1c497635f1f103bd4,SOURCE_CODE,CRAWL_HANDOFF,Audited crawl source/control/test authority selected over integration drift.,A1,IMPORTED,CONSUME_RECONCILIATION_COMMIT,SOURCE
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/RUNTIME_DEPENDENCY_LOCK.json,A,,b85f3d582cde41ac1141838d2139408a54bce591,SOURCE_CODE,CRAWL_HANDOFF,Audited crawl source/control/test authority selected over integration drift.,A1,IMPORTED,CONSUME_RECONCILIATION_COMMIT,SOURCE
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/control/ACTIVITY_TEXT_FALLBACK_CONTRACT.json,A,,d51c581d8686731a4b67519cbe1dfd6b9b22f532,SOURCE_CODE,CRAWL_HANDOFF,Audited crawl source/control/test authority selected over integration drift.,A1,IMPORTED,CONSUME_RECONCILIATION_COMMIT,SOURCE
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/control/CURRENT_RUN_MANIFEST.schema.json,D,acb15d695e5bd6d486ebaef4d5d9eb49657918f8,,STALE,INTEGRATION_RETAINED,Crawl handoff deletion was not replayed; prior artifact remains for lineage.,A1,SUPERSEDED_RETAINED,RETAIN_UNTIL_A3_SUPERSEDES,SOURCE
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/control/NOTEBOOK_EXECUTION_CONTRACT.md,M,bf52bb6b165f9d76d6f2170a39e7241a5d92601a,17682cdeb83595743fce6cbdcbdb0256419950f1,SOURCE_CODE,CRAWL_HANDOFF,Audited crawl source/control/test authority selected over integration drift.,A1,IMPORTED,CONSUME_RECONCILIATION_COMMIT,SOURCE
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/control/NOTEBOOK_RUNTIME_LOCK.json,D,92b6b5843b29ab0072933c5afbe7c592e7d3feec,,STALE,INTEGRATION_RETAINED,Crawl handoff deletion was not replayed; prior artifact remains for lineage.,A1,SUPERSEDED_RETAINED,RETAIN_UNTIL_A3_SUPERSEDES,SOURCE
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/control/NOTEBOOK_STAGE_REGISTRY.yaml,M,1ca92ba6d9836d7055d38bad8e3feb89ca9ce828,2d2d5250bad0d67fed2cde49dd3d87806af083e1,SOURCE_CODE,CRAWL_HANDOFF,Audited crawl source/control/test authority selected over integration drift.,A1,IMPORTED,CONSUME_RECONCILIATION_COMMIT,SOURCE
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/control/notebook_bundle.py,M,248969e79b1089685a6fcabf9af33b865d72c308,66bc93cc33057962df2bec651077be6fc1d90783,SOURCE_CODE,CRAWL_HANDOFF,Audited crawl source/control/test authority selected over integration drift.,A1,IMPORTED,CONSUME_RECONCILIATION_COMMIT,SOURCE
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,crawl/control/tests/test_blob_provenance.py,A,,fe7ba5ef4a97878d8f141ac7e10e60f403515d22,SOURCE_CODE,CRAWL_HANDOFF,Audited crawl source/control/test authority selected over integration drift.,A1,IMPORTED,CONSUME_RECONCILIATION_COMMIT,SOURCE
