branch,baseCommit,headCommit,dataVersion,runId,rawStorageRootId,producerStageId,consumerStageId,producerOrder,consumerOrder,status,cycleDetected,orderingViolation
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,A1-00-RECOVER,A1-01-INDEX,0,2,PASS,False,False
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,A1-01-INDEX,A1-02-DETAIL,2,5,PASS,False,False
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,A1-02-DETAIL,A1-03-ASSET,5,8,PASS,False,False
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,A1-03-ASSET,A1-04-RELEASE,8,13,PASS,False,False
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,A2-00-CONTRACT-AUDIT,A2-01-LOAD,1,3,PASS,False,False
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,A2-01-LOAD,A2-02-PARSE,3,6,PASS,False,False
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,A2-02-PARSE,A2-03-OCR,6,9,PASS,False,False
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,A2-03-OCR,A2-04-TRACK,9,14,PASS,False,False
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,A2-04-TRACK,A2-05-REQUIREMENT,14,15,PASS,False,False
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,A2-02-PARSE,A2-06-DEDUP,6,10,PASS,False,False
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,A2-05-REQUIREMENT,A2-07-LABEL,15,16,PASS,False,False
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,A4-00-NCS-SOURCE,A2-08-NCS-LOAD,4,12,PASS,False,False
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,A4-01-CODESET,A2-08-NCS-LOAD,7,12,PASS,False,False
agent/p4-a1-reconcile-crawl-authority-v1,5508fce02ba5396b5d5a55870f1f879c1f32e8e0,92207e8fe7cc445c7426218da06b0b064f9df941,observed-dev-reconciliation-20260807.1,A1_RECON_20260807_01,P4_RAW_OBSERVED_20260806_01,A2-08-NCS-LOAD,A2-09-NCS-MAP,12,20,PASS,False,False
