path,repositoryScope,gitStatus,tracked,ignored,bytes,sha256,fileType,ownerAgent,classification,canonicalEquivalent,canonicalSha256,proposedAction,reason
DSJA/project_4/.env,DSJA/project_4,ignored,false,true,1223,9b52068b769539e7ac58ebbe8cb120ab58ce548a405e699cff0d958aeb71b658,[no-extension],SHARED_OR_UNRESOLVED,SECRET_LOCAL,,,KEEP_LOCAL_IGNORED,Local secret-bearing environment file; never quarantine or commit
DSJA/project_4/.env.example,DSJA/project_4,untracked,false,false,1304,d4151d2e497c7e3fb94761797648ffb5e1925072e5e911fc76bdd05fbb2e7b96,.example,SHARED_OR_UNRESOLVED,SKELETON_REUSABLE,,,TRACK_ON_CLEANUP_BRANCH,Repository hygiene file requires safe canonical version
DSJA/project_4/.gitignore,DSJA/project_4,untracked,false,false,60,9008ab854d29db5b19345c9871212e592c4c132e55621165f66245ddbf81d7b7,[no-extension],SHARED_OR_UNRESOLVED,SKELETON_REUSABLE,,,TRACK_ON_CLEANUP_BRANCH,Repository hygiene file requires safe canonical version
DSJA/project_4/.jupyter/kernels/project_4_sbs_venv/kernel.json,DSJA/project_4,untracked,false,false,1627,1ccf8d1a148582ad95fc8ea6ee509be3f19c835702bffbb8d7a8583d0b830692,.json,SHARED_OR_UNRESOLVED,RUNTIME_IGNORED,,,KEEP_LOCAL_IGNORED,Local Jupyter kernel/runtime configuration
DSJA/project_4/.vscode/settings.json,DSJA/project_4,ignored,false,true,1470,24880aa3709f904311723d89e8890c9fd298c11fdb7639557585e10a7e360397,.json,SHARED_OR_UNRESOLVED,RUNTIME_IGNORED,,,KEEP_LOCAL_IGNORED,Regenerable or local runtime artifact protected by ignore rules
DSJA/project_4/P4_DOCS/P4_ERD_v2.mmd,DSJA/project_4,untracked,false,false,997,25d70ace26a2a6f04285b3a0c4acc80c0f4982b2434b833d9fdbafc68d8c3157,.mmd,SHARED_OR_UNRESOLVED,DUPLICATE_IDENTICAL,docsArchive:archive/precanonical_v2/source_tree/P4_DOCS/P4_ERD_v2.mmd,25d70ace26a2a6f04285b3a0c4acc80c0f4982b2434b833d9fdbafc68d8c3157,QUARANTINE_COPY_SOURCE_RETAINED,Byte-identical file already registered under docs archive
DSJA/project_4/P4_DOCS/P4_SSOT_v2_user_reviewed.md,DSJA/project_4,untracked,false,false,27641,cb141b26105aa72f5baea4867ed921ce4f24b9cef1f12bf1618183afd99d8263,.md,SHARED_OR_UNRESOLVED,DUPLICATE_IDENTICAL,docsArchive:archive/precanonical_v2/source_tree/P4_DOCS/P4_SSOT_v2_user_reviewed.md,cb141b26105aa72f5baea4867ed921ce4f24b9cef1f12bf1618183afd99d8263,QUARANTINE_COPY_SOURCE_RETAINED,Byte-identical file already registered under docs archive
DSJA/project_4/P4_DOCS/P4_USER_REVIEW_DECISIONS.md,DSJA/project_4,untracked,false,false,1381,78ac98ac581bd149a061a58c208d59a04722c6e78ffc6bdb57b90b04af3fe42f,.md,SHARED_OR_UNRESOLVED,DUPLICATE_IDENTICAL,docsArchive:archive/precanonical_v2/source_tree/P4_DOCS/P4_USER_REVIEW_DECISIONS.md,78ac98ac581bd149a061a58c208d59a04722c6e78ffc6bdb57b90b04af3fe42f,QUARANTINE_COPY_SOURCE_RETAINED,Byte-identical file already registered under docs archive
DSJA/project_4/P4_DOCS/P4_data_dictionary_v2.xlsx,DSJA/project_4,untracked,false,false,46879,3a482b7a0b0b37139496f559737d73c7a82585c05cf3f2d5e521956db2d652dd,.xlsx,SHARED_OR_UNRESOLVED,DUPLICATE_IDENTICAL,docsArchive:archive/precanonical_v2/source_tree/P4_DOCS/P4_data_dictionary_v2.xlsx,3a482b7a0b0b37139496f559737d73c7a82585c05cf3f2d5e521956db2d652dd,QUARANTINE_COPY_SOURCE_RETAINED,Byte-identical file already registered under docs archive
DSJA/project_4/P4_DOCS/P4_pipeline_master_v2.ipynb,DSJA/project_4,untracked,false,false,17437,0548de067c28ddbf26c251618c4ba92e05c381a62cf3fd6ceb5f6960ea8a9467,.ipynb,SHARED_OR_UNRESOLVED,DUPLICATE_IDENTICAL,docsArchive:archive/precanonical_v2/source_tree/P4_DOCS/P4_pipeline_master_v2.ipynb,0548de067c28ddbf26c251618c4ba92e05c381a62cf3fd6ceb5f6960ea8a9467,QUARANTINE_COPY_SOURCE_RETAINED,Byte-identical file already registered under docs archive
DSJA/project_4/P4_DOCS/SBS_P4_PROJECT4_v2_bootstrap/SBS_P4_PROJECT4_v2_bootstrap/.env.example,DSJA/project_4,untracked,false,false,48,c071ddc543a04e56ce2cfced6f77a6bd425c62de80cecc522d87d6dd66954759,.example,SHARED_OR_UNRESOLVED,OBSOLETE_SUPERSEDED,,,QUARANTINE_COPY_SOURCE_RETAINED,Precanonical v2/bootstrap artifact superseded by contract v2.1.2
DSJA/project_4/P4_DOCS/SBS_P4_PROJECT4_v2_bootstrap/SBS_P4_PROJECT4_v2_bootstrap/.gitignore,DSJA/project_4,untracked,false,false,299,c20a2755e62c0c76e3359a372a382eefb5128dcc11ee20bdd15473695851b451,[no-extension],SHARED_OR_UNRESOLVED,OBSOLETE_SUPERSEDED,,,QUARANTINE_COPY_SOURCE_RETAINED,Precanonical v2/bootstrap artifact superseded by contract v2.1.2
