a1Branch,a1Head,a3HeadBeforeReportCommit,candidateScopeId,networkCalls,externalAtsTransportCalls,gateId,status,evidence
agent/p4-a1-canary-tier1-preapproval-v1,c17c7f5bc8c3eb1a9c1d12efb1eeb801f074f61c,f9a4c7e7125671e765359f27d237bc284e3fccae,T1-INDEX-2026-03-APQ-V1,0,0,TIER0_CANONICAL_INPUT,PASS,16-file accepted manifest binding
agent/p4-a1-canary-tier1-preapproval-v1,c17c7f5bc8c3eb1a9c1d12efb1eeb801f074f61c,f9a4c7e7125671e765359f27d237bc284e3fccae,T1-INDEX-2026-03-APQ-V1,0,0,TIER1_QUERY_REGISTRY_READY,PASS,registry SHA and required operations
agent/p4-a1-canary-tier1-preapproval-v1,c17c7f5bc8c3eb1a9c1d12efb1eeb801f074f61c,f9a4c7e7125671e765359f27d237bc284e3fccae,T1-INDEX-2026-03-APQ-V1,0,0,TIER1_REQUESTKEY_DRY_RUN,PASS,deterministic fixture
agent/p4-a1-canary-tier1-preapproval-v1,c17c7f5bc8c3eb1a9c1d12efb1eeb801f074f61c,f9a4c7e7125671e765359f27d237bc284e3fccae,T1-INDEX-2026-03-APQ-V1,0,0,TIER1_CHECKPOINT_RESUME_DRY_RUN,PASS,round-trip and corruption stop
agent/p4-a1-canary-tier1-preapproval-v1,c17c7f5bc8c3eb1a9c1d12efb1eeb801f074f61c,f9a4c7e7125671e765359f27d237bc284e3fccae,T1-INDEX-2026-03-APQ-V1,0,0,TIER1_KILL_SWITCH_DRY_RUN,PASS,403/429/content/schema/cursor/checkpoint fixtures
agent/p4-a1-canary-tier1-preapproval-v1,c17c7f5bc8c3eb1a9c1d12efb1eeb801f074f61c,f9a4c7e7125671e765359f27d237bc284e3fccae,T1-INDEX-2026-03-APQ-V1,0,0,TIER1_HANDOFF_SCHEMA_READY,PASS,index-only counts and SHA bindings
agent/p4-a1-canary-tier1-preapproval-v1,c17c7f5bc8c3eb1a9c1d12efb1eeb801f074f61c,f9a4c7e7125671e765359f27d237bc284e3fccae,T1-INDEX-2026-03-APQ-V1,0,0,TIER1_APPROVAL_SCHEMA_READY,PASS,Draft 2020-12 schema and source-policy evidence binding
agent/p4-a1-canary-tier1-preapproval-v1,c17c7f5bc8c3eb1a9c1d12efb1eeb801f074f61c,f9a4c7e7125671e765359f27d237bc284e3fccae,T1-INDEX-2026-03-APQ-V1,0,0,TIER1_SCOPE_BUDGET_ENFORCEMENT_READY,PASS,schema max bound and approval binding
agent/p4-a1-canary-tier1-preapproval-v1,c17c7f5bc8c3eb1a9c1d12efb1eeb801f074f61c,f9a4c7e7125671e765359f27d237bc284e3fccae,T1-INDEX-2026-03-APQ-V1,0,0,TIER1_APPROVAL_PACKET_READY,PASS,proposal values only
agent/p4-a1-canary-tier1-preapproval-v1,c17c7f5bc8c3eb1a9c1d12efb1eeb801f074f61c,f9a4c7e7125671e765359f27d237bc284e3fccae,T1-INDEX-2026-03-APQ-V1,0,0,PREEXISTING_ABSOLUTE_PATH_LITERAL_INVENTORY,PASS_WITH_FINDINGS,7 historical audit/negative-test literals; new packet tree 0
agent/p4-a1-canary-tier1-preapproval-v1,c17c7f5bc8c3eb1a9c1d12efb1eeb801f074f61c,f9a4c7e7125671e765359f27d237bc284e3fccae,T1-INDEX-2026-03-APQ-V1,0,0,TIER1_NETWORK_EXECUTION,BLOCKED,USER_TIER1_INDEX_CANARY_APPROVAL missing
agent/p4-a1-canary-tier1-preapproval-v1,c17c7f5bc8c3eb1a9c1d12efb1eeb801f074f61c,f9a4c7e7125671e765359f27d237bc284e3fccae,T1-INDEX-2026-03-APQ-V1,0,0,DETAIL_REQUEST,BLOCKED,Tier 1 contract
agent/p4-a1-canary-tier1-preapproval-v1,c17c7f5bc8c3eb1a9c1d12efb1eeb801f074f61c,f9a4c7e7125671e765359f27d237bc284e3fccae,T1-INDEX-2026-03-APQ-V1,0,0,ASSET_REQUEST,BLOCKED,Tier 1 contract
agent/p4-a1-canary-tier1-preapproval-v1,c17c7f5bc8c3eb1a9c1d12efb1eeb801f074f61c,f9a4c7e7125671e765359f27d237bc284e3fccae,T1-INDEX-2026-03-APQ-V1,0,0,M2_FULL_CRAWL,BLOCKED,Tier 1-4 and M2 approvals missing
